study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	sample_alias	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA245336	SAMN03164164	SRS740689	SRX755459	SRR1646040	646099	human metagenome	NextSeq 500	Individual 14, oral microbiome WGS	O14	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1646040/SRR1646040.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1646040/SRR1646040.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/000/SRR1646040	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/000/SRR1646040		
PRJNA245336	SAMN03164165	SRS740690	SRX755460	SRR1646041	646099	human metagenome	NextSeq 500	Individual 18, oral microbiome WGS	O18	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1646041/SRR1646041.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1646041/SRR1646041.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/001/SRR1646041	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/001/SRR1646041		
PRJNA245336	SAMN03164166	SRS740691	SRX755461	SRR1646042	646099	human metagenome	NextSeq 500	Individual 19, oral microbiome WGS	O19	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1646042/SRR1646042.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1646042/SRR1646042.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/002/SRR1646042	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/002/SRR1646042		
PRJNA245336	SAMN02736863	SRS740682	SRX755452	SRR1646033	646099	human metagenome	NextSeq 500	Individual 23, oral microbiome WGS	O23	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1646033/SRR1646033.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1646033/SRR1646033.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/003/SRR1646033	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/003/SRR1646033		
PRJNA245336	SAMN02736860	SRS740678	SRX755449	SRR1646030	646099	human metagenome	NextSeq 500	Individual 3, oral microbiome WGS	O3	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1646030/SRR1646030.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1646030/SRR1646030.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/000/SRR1646030	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/000/SRR1646030		
PRJNA245336	SAMN03164167	SRS740692	SRX755462	SRR1646043	646099	human metagenome	NextSeq 500	Individual 4, oral microbiome WGS	O4	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1646043/SRR1646043.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1646043/SRR1646043.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/003/SRR1646043	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/003/SRR1646043		
PRJNA245336	SAMN03164168	SRS740693	SRX755463	SRR1646044	646099	human metagenome	NextSeq 500	Individual 49, oral microbiome WGS	O49	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1646044/SRR1646044.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1646044/SRR1646044.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/004/SRR1646044	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/004/SRR1646044		
PRJNA245336	SAMN02736861	SRS740679	SRX755450	SRR1646031	646099	human metagenome	NextSeq 500	Individual 5, oral microbiome WGS	O5	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1646031/SRR1646031.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1646031/SRR1646031.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/001/SRR1646031	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/001/SRR1646031		
PRJNA245336	SAMN03164169	SRS740694	SRX755464	SRR1646045	646099	human metagenome	NextSeq 500	Individual 50, oral microbiome WGS	O50	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1646045/SRR1646045.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1646045/SRR1646045.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/005/SRR1646045	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/005/SRR1646045		
PRJNA245336	SAMN03164170	SRS740697	SRX755465	SRR1646046	646099	human metagenome	NextSeq 500	Individual 51, oral microbiome WGS	O51	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1646046/SRR1646046.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1646046/SRR1646046.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/006/SRR1646046	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/006/SRR1646046		
PRJNA245336	SAMN02736862	SRS740680	SRX755451	SRR1646032	646099	human metagenome	NextSeq 500	Individual 6, oral microbiome WGS	O6	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1646032/SRR1646032.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1646032/SRR1646032.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/002/SRR1646032	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/002/SRR1646032		
PRJNA245336	SAMN03164171	SRS740696	SRX755466	SRR1646047	646099	human metagenome	NextSeq 500	Individual 9, oral microbiome WGS	O9	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1646047/SRR1646047.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1646047/SRR1646047.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR164/007/SRR1646047	ftp.sra.ebi.ac.uk/vol1/srr/SRR164/007/SRR1646047		
