SGBid	genomename	uSGB	estTaxLevel	estTaxonomy	closestTaxLevel	closestTaxID	krakenDBtaxid	avgDist	medianAb	noSamples
381	VogtmannE_2016__MMRS88581325ST-27-0-0__bin.5	Yes	Family	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_BRNA1	1054217.0	2301.0	0.23450225	0.1295880226	4
382	ZellerG_2014__CCIS38765456ST-20-0__bin.14	Yes	Family	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus	1291540.0	2517203.0	0.24220500000000003	0.09542991460000001	1
384	BritoIL_2016__W1.5.ST__bin.1	Yes	Family	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus	1291540.0	2517203.0	0.245371	0.1393546896	1
385	CosteaPI_2017__mickey2-11-30-0__bin.69	No	Species	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_sp_CAG_1088	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus_sp_CAG_1088	90427.0	90427.0	0.01159877875	0.4044485436	16
568	VincentC_2016__MM103.1_megahit__bin.28	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	40518.0	1239.0	0.239019	0.25682732739999997	2
690	ZellerG_2014__CCIS46047672ST-4-0__bin.2	No	Species	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp_MB1	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_sp_MB1	1379702.0	1379702.0	0.00359284	1.1552961543	1
696	ZeeviD_2015__PNP_Main_437_megahit__bin.13	No	Species	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	1077256.0	1077256.0	0.009375415	0.4921205632	2
697	ZellerG_2014__CCIS33816588ST-4-0__bin.32	Yes	Family	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp_WGK6	1561964.0	2159.0	0.179768	0.5473333056	1
698	ZeeviD_2015__PNP_Main_127_megahit__bin.83	No	Species	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp_A6	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2317.0	2317.0	0.013597717777799999	0.32618981059999996	9
711	BritoIL_2016__W2.43.ST__bin.33	Yes	Family	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2173.0	2159.0	0.21735633333299997	0.3676393729	3
713	XieH_2016__YSZC12003_35515__bin.27	Yes	Genus	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2173.0	2172.0	0.056446037234	0.7253292314	94
714	FengQ_2015__SID31223__bin.1	No	Species	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii_CAG_186	2173.0	2173.0	0.014803996591399998	0.6969119474	487
715	YuJ_2015__SZAXPI015264-87__bin.27	Yes	Family	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2173.0	2159.0	0.194429	0.8444816572	1
743	HeQ_2017__RSZAXPI003099-133__bin.47	No	Species	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_russellii	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_russellii	215200.0	215200.0	0.026135033333299997	1.0610078511	2
745	HeQ_2017__SZAXPI029497-98__bin.22	Yes	Family	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_russellii	215200.0	186804.0	0.201619	0.5079815047999999	1
746	BackhedF_2015__SID265_B__bin.7	No	Species	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_anaerobius	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_anaerobius_CAG_621	1261.0	1261.0	0.013773185	0.5033672214	14
747	VincentC_2016__MM004.2_megahit__bin.33	No	Species	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_sp_MV1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_sp_MV1	1219626.0	1219626.0	0.01275925	0.8208263445	2
748	ZellerG_2014__CCIS33816588ST-4-0__bin.59	No	Species	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	341694.0	341694.0	0.02791178	0.18006047390000002	15
749	HMP_2012__SRS011115__bin.23	Yes	Genus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis	341694.0	1257.0	0.113024761194	0.1845772171	67
758	VatanenT_2016__G78762__bin.2	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum	1353.0	1239.0	0.19498800000000002	12.2753427411	1
955	XieH_2016__YSZC12003_37137__bin.91	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__butyrate_producing_bacterium_SM4_1	245012.0	1239.0	0.3134475	0.17699371739999997	2
956	KarlssonFH_2013__S60__bin.32	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp	2028282.0	1239.0	0.300994	0.1724529322	1
957	XieH_2016__YSZC12003_37647__bin.57	Yes	Other	-	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	1681.0	201174.0	0.2932905	0.1483424894	2
960	VincentC_2016__MM089.1_megahit__bin.9	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_unclassified|s__Coriobacteriaceae_bacterium_BV3Ac1	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_unclassified|s__Coriobacteriaceae_bacterium_BV3Ac1	1111135.0	1111135.0	0.024769799999999998	0.27665297699999997	3
962	CM_periimplantitis__SP_143SPI_T016__bin.20	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Cryptobacterium|s__Cryptobacterium_curtum	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Cryptobacterium|s__Cryptobacterium_curtum	84163.0	84163.0	0.0169938	0.6956040868000001	1
963	HMP_2012__SRS011111__bin.1	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_unclassified|g__Coriobacteriales_unclassified|s__Coriobacteriales_bacterium_DNF00809	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriales_unclassified|g__Coriobacteriales_unclassified|s__Coriobacteriales_bacterium_DNF00809	1588753.0	1588753.0	0.0235219428571	0.7377222981	7
964	CM_periimplantitis__SP_283SPI_T016__bin.15	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	1382.0	1382.0	0.03480255	1.4470774690000001	2
965	HMP_2012__SRS024441__bin.3	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.07000235	0.2193039366	2
966	FerrettiP_2018__CA_C10020IS2343FE_t3M15__bin.7	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.04689515	1.6874642376	2
967	HMP_2012__SRS056323__bin.15	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	1382.0	1380.0	0.05178330000000001	1.1935239172	1
968	HMP_2012__SRS015537__bin.17	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.0573942	1.3367803868	1
969	HMP_2012__SRS021954__bin.7	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.0554283	0.7427298329	1
970	VincentC_2016__MM091.4_megahit__bin.5	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	1382.0	1380.0	0.05301045	0.663525109	2
971	HMP_2012__SRS064774__bin.19	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.052851800000000004	0.2166417421	3
972	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.19	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1190620.0	0.0458649782051	0.4905104071	78
973	HMP_2012__SRS020334__bin.13	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.0538779	0.6141980486	1
974	FerrettiP_2018__CA_C10006MS2079SA_t0M15__bin.15	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.0537121	0.1457310699	1
975	Castro-NallarE_2015__ES_147_megahit__bin.4	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_BS2	936550.0	1380.0	0.0489381	0.57168524	1
976	CM_cf__CF_TNFC002SA_t1M15__bin.36	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.055276599999999995	0.0803707536	1
977	Castro-NallarE_2015__ES_209_megahit__bin.13	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.058776499999999995	0.1470992101	1
978	Castro-NallarE_2015__ES_114_megahit__bin.4	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.0568923	0.6918185639	1
979	BritoIL_2016__W2.39.SA__bin.8	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.054211800000000004	0.70307652	1
980	HMP_2012__SRS017076__bin.34	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.0630337	0.2313835911	1
981	QinJ_2012__T2D-101__bin.21	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.0605899	0.138179616	1
982	HMP_2012__SRS057539__bin.33	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_ICM42b	1190620.0	1380.0	0.068535	0.3241669658	1
983	FerrettiP_2018__CA_C10007IS2113FE_t5M16__bin.1	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	1382.0	1380.0	0.0931964	1.3803388954	1
984	CM_periimplantitis__SP_143SPI_T016__bin.18	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_oral_taxon_199	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_oral_taxon_199	712156.0	712156.0	0.026018200000000002	2.6435427589	1
985	CM_periimplantitis__SP_323SPI_T016__bin.23	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae	1383.0	1383.0	0.04127588	2.9065600192	5
986	HeQ_2017__SZAXPI029491-89__bin.2	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_sp_HMSC064B08	1739402.0	1380.0	0.0551471	0.1270829304	1
987	YuJ_2015__SZAXPI003412-1__bin.19	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_minutum	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_minutum	1381.0	1381.0	0.004166575	0.4463321918	2
989	HMP_2012__SRS023468__bin.14	Yes	Family	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	82135.0	1643824.0	0.252765	0.7651200932	2
990	HMP_2012__SRS011111__bin.15	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	82135.0	82135.0	0.03773030000000001	0.40727241399999997	2
991	FerrettiP_2018__CA_C10031IS2530FE_t1M15__bin.15	No	Species	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	82135.0	82135.0	0.029852886666700003	4.8136879824	15
992	HMP_2012__SRS023468__bin.1	Yes	Genus	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	82135.0	1380.0	0.052573800000000004	0.20400142579999997	1
993	LiuW_2016__SRR3993002__bin.55	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae	1313.0	1239.0	0.358806875	0.39678969950000004	8
994	CosteaPI_2017__SID713A004-11-90-0__bin.78	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_568	1506.0	1239.0	0.346190625	0.3972580835	8
997	LeChatelierE_2013__MH0224__bin.23	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus|s__Geobacillus_sp_AYN2	1891658.0	1239.0	0.359714333333	1.5551067563999998	3
1001	BritoIL_2016__W3.17.ST__bin.61	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_CAG_826	2137881.0	1239.0	0.3342755	0.3764482652	2
1002	CosteaPI_2017__SID713A004-11-90-0__bin.28	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_CAG_826	2137881.0	1239.0	0.31979125	1.1854422578000001	16
1005	BritoIL_2016__M1.4.ST__bin.33	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_449	1879010.0	1239.0	0.32128809999999997	0.3835308818	10
1016	BritoIL_2016__M1.15.ST__bin.27	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus	1396.0	1239.0	0.34677055	0.469577212	20
1017	BritoIL_2016__M1.27.ST__bin.23	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	853.0	1239.0	0.35328000000000004	2.4491570565000003	1
1019	CosteaPI_2017__SID713A056-11-0-0__bin.43	Yes	Other	-	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_568	1506.0	1239.0	0.315079666667	1.9244415952	3
