NCBItaxID	SciNameFull	Taxonomy
417295	unclassified Verrucomicrobia (miscellaneous)	d__Bacteria|p__Verrucomicrobia
452284	Ustilaginomycotina	d__Fungi|p__Basidiomycota
2204096	Wallemiomycotina	d__Fungi|p__Basidiomycota
1643818	Actinobacteria incertae sedis	d__Bacteria|p__Actinobacteria|c__Actinobacteria
355688	Agaricomycetes incertae sedis	d__Eukaryota|p__Basidiomycota|c__Agaricomycetes
452333	Agaricomycetidae	d__Fungi|p__Basidiomycota|c__Agaricomycetes
198346	Candidatus Baumannia	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria
451870	Chaetothyriomycetidae	d__Fungi|p__Ascomycota|c__Eurotiomycetes
159987	Dothideomycetes incertae sedis	d__Eukaryota|p__Ascomycota|c__Dothideomycetes
451867	Dothideomycetidae	d__Eukaryota|p__Ascomycota|c__Dothideomycetes
451871	Eurotiomycetidae	d__Eukaryota|p__Ascomycota|c__Eurotiomycetes
222543	Hypocreomycetidae	d__Fungi|p__Ascomycota|c__Sordariomycetes
221903	Leotiomycetes incertae sedis	d__Eukaryota|p__Ascomycota|c__Leotiomycetes
451868	Pleosporomycetidae	d__Eukaryota|p__Ascomycota|c__Dothideomycete
2175150	PS1 clade	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
62654	SAR116 cluster	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
222544	Sordariomycetidae	d__Fungi|p__Ascomycota|c__Sordariomycetes
85000	Sphaerobacteridae	d__Bacteria|p__Chloroflexi|c__Thermomicrobia
32036	sulfur-oxidizing symbionts	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria
52018	unclassified Actinobacteria (class)	d__Bacteria|p__Actinobacteria|c__Actinobacteria
78537	unclassified Actinobacteria (class) (miscellaneous)	d__Bacteria|p__Actinobacteria|c__Actinobacteria
33807	unclassified Alphaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
1526609	unclassified Bacilli (miscellaneous)	d__Bacteria|p__Firmicutes|c__Bacilli
33809	unclassified Betaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria
348841	unclassified Clostridia (miscellaneous)	d__Bacteria|p__Firmicutes|c__Clostridia
122706	unclassified Deltaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria
122728	unclassified Epsilonproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria
33811	unclassified Gammaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria
909942	unclassified SAR116 cluster	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
1737408	unclassified Tissierellia (miscellaneous)	d__Bacteria|p__Firmicutes|c__Tissierellia
222545	Xylariomycetidae	d__Fungi|p__Ascomycota|c__Sordariomycetes
256005	Alteromonadales genera incertae sedis	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales
90150	Aquificales genera incertae sedis	d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales
539738	Bacillales Family XI. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales
539742	Bacillales Family XII. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales
539002	Bacillales incertae sedis	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales
1100069	Bacteroidetes Order II. Incertae sedis	d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis
224471	Burkholderiales Genera incertae sedis	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales
1906125	Candidatus Gastranaerophilus	d__Bacteria|p__Candidatus Melainabacteria|o__Candidatus Gastranaerophilus
670955	Candidatus Uzinura	d__Bacteria|p__Bacteriodetes|c__Flavobacteriia|o__Flavobacteriales
1508594	Chloroflexineae	d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales
538999	Clostridiales incertae sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales
227334	Coniophorineae	d__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales
2499399	Cornidovirineae	d__Viruses|o__Nidovirales
80811	Cystobacterineae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
162479	Entylomatales incertae sedis	d__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes|o__Entylomatales
159639	Helotiales incertae sedis	d__Eukaryota|p__Ascomycota|c__Leotiomycetes|o__Helotiales
1255046	Massarineae	d__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales
2499400	Mesnidovirineae	d__Viruses|o__Mesnidovirineae
162477	Microstromatales incertae sedis	d__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes|o__Microstromatales
2499401	Monidovirineae	d__Viruses|o__Monidovirineae
1344963	Mucorineae	d__Eukaryota|p__Mucoromycota|c__Mucoromycetes|o__Mucorales
224462	Nannocystineae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
1233498	OM43 clade	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales
1593277	Onygenales incertae sedis	d__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Onygenales
715340	Pleosporineae	d__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Pleosporales
183979	Polyporales incertae sedis	d__Eukaryota|p__Basidiomycota|c__Agaricomycetes|o__Polyporales
1142503	Rhizophydiales incertae sedis	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Rhodoplanes|s__Rhodoplanes sp. JGI PP 4-B12
255531	Rickettsiales genera incertae sedis	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales
2499402	Ronidovirineae	d__Viruses|o__Nidovirales|f__Roniviridae
1508595	Roseiflexineae	d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales
241407	Saccharomycetales incertae sedis	d__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales
80812	Sorangiineae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
255728	Sphaerobacterineae	d__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales
2499403	Tornidovirineae	d__Viruses|o__Nidovirales
105426	unclassified Actinomycetales (miscellaneous)	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales
40298	unclassified Bacillales (miscellaneous)	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales
185291	unclassified Bacteroidales (miscellaneous)	d__Bacteria|p__Bacteriodetes|c__Bacteriodia|o__Bacteriodales
80841	unclassified Burkholderiales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales
434307	unclassified Chalmydiales (miscellaneous)	d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales
95881	unclassified Chroococcales (miscellaneous)	d__Bacteria|p__Cyanobacteria|o__Chroococcales
39779	unclassified Clostridiales (miscellaneous)	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales
1751870	unclassified Cytophagales (miscellaneous)	d__Bacteria|p__Bacteriodetes|c__Cytophagia|o__Cytophagales
305752	unclassified Enterobacterales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales
403978	unclassified Flavobacteriales (miscellaneous)	d__Bacteria|p__Bacteriodetes|c__Flavobacteriia|o__Flavobacteriales
1920255	unclassified Frankiales (miscellaneous)	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales
38063	unclassified Halobacteriales (miscellaneous)	d__Archaea|p__Euryarchaeota|c__Halobacteriales|o__Halobacteriales
2678336	unclassified Haloferacales (miscellaneous)	d__Archaea|p__Euryarchaeota|c__Halobacteriales|o__Haloferacales
99482	unclassified Micrococcales (miscellaneous)	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales
1219117	unclassified Nostocales (miscellaneous)	d__Bacteria|p__Cyanobacteria|o__Nostocales
439484	unclassified Oceanospirillales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillale
44887	unclassified Oscillatoriales (miscellaneous)	d__Bacteria|p__Cyanobacteria|o__Oscillatoriales
41292	unclassified Rhizobiales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales
941843	unclassified Rhodospirillales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales
1699067	unclassified Rickettsiales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales
2493640	unclassified Silvanigrellales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales
215910	unclassified Sorangiineae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales
203473	unclassified Sphingobacteriales (miscellaneous)	d__Bacteria|p__Bacteriodetes|c__Sphingobacteriia|o__Sphingobacteriales
233070	unclassified Spirochaetales (miscellaneous)	d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales
1919231	unclassified Thermoplasmatales (miscellaneous)	d__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales
939858	unclassified Thiotrichales (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales
189359	Xylariales incertae sedis	d__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Xylariales
310966	[Pasteurella] aerogenes-[Pasteurella] mairii-[Actinobacillus] rossii complex	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae
2169530	Aglimvirinae	d__Viruses|o__Caudovirales|f__Ackermannviridae
10293	Alphaherpesvirinae	d__Viruses|o__Herpesvirales|f__Herpesviridae
2017756	Alphairidovirinae	d__Viruses|f__Iridoviridae
85151	Aneurinibacillus group	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae
84564	ant endosymbionts	d__Viruses|f__Iridoviridae|g__Chloriridovirus|s__Anopheles minimus irodovirus
84563	ant, tsetse, mealybug, aphid, etc. endosymbionts	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Antheraea pernyi nucleopolyhedrovirus
146507	aphid secondary symbionts	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae
2321108	Arcobacter group	d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae
1982875	Arquatrovirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
542835	Autographivirinae	d__Viruses|o__Caudovirales|f__Podoviridae
206036	Avian retroviruses	d__Viruses|o__Ortervirales|f__Retroviridae
351	Azotobacter group	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae
539003	Bacillales Family X. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales Family X. Incertae Sedis
2560070	Bastillevirinae	d__Viruses|o__Caudovirales|f__Herelleviridae
1982876	Bclasvirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
744998	BD1-7 clade	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Spongiibacteraceae
10357	Betaherpesvirinae	d__Viruses|o__Herpesvirales|f__Herpesviridae
2017757	Betairidovirinae	d__Viruses|f__Iridoviridae
28154	Bisgaard taxa	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae
2560071	Brockvirinae	d__Viruses|o__Caudovirales|f__Herelleviridae|s__Brochothrix virus A9
1535325	Candida/Lodderomyces clade	d__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae
2169597	Chebruvirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
1113537	Chlamydia/Chlamydophila group	d__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae
274493	Chlorobium/Pelodictyon group	d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae
10241	Chordopoxvirinae	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Choristoneura biennis entomopoxvirus
90153	Chromobacterium group	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae
543313	Clostridiales Family XII. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XII. Incertae Sedis
543314	Clostridiales Family XIII. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis
543347	Clostridiales Family XVI. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XVI. Incertae Sedis
539000	Clostridiales Family XVII. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XVII. Incertae Sedis
675075	Comovirinae	d__Viruses|o__Picornavirales|f__Secoviridae
693995	Coronavirinae	d__Viruses|o__Nidovirales|f__Coronaviridae
1978007	crAss-like viruses	d__Viruses|o__Caudovirales|f__Podoviridae|s__crAss-like viruses 
2169531	Cvivirinae	d__Viruses|o__Caudovirales|f__Ackermannviridae
10284	Entomopoxvirinae	d__Viruses|f__Poxviridae
2315857	environmental samples	d__Viruses|o__Caudovirales|f__Podoviridae
1636616	Eucampyvirinae	d__Viruses|o__Caudovirales|f__Myoviridae
2169595	Firstpapillomavirinae	d__Viruses|f__Papillomaviridae
10374	Gammaherpesvirinae	d__Viruses|o__Herpesvirales|f__Herpesviridae
686565	Gokushovirinae	d__Viruses|f__Microviridae
1910976	Guernseyvirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
92682	Halothece cluster	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae
2501963	Hexponivirinae	d__Viruses|o__Nidovirales|f__Mesoniviridae
206037	Human endogenous retroviruses	d__Viruses|o__Ortervirales|f__Retroviridae
173087	Human papillomavirus types	d__Viruses|f__Papillomaviridae
2560073	Jasinkavirinae	d__Viruses|o__Caudovirales|f__Herelleviridae
1655488	Luna cluster	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae
1655489	Luna-1 subcluster	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae
2560074	Mammantavirinae	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Hantaviridae
2169599	Mccleskeyvirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
199891	mealybug secondary endosymbionts	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae
2508223	Mononivirinae	d__Viruses|o__Nidovirales|f__Mononiviridae
42857	Moorella group	d__Bacteria|p__Firmicutes|c__Clostridia|o__thermoanaerobacterales|f__Thermoanaerobacterales
2169601	Nymbaxtervirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
2501984	Okanivirinae	d__Viruses|o__Nidovirales|f__Roniviridae|g__Okavirus
2501931	Orthocoronavirinae	d__Viruses|o__Nidovirales|f__Coronaviridae
2560076	Orthoparamyxovirinae	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae
327045	Orthoretrovirinae	d__Viruses|o__Ortervirales|f__Retroviridae
1985285	Ounavirinae	d__Viruses|o__Caudovirales|f__Myoviridae
40119	Parvovirinae	d__Viruses|f__Parvoviridae
1982878	Pclasvirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
857479	Peduovirinae	d__Viruses|o__Caudovirales|f__Myoviridae
542836	Picovirinae	d__Viruses|o__Caudovirales|f__Podoviridae
2508210	Piscanivirinae	d__Viruses|o__Nidovirales|f__Tobaniviridae
2560077	Procedovirinae	d__Viruses|f__Tombusviridae
1914297	Quinvirinae	d__Viruses|o__Tymovirales|f__Betaflexiviridae
227290	Rhizobium/Agrobacterium group	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae
33988	Rickettsieae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae
2560080	Rubulavirinae	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae
745004	SAR92 clade	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Porticoccaceae
689832	Sedoreovirinae	d__Viruses|o__Picornavirales|f__Secoviridae
2508240	Serpentovirinae	d__Viruses|o__Nidovirales|f__Tobaniviridae
227292	Sinorhizobium/Ensifer group	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales
689831	Spinareovirinae	d__Viruses|f__Reoviridae
857473	Spounavirinae	d__Viruses|o__Caudovirales|f__Herelleviridae
327046	Spumaretrovirinae	d__Viruses|o__Ortervirales|f__Retroviridae
1198136	Tevenvirinae	d__Viruses|o__Caudovirales|f__Myoviridae
543371	Thermoanaerobacterales Family III. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis
543372	Thermoanaerobacterales Family IV. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family IV. Incertae Sedis
694017	Torovirinae	d__Viruses|o__Tymovirales|f__Betaflexiviridae
1027231	Tospovirus reassortants	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Tospoviridae
1914298	Trivirinae	d__Viruses|o__Tymovirales|f__Betaflexiviridae
1910999	Tunavirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
2560081	Twortvirinae	d__Viruses|o__Caudovirales|f__Herelleviridae
2321207	unclassified Arcobacter group	d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae
1132574	unclassified Autographivirinae	d__Viruses|o__Caudovirales|f__Podoviridae
2572874	unclassified Bastillevirinae	d__Viruses|o__Caudovirales|f__Herelleviridae
2315863	unclassified Bclasvirinae	d__Viruses|o__Caudovirales|f__Siphoviridae
686665	unclassified Bifidobacteriaceae (miscellaneous)	d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae
40070	unclassified Chordopoxvirinae	d__Viruses|f__Poxviridae
1284678	unclassified Clostridiales Family XIII. Incertae Sedis	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis
2664420	unclassified Coronavirinae	d__Viruses|o__Nidovirales|f__Coronaviridae
233263	unclassified coronaviruses	d__Viruses|o__Nidovirales|f__Coronaviridae
36866	unclassified Enterobacteriaceae (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae
544447	unclassified Erysipelotrichaceae (miscellaneous)	d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaeceae
35249	unclassified Gammaherpesvirinae	d__Viruses|o__Herpesvirales|f__Herpesviridae
1385657	unclassified Gokushovirinae	d__Viruses|f__Microviridae
67757	unclassified Pasteurellaceae (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae
1411023	unclassified Peptostreptococcaceae (miscellaneous)	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae
2609909	unclassified Picovirinae	d__Viruses|o__Caudovirales|f__Podoviridae
2305133	unclassified Ruminococcaceae (miscellaneous)	d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae
122612	unclassified Sphingomonadaceae (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae
857474	unclassified Spounavirinae	d__Viruses|o__Caudovirales|f__Herelleviridae
1892568	unclassified Tevenvirinae	d__Viruses|o__Caudovirales|f__Myoviridae
2508196	unclassified Vequintavirinae	d__Viruses|o__Caudovirales|f__Myoviridae
130818	unclassified Vibrionaceae (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionacea
57609	unclassified Xanthomonadaceae (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae
1911928	Vequintavirinae	d__Viruses|o__Caudovirales|f__Myoviridae
134621	Verrucomicrobia subdivision 3	d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobia subdivision 3
114399	whitefly endosymbionts	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillale|f__Halomonadaceae
952	Wolbachieae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae
114403	Zymobacter group	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillale|f__Halomonadaceae
85621	16SrII (Peanut WB group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
85623	16SrIII (X-disease group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
85629	16SrIX (Pigeon pea witches'-broom group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
85625	16SrV (Elm yellows group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
85630	16SrX (Apple proliferation group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
85631	16SrXI (Rice yellow dwarf group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
85632	16SrXII (Stolbur group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
590444	16SrXXI (Pine shoot proliferation group)	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
151157	Acetobacter subgen. Acetobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter
909768	Acinetobacter calcoaceticus/baumannii complex	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter
2499237	Alternaria sect. Alternaria	d__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria
1129742	belli group	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia
1405806	Bhanja serogroup	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Phenuviridae|g__Phlebovirus
