Rank	NCBItaxID	SciNameFull	SciName
S1	1796997	Arthrobacter phage Mudcat	Arthrobacter phage Mudcat
S1	1772310	Arthrobacter phage Preamble	Arthrobacter phage Preamble
S1	1772328	Arthrobacter phage PrincessTrina	Arthrobacter phage PrincessTrina
S1	1772315	Arthrobacter phage Sonny	Arthrobacter phage Sonny
S1	1772319	Arthrobacter phage Tank	Arthrobacter phage Tank
S1	1566993	Arthrobacter phage vB_ArtM-ArV1	Arthrobacter phage vB_ArtM-ArV1
S	1982154	Arthrobacter virus Gordon	Arthrobacter virus Gordon
S	362830	Artogeia rapae granulovirus	Artogeia rapae
S1	1450533	Aspergillus lacticoffeatus CBS 101883	Aspergillus lacticoffeatus
S	229545	Aster yellows witches'-broom phytoplasma	Aster yellows
S1	322098	Aster yellows witches'-broom phytoplasma AYWB	Aster yellows
S1	715226	Asticcacaulis biprosthecum C19	Asticcacaulis biprosthecum
S	85618	Ateline gammaherpesvirus 3	Ateline gammaherpesvirus
P1	1047049	unclassified Atribacteria	Atribacteria
S	1474867	Aureococcus anophagefferens virus	Aureococcus anophagefferens
S	307456	Autographa californica multiple nucleopolyhedrovirus	Autographa californica
S1	46015	Autographa californica nucleopolyhedrovirus	Autographa californica
F1	542835	Autographivirinae	Autographivirinae
F2	1132574	unclassified Autographivirinae	Autographivirinae
S	2049884	Avian avulavirus 13	Avian avulavirus
S	1305716	Avian avulavirus 12	Avian avulavirus
S	875624	Avian avulavirus 10	Avian avulavirus
S	28274	Avian avulavirus 4	Avian avulavirus
S	93465	Avian endogenous retrovirus EAV-HP	Avian endogenous
S1	1401445	Avian paramyxovirus goose/Shimane/67/2000	Avian paramyxovirus
S1	862945	Avian paramyxovirus penguin/Falkland Islands/324/2007	Avian paramyxovirus
F2	206036	Avian retroviruses	Avian retroviruses
S	1618234	Avon-Heathcote Estuary associated circular virus 11	Avon-Heathcote Estuary
S1	137722	Azospirillum sp. B510	Azospirillum sp. B510
F1	351	Azotobacter group	Azotobacter group
O1	539002	Bacillales incertae sedis	Bacillales 
O2	40298	unclassified Bacillales (miscellaneous)	Bacillales (miscellaneous)
O2	539738	Bacillales Family XI. Incertae Sedis	Bacillales Family
O2	539742	Bacillales Family XII. Incertae Sedis	Bacillales Family
F	539003	Bacillales Family X. Incertae Sedis	Bacillales Family
C2	1526609	unclassified Bacilli (miscellaneous)	Bacilli (miscellaneous)
S1	1141133	Bacillus phage B4	Bacillus phage B4
S1	584892	Bacillus phage Bcp1	Bacillus phage Bcp1
S1	1126950	Bacillus phage BCP78	Bacillus phage BCP78
S1	1406781	Bacillus phage BigBertha	Bacillus phage BigBertha
S1	1527469	Bacillus phage Bobb	Bacillus phage Bobb
S1	1445810	Bacillus phage Bp8p-C	Bacillus phage Bp8p-C
S1	1391188	Bacillus phage CP-51	Bacillus phage CP-51
S1	1792245	Bacillus phage Deep Blue	Bacillus phage Deep Blue
S1	1486658	Bacillus phage Evoli	Bacillus phage Evoli
S1	1406785	Bacillus phage Grass	Bacillus phage Grass
S1	1486660	Bacillus phage Hoody T	Bacillus phage Hoody T
S1	1540091	Bacillus phage Moonbeam	Bacillus phage Moonbeam
S1	1204533	Bacillus phage phiAGATE	Bacillus phage phiAGATE
S1	1296656	Bacillus phage Shanette	Bacillus phage Shanette
S1	1285382	Bacillus phage SIOphi	Bacillus phage SIOphi
S1	1406790	Bacillus phage Slash	Bacillus phage Slash
S1	1610832	Bacillus phage Stahl	Bacillus phage Stahl
S1	1690456	Bacillus phage TsarBomba	Bacillus phage TsarBomba
S1	1195072	Bacillus phage vB_BceM_Bc431v3	Bacillus phage vB_BceM_Bc431v3
S	1761765	Bacillus sp. nio-1130	Bacillus sp. nio-1130
S	2108539	Bacillus sp. NMCC4	Bacillus sp. NMCC4
S	1446792	Bacillus sp. Pc3	Bacillus sp. Pc3
D2	49928	unclassified Bacteria (miscellaneous)	Bacteria (miscellaneous)
D2	1783234	Bacteria candidate phyla	Bacteria candidate
S	1181670	bacterium endosymbiont of Bathymodiolus sp. 5 South	bacterium endosymbiont
S	1719126	bacterium endosymbiont of Pedicinus badii	bacterium endosymbiont
S	1855372	bacterium JGI 053	bacterium JGI
O2	185291	unclassified Bacteroidales (miscellaneous)	Bacteroidales (miscellaneous)
P2	37452	unclassified Bacteroidetes (miscellaneous)	Bacteroidetes (miscellaneous)
S	2047937	Bacteroidetes endosymbiont of Geopemphigus sp.	Bacteroidetes endosymbiont
O	1100069	Bacteroidetes Order II. Incertae sedis	Bacteroidetes Order
D2	68336	Bacteroidetes/Chlorobi group	Bacteroidetes/Chlorobi group
D3	271174	unclassified Bacteroidetes/Chlorobi group	Bacteroidetes/Chlorobi group
S	45661	Banana bract mosaic virus	Banana bract
S	69577	Banana streak virus	Banana streak
S1	334778	Banana streak virus Acuminata Yunnan	Banana streak virus Acuminata
S	2133959	Bartonella sp. 'Tel Aviv'	Bartonella sp. Tel Aviv
S	1384490	Basella alba alphaendornavirus 1	Basella alba
F1	2560070	Bastillevirinae	Bastillevirinae
F2	2572874	unclassified Bastillevirinae	Bastillevirinae
S1	2259811	Bat bocavirus XM30	Bat bocavirus
S	2501961	Bat Hp-betacoronavirus Zhejiang2013	Bat Hp-betacoronavirus
S1	1541205	Bat Hp-betacoronavirus/Zhejiang2013	Bat Hp-betacoronavirus/Zhejiang2013
S	2015372	Bat mastadenovirus D	Bat mastadenovirus
S1	1788434	Bat mastadenovirus WIV12	Bat mastadenovirus
S	2015370	Bat mastadenovirus C	Bat mastadenovirus
S1	1788433	Bat mastadenovirus WIV11	Bat mastadenovirus
S1	880159	Bathycoccus sp. RCC1105 virus BpV1	Bathycoccus sp. RCC1105 virus BpV1
S	235205	Bathymodiolus azoricus thioautotrophic gill symbiont	Bathymodiolus azoricus
S	1052209	Bathymodiolus brooksi thiotrophic gill symbiont	Bathymodiolus brooksi
S	1052212	Bathymodiolus heckerae thiotrophic gill symbiont	Bathymodiolus heckerae
S	113268	Bathymodiolus platifrons methanotrophic gill symbiont	Bathymodiolus platifrons
S	113267	Bathymodiolus septemdierum thioautotrophic gill symbiont	Bathymodiolus septemdierum
S	2360	Bathymodiolus thermophilus thioautotrophic gill symbiont	Bathymodiolus thermophilus
S1	374463	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Baumannia cicadellinicola
F1	1982876	Bclasvirinae	Bclasvirinae
F2	2315863	unclassified Bclasvirinae	Bclasvirinae
F2	744998	BD1-7 clade	BD1-7 clade
S	67082	BeAn 58058 virus	BeAn 58058
S	128790	Bean rugose mosaic virus	Bean rugose
S	267970	Bean yellow disorder virus	Bean yellow
S	46436	Beet soil-borne virus	Beet soil-borne
S	12161	Beet yellows virus	Beet yellows
S	1746057	Beihai barnacle viurs 1	Beihai barnacle
S	1922432	Beihai mantis shrimp virus 5	Beihai mantis
S1	1922653	Beihai rhabdo-like virus 3	Beihai rhabdo-like virus 3
S	1922673	Beihai sipunculid worm virus 1	Beihai sipunculid
G1	1129742	belli group	belli group
S	694015	Beluga whale coronavirus SW1	Beluga whale
S1	1385427	Betacoronavirus Erinaceus/VMC/DEU/2012	Betacoronavirus Erinaceus/VMC/DEU/2012
F1	10357	Betaherpesvirinae	Betaherpesvirinae
F1	2017757	Betairidovirinae	Betairidovirinae
C2	33809	unclassified Betaproteobacteria (miscellaneous)	Betaproteobacteria (miscellaneous)
G2	1405806	Bhanja serogroup	Bhanja serogroup
F1	686665	unclassified Bifidobacteriaceae (miscellaneous)	Bifidobacteriaceae (miscellaneous)
S2	1447716	Bifidobacterium kashiwanohense PV20-2	Bifidobacterium kashiwanohense
S1	1437612	Bifidobacterium stercoris JCM 15918	Bifidobacterium stercoris
F1	28154	Bisgaard taxa	Bisgaard taxa
S	339420	Blackberry chlorotic ringspot virus	Blackberry chlorotic
S	1490026	Blackberry Virus F	Blackberry Virus
S	2338394	Blackcurrant-associated closterovirus 1	Blackcurrant-associated closterovirus
S	1505596	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	Blochmannia endosymbiont
S	1505597	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	Blochmannia endosymbiont
S	1944648	blood disease bacterium A2-HR MARDI	blood disease bacterium A2-HR
S	1714570	Blueberry shoestring virus	Blueberry shoestring
S1	1223302	Bluegill picornavirus	Bluegill picornavirus
S	271108	Bombyx mori nucleopolyhedrovirus	Bombyx mori
S1	358764	Border disease virus	Border disease
S1	1714377	Bottlenose dolphin adenovirus 1	Bottlenose dolphin
S1	645425	Bottlenose dolphin astrovirus 1	Bottlenose dolphin
S	130500	Bovine adenovirus E	Bovine adenovirus
S1	111167	Bovine adenovirus 6	Bovine adenovirus
S	35244	Bovine alphaherpesvirus 5	Bovine alphaherpesvirus
S	10320	Bovine alphaherpesvirus 1	Bovine alphaherpesvirus
S	1027247	Bovine astrovirus B76-2/HK	Bovine astrovirus
S	1027248	Bovine astrovirus B76/HK	Bovine astrovirus
S	130499	Bovine atadenovirus D	Bovine atadenovirus
S	10385	Bovine gammaherpesvirus 4	Bovine gammaherpesvirus
S	129727	Bovine papular stomatitis virus	Bovine papular
S	508868	Bradyrhizobium genosp. SA-3	Bradyrhizobium genosp.
S1	857312	Brochothrix phage A9	Brochothrix phage A9
F1	2560071	Brockvirinae	Brockvirinae
S	2170139	Brown greater galago prosimian foamy virus	Brown greater
S1	1503289	BtMr-AlphaCoV/SAX2011	BtMr-AlphaCoV/SAX2011
S	2282206	Bufonid herpesvirus 1	Bufonid herpesvirus
S	1324959	Burdock mottle virus	Burdock mottle
O2	80841	unclassified Burkholderiales (miscellaneous)	Burkholderiales (miscellaneous)
O2	224471	Burkholderiales Genera incertae sedis	Burkholderiales Genera
S	74320	Buzura suppressaria nucleopolyhedrovirus	Buzura suppressaria
S	1960254	Cacao swollen shoot Togo A virus	Cacao swollen
S	2560365	Cachoeira Porteira orthobunyavirus	Cachoeira Porteira
S1	1138490	Cachoeira Porteira virus	Cachoeira Porteira
S	1513235	Cafeteria roenbergensis virus	Cafeteria roenbergensis
S1	693272	Cafeteria roenbergensis virus BV-PW1	Cafeteria roenbergensis virus BV-PW1
D1	2498710	Caldiserica/Cryosericota group	Caldiserica/Cryosericota group
S	106331	Callitrichine gammaherpesvirus 3	Callitrichine gammaherpesvirus
S1	1170562	Calothrix sp. PCC 6303	Calothrix sp. PCC 6303
S	410330	Calyptogena okutanii thioautotrophic gill symbiont	Calyptogena okutanii
S	2170107	Camel associated porprismacovirus 3	Camel associated
S	10484	Campoletis sonorensis ichnovirus	Campoletis sonorensis
S	1765754	Camponotus nipponicus virus	Camponotus nipponicus
S1	1229752	Campylobacter phage CP30A	Campylobacter phage CP30A
S	1660076	Campylobacter sp. RM12175	Campylobacter sp. RM12175
S1	1715288	Canary bornavirus 1	Canary bornavirus
S	1284222	Candiadtus Scalindua japonica	Candiadtus Scalindua
F1	1535325	Candida/Lodderomyces clade	Candida/Lodderomyces clade
P	640293	candidate division NC10	candidate division
C2	198346	Candidatus Baumannia	Candidatus Baumannia
G1	711328	unclassified Candidatus Blochmannia endosymbionts	Candidatus Blochmannia endosymbionts
D3	95901	Candidatus Dependentiae	Candidatus Dependentiae
D4	1104668	unclassified Candidatus Dependentiae	Candidatus Dependentiae
S	2066483	Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)	Candidatus Dependentiae bacterium (ex Spumella
O1	1906125	Candidatus Gastranaerophilus	Candidatus Gastranaerophilus
S	2029980	Candidatus Gastranaerophilus sp. (ex Termes propinquus)	Candidatus Gastranaerophilus sp. (ex Termes
G1	85620	Candidatus Phytoplasma asteris	Candidatus Phytoplasma asteris
O2	670955	Candidatus Uzinura	Candidatus Uzinura
S1	412965	Candidatus Vesicomyosocius okutanii HA	Candidatus Vesicomyosocius okutanii
S	170325	Canid alphaherpesvirus 1	Canid alphaherpesvirus
S1	10514	Canine adenovirus 2	Canine adenovirus
S	10537	Canine mastadenovirus A	Canine mastadenovirus
S1	1226723	Canis familiaris papillomavirus 13	Canis familiaris
G1	106178	canis group	canis group
S	249402	Cardinium endosymbiont of Encarsia pergandiella	Cardinium endosymbiont
S1	1231626	Cardinium endosymbiont cEper1 of Encarsia pergandiella	Cardinium endosymbiont
S	650378	Cardinium endosymbiont of Sogatella furcifera	Cardinium endosymbiont
S	2304601	Cardinium endosymbiont of Culicoides punctatus	Cardinium endosymbiont
S	672794	Cardinium endosymbiont of Bemisia tabaci	Cardinium endosymbiont
S1	1495866	Cat Que virus	Cat Que
S	1193712	'Catharanthus roseus' aster yellows phytoplasma	Catharanthus roseus
S	1850906	Catopsilia pomona nucleopolyhedrovirus	Catopsilia pomona
S1	1678225	Catu virus	Catu virus
S	1667230	Caucasus prunus virus	Caucasus prunus
S1	1041929	Cavally virus	Cavally virus
S	33706	Caviid betaherpesvirus 2	Caviid betaherpesvirus
G1	2509476	Cegacovirus	Cegacovirus
R1	131567	cellular organisms	cellular organisms
S1	1327976	Cellulophaga phage phi12:1	Cellulophaga phage phi12:1
S1	1327982	Cellulophaga phage phi18:1	Cellulophaga phage phi18:1
S1	1328029	Cellulophaga phage phi4:1	Cellulophaga phage phi4:1
S1	756282	Cellulophaga phage phiST	Cellulophaga phage phiST
S	1908813	Ceratobasidium endornavirus C	Ceratobasidium endornavirus
S	1908806	Ceratobasidium endornavirus A	Ceratobasidium endornavirus
S	10317	Cercopithecine alphaherpesvirus 2	Cercopithecine alphaherpesvirus
S	35246	Cercopithecine alphaherpesvirus 9	Cercopithecine alphaherpesvirus
S	50292	Cercopithecine betaherpesvirus 5	Cercopithecine betaherpesvirus
S	2170100	Cereal yellow dwarf virus RPV	Cereal yellow
S1	1158189	Chaco virus	Chaco virus
S	497136	Chaetoceros tenuissimus RNA virus 01	Chaetoceros tenuissimus
C1	451870	Chaetothyriomycetidae	Chaetothyriomycetidae
S	267285	Chalara elegans RNA Virus 1	Chalara elegans
O2	434307	unclassified Chalmydiales (miscellaneous)	Chalmydiales (miscellaneous)
S	1608044	Changping Tick Virus 2	Changping Tick
F1	2169597	Chebruvirinae	Chebruvirinae
S	36344	Chelonus inanitus bracovirus	Chelonus inanitus
S	2035708	Cherax quadricarinatus iridovirus	Cherax quadricarinatus
S	131226	Cherry mottle leaf virus	Cherry mottle
S	52280	Chilli veinal mottle virus	Chilli veinal
S1	1123958	Chimpanzee adenovirus Y25	Chimpanzee adenovirus
S	2170110	Chimpanzee associated porprismacovirus 2	Chimpanzee associated
S1	332937	Chimpanzee herpesvirus strain 105640	Chimpanzee herpesvirus
S	2169772	Chiropteran bocaparvovirus 3	Chiropteran bocaparvovirus
S	2170147	Chiropteran protoparvovirus 1	Chiropteran protoparvovirus
S	408074	Chitinophaga terrae Kim and Jung 2007	Chitinophaga terrae
F1	1113537	Chlamydia/Chlamydophila group	Chlamydia/Chlamydophila group
F1	274493	Chlorobium/Pelodictyon group	Chlorobium/Pelodictyon group
S	1891720	Chlorocebus pygerythrus polyomavirus 3	Chlorocebus pygerythrus
O1	1508594	Chloroflexineae	Chloroflexineae
S1	169173	Choclo virus	Choclo virus
F1	10241	Chordopoxvirinae	Chordopoxvirinae
F2	40070	unclassified Chordopoxvirinae	Chordopoxvirinae
S	10288	Choristoneura biennis entomopoxvirus	Choristoneura biennis
S	208973	Choristoneura fumiferana multiple nucleopolyhedrovirus	Choristoneura fumiferana
S	58094	Choristoneura rosaceana nucleopolyhedrovirus	Choristoneura rosaceana
S	1993631	Choristoneura rosaceana entomopoxvirus	Choristoneura rosaceana
S1	1293539	Choristoneura rosaceana entomopoxvirus 'L'	Choristoneura rosaceana
F1	90153	Chromobacterium group	Chromobacterium group
O2	95881	unclassified Chroococcales (miscellaneous)	Chroococcales (miscellaneous)
S	2049454	Chroococcales cyanobacterium IPPAS B-1203	Chroococcales cyanobacterium
S	1520703	'Chrysanthemum coronarium' phytoplasma	Chrysanthemum coronarium
S	238674	Chrysanthemum yellows phytoplasma	Chrysanthemum yellows
S	1721091	Chryseobacterium sp. IHB B 17019	Chryseobacterium sp. IHB B
S	455364	Chrysochromulina ericina virus	Chrysochromulina ericina
S	1207438	Chrysodeixis includens nucleopolyhedrovirus	Chrysodeixis includens
S	1788441	Circovirus-like genome DCCV-13	Circovirus-like genome
S	1788455	Circovirus-like genome DHCV-6	Circovirus-like genome
S1	2267236	Citrobacter phage CF1 ERZ-2017	Citrobacter phage CF1 ERZ-2017
S1	1540095	Citrobacter phage Moon	Citrobacter phage Moon
S	1307957	Clanis bilineata nucleopolyhedrovirus	Clanis bilineata
S1	686439	Clavibacter phage CMP1	Clavibacter phage CMP1
G1	1540022	Clavispora/Candida clade	Clavispora/Candida clade
S	1950126	Clematis chlorotic mottle virus	Clematis chlorotic
S	1986289	Clostera anastomosis granulovirus A	Clostera anastomosis
S1	1986291	Clostera anastomosis granulovirus Henan	Clostera anastomosis
C2	348841	unclassified Clostridia (miscellaneous)	Clostridia (miscellaneous)
O1	538999	Clostridiales incertae sedis	Clostridiales 
O2	39779	unclassified Clostridiales (miscellaneous)	Clostridiales (miscellaneous)
F	543313	Clostridiales Family XII. Incertae Sedis	Clostridiales Family XII.
F	543314	Clostridiales Family XIII. Incertae Sedis	Clostridiales Family XIII.
F1	1284678	unclassified Clostridiales Family XIII. Incertae Sedis	Clostridiales Family XIII.
F	543347	Clostridiales Family XVI. Incertae Sedis	Clostridiales Family XVI.
F	539000	Clostridiales Family XVII. Incertae Sedis	Clostridiales Family XVII.
S	1523155	Clostridium sp. IBUN22A	Clostridium sp. IBUN22A
S	93386	Columbid alphaherpesvirus 1	Columbid alphaherpesvirus
S	2022783	Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota	Common bottlenose
S	540070	Common midwife toad virus	Common midwife
F1	675075	Comovirinae	Comovirinae
S	1592576	Condylorrhiza vestigialis MNPV	Condylorrhiza vestigialis
O1	227334	Coniophorineae	Coniophorineae
O1	2499399	Cornidovirineae	Cornidovirineae
F1	693995	Coronavirinae	Coronavirinae
F2	2664420	unclassified Coronavirinae	Coronavirinae
F2	233263	unclassified coronaviruses	coronaviruses
S1	384848	Corynebacterium phage P1201	Corynebacterium phage P1201
S1	2047871	Corynebacterium phage Zion	Corynebacterium phage Zion
S	39640	Cotesia congregata bracovirus	Cotesia congregata
S1	930275	Cotia virus SPAn232	Cotia virus SPAn232
S	2056780	Cow vetch latent virus	Cow vetch
S	67761	Cowpea mild mottle virus	Cowpea mild
S	1656186	Coxiella endosymbiont of Rhipicephalus microplus	Coxiella endosymbiont
F2	1978007	crAss-like viruses	crAss-like viruses
S	1605972	Cricetid gammaherpesvirus 2	Cricetid gammaherpesvirus
S1	1162295	Cronobacter phage CR3	Cronobacter phage CR3
S1	1162290	Cronobacter phage CR9	Cronobacter phage CR9
S	40282	Cryphonectria hypovirus 2	Cryphonectria hypovirus
G1	1884637	Cryptococcus gattii species complex	Cryptococcus gattii
S	37769	Cryptococcus gattii VGI	Cryptococcus gattii
S1	367775	Cryptococcus gattii WM276	Cryptococcus gattii
S	12235	Cucumber green mottle mosaic virus	Cucumber green
S	130556	Culex nigripalpus nucleopolyhedrovirus	Culex nigripalpus
S	2033654	Curtobacterium sp. 'Ferrero'	Curtobacterium sp. Ferrero
F1	2169531	Cvivirinae	Cvivirinae
P2	1983111	unclassified Cyanobacteria (miscellaneous)	Cyanobacteria (miscellaneous)
D2	1798711	Cyanobacteria/Melainabacteria group	Cyanobacteria/Melainabacteria group
S	718217	cyanobacterium endosymbiont of Epithemia turgida	cyanobacterium endosymbiont
S1	1228987	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	cyanobacterium endosymbiont
S	1763363	cyanobacterium endosymbiont of Rhopalodia gibberula	cyanobacterium endosymbiont
S	1173021	cyanobacterium PCC 7702	cyanobacterium PCC
S1	2107697	Cyanosarcina cf. burmensis CCALA 770	Cyanosarcina cf.
S	28289	Cydia pomonella granulovirus	Cydia pomonella
S	1602124	Cymbidium chlorotic mosaic virus	Cymbidium chlorotic
S1	507488	Cynomolgus adenovirus 1	Cynomolgus adenovirus
S	180230	Cyprinid herpesvirus 3	Cyprinid herpesvirus
