#Classification	SRR061192.report.rspm.kraken	SRR061294.report.rspm.kraken	SRR061320.report.rspm.kraken	SRR061365.report.rspm.kraken	SRR061562.report.rspm.kraken	SRR062083.report.rspm.kraken	SRR062298.report.rspm.kraken	SRR062299.report.rspm.kraken	SRR063517.report.rspm.kraken	SRR1804664.report.rspm.kraken	SRR1804823.report.rspm.kraken	SRR512767.report.rspm.kraken	SRR513165.report.rspm.kraken	SRR513768.report.rspm.kraken	SRR513775.report.rspm.kraken	SRR513828.report.rspm.kraken	SRR514202.report.rspm.kraken	SRR514239.report.rspm.kraken	SRR514306.report.rspm.kraken	SRR514329.report.rspm.kraken
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales	0	0	0	0	1	0	6	0	0	1	3	2	1	1	0	0	0	0	0	0
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae	0	0	0	0	1	0	6	0	0	1	3	2	1	1	0	0	0	0	0	0
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela	0	0	0	0	1	0	6	0	0	1	3	2	1	1	0	0	0	0	0	0
k__Bacteria|c__Candidatus_Babeliae|o__Candidatus_Babeliales|f__Candidatus_Babeliaceae|g__Candidatus_Babela|s__Candidatus_Babela_massiliensis	0	0	0	0	1	0	6	0	0	1	3	2	1	1	0	0	0	0	0	0
k__Bacteria|s__bacterium_C-53	0	0	0	1	0	0	0	1	0	0	0	1	2	1	1	0	1	2	0	0
k__Bacteria|s__bacterium_2013Arg42i	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|g__Thermobaculum	0	0	0	2	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0
k__Bacteria|g__Thermobaculum|s__Thermobaculum_terrenum	0	0	0	2	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0
k__Bacteria|p__Coprothermobacterota	0	0	1	1	0	0	0	1	1	0	0	0	2	0	1	15	1	2	27	0
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	0	0	1	1	0	0	0	1	1	0	0	0	2	0	1	15	1	2	27	0
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	0	0	1	1	0	0	0	1	1	0	0	0	2	0	1	15	1	2	27	0
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	0	0	1	1	0	0	0	1	1	0	0	0	2	0	1	15	1	2	27	0
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	0	0	1	1	0	0	0	1	1	0	0	0	2	0	1	15	1	2	27	0
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_proteolyticus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	14	1	1	26	0
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_platensis	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0
k__Bacteria|s__bacterium_JKG1	0	0	1	3	2	10	1	1	3	1	0	1	4	1	4	2	0	0	13	1
k__Bacteria|s__bacterium_RmlP026	0	0	1	3	5	4	1	1	4	1	1	1	0	0	4	0	0	0	0	7
k__Bacteria|s__bacterium_2013Ark19i	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1
k__Bacteria|s__bacterium_JGI_053	0	0	2	2	0	4	0	0	1	0	1	0	0	0	0	2	0	0	0	0
k__Bacteria|s__bacterium_1XD42-54	0	0	2	1	4	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1
k__Bacteria|p__Candidatus_Atribacteria	0	0	2	1	0	0	2	0	0	0	3	0	0	0	1	1	0	0	0	0
k__Bacteria|p__Candidatus_Atribacteria|s__Atribacteria_bacterium_JGI_0000014-F07	0	0	2	1	0	0	2	0	0	0	3	0	0	0	1	1	0	0	0	0
k__Bacteria|p__Chrysiogenetes	0	2	0	3	1	15	1	0	4	0	1	5	2	3	1	1	0	5	13	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0	2	0	3	1	15	1	0	4	0	1	5	2	3	1	1	0	5	13	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	0	2	0	3	1	15	1	0	4	0	1	5	2	3	1	1	0	5	13	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	0	2	0	3	1	15	1	0	4	0	1	5	2	3	1	1	0	5	13	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	0	1	0	1	1	15	0	0	3	0	0	1	0	2	1	1	0	5	12	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum	0	1	0	1	1	15	0	0	3	0	0	1	0	2	1	1	0	5	12	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Chrysiogenes	0	1	0	2	0	0	1	0	1	0	1	4	2	1	0	0	0	0	1	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Chrysiogenes|s__Chrysiogenes_arsenatis	0	1	0	2	0	0	1	0	1	0	1	4	2	1	0	0	0	0	1	0
k__Bacteria|s__bacterium_1xD42-67	0	13	1	0	0	0	11	5	1	0	94	1	0	1	18	0	1	0	10	0
k__Bacteria|s__Candidatus_Dependentiae_bacterium_(ex_Spumella_elongata_CCAP_955/1)	0	2	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1
k__Bacteria|p__Dictyoglomi	1	1	4	1	9	3	37	4	1	0	0	11	3	0	1	4	0	1	6	1
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia	1	1	4	1	2	3	37	4	1	0	0	11	2	0	1	4	0	1	6	1
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	1	1	4	1	2	3	37	4	1	0	0	11	2	0	1	4	0	1	6	1
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	1	1	4	1	2	3	37	4	1	0	0	11	2	0	1	4	0	1	6	1
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	1	1	4	1	2	3	37	4	1	0	0	11	2	0	1	4	0	1	6	1
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_sp._ob1-4	0	0	0	0	0	0	2	0	1	0	0	1	1	0	1	1	0	0	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	0	1	0	0	0	2	33	0	0	0	0	9	1	0	0	3	0	0	0	1
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	1	0	4	1	2	1	1	4	0	0	0	1	0	0	0	0	0	1	6	0
k__Bacteria|p__Calditrichaeota	1	0	2	2	0	0	5	0	2	0	1	0	4	1	0	0	0	0	4	1
k__Bacteria|p__Calditrichaeota|c__Calditrichae	1	0	2	2	0	0	5	0	2	0	1	0	4	1	0	0	0	0	4	1
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	1	0	2	2	0	0	5	0	2	0	1	0	4	1	0	0	0	0	4	1
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	1	0	2	2	0	0	5	0	2	0	1	0	4	1	0	0	0	0	4	1
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	1	0	2	2	0	0	5	0	2	0	1	0	4	1	0	0	0	0	4	1
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi	1	0	2	2	0	0	5	0	2	0	1	0	4	1	0	0	0	0	4	1
k__Bacteria|p__Elusimicrobia	4	2	6	7	19	7	9	5	4	11	0	8	22	8	12	15	5	10	10	14
k__Bacteria|p__Elusimicrobia|s__uncultured_Termite_group_1_bacterium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia	0	2	0	0	9	0	2	0	0	1	0	2	4	3	0	0	0	3	9	3
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	0	2	0	0	9	0	2	0	0	1	0	2	4	3	0	0	0	3	9	3
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	0	2	0	0	9	0	2	0	0	1	0	2	4	3	0	0	0	3	9	3
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	0	2	0	0	9	0	2	0	0	1	0	2	4	3	0	0	0	3	9	3
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	0	2	0	0	9	0	2	0	0	1	0	2	4	3	0	0	0	3	9	3
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	4	0	6	7	6	6	6	4	4	8	0	4	18	5	12	15	4	7	1	11
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	4	0	6	7	6	6	6	4	4	8	0	4	18	5	12	15	4	7	1	11
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	4	0	6	7	6	6	6	4	4	8	0	4	18	5	12	15	4	7	1	11
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	1	0	0	1	0	0	0	2	1	5	0	0	10	0	0	0	0	3	0	9
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	0	0	0	0	0	0	0	2	0	4	0	0	9	0	0	0	0	3	0	9
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_sp._An273	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospinae	1	0	3	2	2	1	1	2	0	0	0	4	2	1	0	5	1	1	3	4
k__Bacteria|p__Nitrospinae|c__Nitrospinia	1	0	3	2	2	1	1	2	0	0	0	4	2	1	0	5	1	1	3	4
k__Bacteria|p__Nitrospinae|c__Nitrospinia|o__Nitrospinales	1	0	3	2	2	1	1	2	0	0	0	4	2	1	0	5	1	1	3	4
k__Bacteria|p__Nitrospinae|c__Nitrospinia|o__Nitrospinales|f__Nitrospinaceae	1	0	3	2	2	1	1	2	0	0	0	4	2	1	0	5	1	1	3	4
k__Bacteria|p__Nitrospinae|c__Nitrospinia|o__Nitrospinales|f__Nitrospinaceae|g__Nitrospina	1	0	3	2	2	1	1	2	0	0	0	4	2	1	0	5	1	1	3	4
k__Bacteria|p__Nitrospinae|c__Nitrospinia|o__Nitrospinales|f__Nitrospinaceae|g__Nitrospina|s__Nitrospina_gracilis	1	0	3	2	2	1	1	2	0	0	0	4	2	1	0	5	1	1	3	4
k__Bacteria|p__Candidatus_Tectomicrobia	3	7	5	6	2	5	3	0	27	68	8	18	8	4	9	5	3	0	1	1
k__Bacteria|p__Candidatus_Tectomicrobia|g__Candidatus_Entotheonella	3	7	5	6	2	5	3	0	27	68	8	18	8	4	9	5	3	0	1	1
k__Bacteria|p__Candidatus_Tectomicrobia|g__Candidatus_Entotheonella|s__Candidatus_Entotheonella_palauensis	3	7	5	6	2	5	3	0	27	68	8	18	8	4	9	5	3	0	1	1
k__Bacteria|p__Caldiserica	1	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia	1	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	1	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	1	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	1	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	1	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Candidatus_Cryosericota	6	2	3	3	10	5	2	0	3	1	0	0	1	0	1	0	0	2	2	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia	6	2	3	3	10	5	2	0	3	1	0	0	1	0	1	0	0	2	2	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales	6	2	3	3	10	5	2	0	3	1	0	0	1	0	1	0	0	2	2	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae	6	2	3	3	10	5	2	0	3	1	0	0	1	0	1	0	0	2	2	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum	6	2	3	3	10	5	2	0	3	1	0	0	1	0	1	0	0	2	2	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_odellii	0	0	0	2	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_septentrionale	1	0	2	1	5	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_terrychapinii	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_hinesii	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Nitrospirae	14	12	41	15	143	42	21	2	34	34	15	108	14	8	52	228	6	20	16	14
k__Bacteria|p__Nitrospirae|s__Nitrospirae_bacterium_HCH-1	0	3	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira	14	9	41	15	143	41	17	2	34	34	15	105	14	8	52	228	6	20	16	14
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	14	9	41	15	143	41	17	2	34	34	15	105	14	8	52	228	6	20	16	14
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	14	9	41	15	143	41	17	2	34	34	15	105	14	8	52	228	6	20	16	14
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Magnetobacterium	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Magnetobacterium|s__Candidatus_Magnetobacterium_casensis	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	0	2	1	0	0	1	3	0	11	3	1	2	2	4	0	213	0	10	6	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	213	0	0	1	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_sp._Group_II_'CF-1'	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Sulfobium	1	1	0	0	1	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Sulfobium|s__Candidatus_Sulfobium_mesophilum	1	1	0	0	1	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	2	0	25	0	1	4	2	0	1	2	5	2	2	0	2	7	1	2	4	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_aggregans	0	0	0	0	0	0	0	0	0	1	4	1	1	0	0	1	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_sp._N1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	3	1	0	1	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_thiophilus	1	0	25	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	11	6	15	15	141	35	4	2	22	29	9	98	10	4	50	8	5	7	6	12
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_nitrosa	0	0	0	0	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_sp._ND1	0	0	0	0	8	0	2	0	6	9	1	0	0	1	2	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_japonica	0	0	0	1	0	3	0	0	0	0	0	1	0	0	4	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_nitrificans	0	0	4	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis	0	2	0	2	124	11	1	1	1	10	0	5	0	0	1	0	0	5	3	3
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_lenta	0	2	0	3	2	3	0	1	0	1	1	1	0	0	3	0	1	0	0	5
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_inopinata	1	0	0	1	0	0	0	0	0	2	2	1	0	0	0	2	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_cf._moscoviensis_SBR1015	4	1	10	4	5	11	0	0	15	6	3	89	7	2	39	6	3	0	1	4
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_defluvii	6	1	1	4	1	5	0	0	0	0	1	0	0	1	1	0	1	1	1	0
k__Bacteria|p__Aquificae	18	16	15	20	48	10	38	8	10	20	12	8	15	92	12	20	0	42	45	3
k__Bacteria|p__Aquificae|c__Aquificae	18	16	15	19	48	10	38	8	10	20	12	7	15	92	12	20	0	42	45	3
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	7	15	9	16	31	7	33	8	10	17	8	3	14	91	12	20	0	40	42	2
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter_takaii	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	3	9	7	13	25	6	14	5	3	6	5	2	10	87	6	16	0	27	36	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter	0	0	0	0	0	0	1	0	1	2	1	1	4	0	1	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_thermophilus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter_hydrogenophilus	0	0	0	0	0	0	1	0	1	2	0	1	4	0	1	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenivirga	0	0	6	8	0	0	3	0	1	0	1	0	1	0	1	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenivirga|s__Hydrogenivirga_sp._128-5-R1-1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenivirga|s__Hydrogenivirga_caldilitoris	0	0	6	7	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis	1	1	1	2	17	1	5	0	0	0	0	0	5	84	1	16	0	2	24	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_albus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_ruber	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_sp._GBS	0	1	0	0	14	0	4	0	0	0	0	0	5	84	0	16	0	2	24	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis_minervae	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	1	8	0	3	3	1	4	5	0	3	2	1	0	2	1	0	0	20	10	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._HO	0	0	0	2	1	0	0	0	0	3	1	1	0	0	1	0	0	0	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._Y04AAS1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	1	0	0	0	5	4	1	0	1	0	1	0	0	1	2	0	0	5	1	0
