Proteins	log fold change (Industrial plaque - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Industrial plaque)	structural.zero (CMC)
RXN1G-1438	-0.379735589120897	0.270607089930967	-1.47822051007449	0.718749331832693	0	0	TRUE	0	0
RXN1G-1439	-0.379735589120897	0.270607089930967	-1.47822051007449	0.718749331832693	0	0	TRUE	0	0
TREHALOSEPHOSPHA-RXN	-0.379735589120897	0.270607089930967	-1.47822051007449	0.718749331832693	0	0	TRUE	0	0
UDP-NACMURALGLDAPLIG-RXN	-0.369538309937669	0.0692621494362857	-0.650696600239683	-0.0883800196356545	0	0	TRUE	0	0
4.1.1.86-RXN	-0.364129955212714	0.109938116281482	-0.810405634848668	0.0821457244232403	0	0	TRUE	0	0
HOMSUCTRAN-RXN	-0.359515287596837	0.158997656972827	-1.00494009407976	0.28590951888609	0	0	TRUE	0	0
RXN-16820	-0.344863962038341	0.0604972324783254	-0.590442515260347	-0.0992854088163343	0	0	TRUE	0	0
RXN-18693	-0.344863962038341	0.0604972324783254	-0.590442515260347	-0.0992854088163343	0	0	TRUE	0	0
RXN0-2023	-0.344863962038341	0.0604972324783254	-0.590442515260347	-0.0992854088163343	0	0	TRUE	0	0
RXN-11586	-0.335116943823513	0.0699226592304289	-0.61895646486931	-0.051277422777716	0	0	TRUE	0	0
2.8.1.6-RXN	-0.33301715452379	0.0788610009527758	-0.653140401922925	-0.0128939071246552	0	0	TRUE	0	0
PHOSACETYLGLUCOSAMINEMUT-RXN	-0.327489918384871	0.0659360152104531	-0.595146314508589	-0.059833522261154	0	0	TRUE	0	0
BIOTIN-CARBOXYL-RXN	-0.323094769795556	0.0757714934783779	-0.630676670348733	-0.0155128692423779	0	0	TRUE	0	0
RXN0-1342	-0.320411882448726	0.0837976949232035	-0.660574826099946	0.0197510612024947	0	0	TRUE	0	0
RXN0-5063	-0.31530375403782	0.0757848827228213	-0.62294000602402	-0.0076675020516192	0	0	TRUE	0	0
1.18.1.2-RXN	-0.308760645880976	0.0523589819576076	-0.521303311232373	-0.0962179805295781	0	0	TRUE	0	0
2-DEHYDROPANTOATE-REDUCT-RXN	-0.301112887520297	0.145140629806679	-0.890287374046191	0.288061599005597	0	0	TRUE	0	0
RXN0-1321	-0.298691984381647	0.0601797691411247	-0.542981847462684	-0.0544021213006107	0	0	TRUE	0	0
RXN-14971	-0.296349613126896	0.0780343402023026	-0.613117167334953	0.0204179410811602	0	0	TRUE	0	0
RXN-21393	-0.296349613126896	0.0780343402023026	-0.613117167334953	0.0204179410811602	0	0	TRUE	0	0
RXN-21394	-0.296349613126896	0.0780343402023026	-0.613117167334953	0.0204179410811602	0	0	TRUE	0	0
RXN1YI0-14	-0.296349613126896	0.0780343402023026	-0.613117167334953	0.0204179410811602	0	0	TRUE	0	0
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	-0.296349613126896	0.0780343402023026	-0.613117167334953	0.0204179410811602	0	0	TRUE	0	0
SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	-0.296349613126896	0.0780343402023026	-0.613117167334953	0.0204179410811602	0	0	TRUE	0	0
GLYCOGENSYN-RXN	-0.295052520489959	0.0567073508928816	-0.525246673492179	-0.0648583674877386	0	0	TRUE	0	0
ALANINE--TRNA-LIGASE-RXN	-0.279827428962602	0.0660421660988888	-0.547914727138154	-0.0117401307870488	0	0	TRUE	0	0
GLYCINE--TRNA-LIGASE-RXN	-0.276258056636626	0.0584007432526698	-0.513326257074041	-0.039189856199212	0	0	TRUE	0	0
1.8.1.15-RXN	-0.273249791315283	0.304966660402948	-1.51121173064094	0.964712148010375	0	0	TRUE	0	0
GLYC3PDEHYDROGBIOSYN-RXN	-0.27204321221006	0.063647722898843	-0.530410662505791	-0.0136757619143291	0	0	TRUE	0	0
ENOYL-ACP-REDUCT-NADH-RXN	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-10657	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-10661	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-11478	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-11482	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-16620	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-16624	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-16628	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-16632	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21616	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21620	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21624	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21628	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21633	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21637	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21647	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21652	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21657	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21662	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21667	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21672	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21678	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21683	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21688	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21693	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21699	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-21704	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9558	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9635	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9657	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9658	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9659	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9660	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9661	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9662	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-9663	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN0-2145	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN1G-395	-0.271832428836057	0.0503368687669309	-0.476166658669426	-0.0674981990026884	0	0	TRUE	0	0
RXN-12241	-0.269682726164572	0.177456145310424	-0.990036726511635	0.450671274182492	0	0	TRUE	0	0
RXN-12104	-0.268157729084418	0.077108849478217	-0.581168406097757	0.0448529479289208	0	0	TRUE	0	0
LYSDECARBOX-RXN	-0.265274343228741	0.102619151377923	-0.681839890045933	0.151291203588451	0	0	TRUE	0	0
RXN-14014	-0.265067476874361	0.0733170022555327	-0.562685774487215	0.0325508207384941	0	0	TRUE	0	0
RXN-14903	-0.263738312200584	0.142033364646109	-0.840299367477647	0.31282274307648	0	0	TRUE	0	0
RXN0-7008	-0.263738312200584	0.142033364646109	-0.840299367477647	0.31282274307648	0	0	TRUE	0	0
RXN-11322	-0.26355851426157	0.120415108357881	-0.752363817994997	0.225246789471857	0	0	TRUE	0	0
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	-0.258271197323044	0.061662317339426	-0.508579220685233	-0.0079631739608545	0	0	TRUE	0	0
4.3.1.4-RXN	-0.256103683216432	0.160461969360412	-0.907472624709781	0.395265258276917	0	0	TRUE	0	0
RXN0-4301	-0.249524646021245	0.0835465893270392	-0.588668267854164	0.0896189758116748	0	0	TRUE	0	0
RXN-8668	-0.245034115001046	0.0665389140897403	-0.515137879846424	0.025069649844333	0	0	TRUE	0	0
RXN-11633	-0.244473029731799	0.0626705806838195	-0.498873932110755	0.00992787264715589	0	0	TRUE	0	0
RXN-14461	-0.24380781254777	0.0630662692343738	-0.49981494744003	0.0121993223444898	0	0	TRUE	0	0
3.1.13.1-RXN	-0.240450323112127	0.0722041305493372	-0.533551101289244	0.0526504550649894	0	0	TRUE	0	0
RXN0-4222	-0.240450323112127	0.0722041305493372	-0.533551101289244	0.0526504550649894	0	0	TRUE	0	0
RXN0-6479	-0.240450323112127	0.0722041305493372	-0.533551101289244	0.0526504550649894	0	0	TRUE	0	0
RXN0-6524	-0.240450323112127	0.0722041305493372	-0.533551101289244	0.0526504550649894	0	0	TRUE	0	0
RXN0-6525	-0.240450323112127	0.0722041305493372	-0.533551101289244	0.0526504550649894	0	0	TRUE	0	0
1.8.4.12-RXN	-0.239830215445076	0.0732127820388873	-0.537025448250306	0.0573650173601546	0	0	TRUE	0	0
GLYCDEH-RXN	-0.233932140495267	0.12089823826968	-0.724698630549083	0.25683434955855	0	0	TRUE	0	0
AMINOCYL-TRNA-HYDROLASE-RXN	-0.224411788981526	0.0600659995908868	-0.4682398233077	0.0194162453446472	0	0	TRUE	0	0
RXN-12460	-0.224411788981526	0.0600659995908868	-0.4682398233077	0.0194162453446472	0	0	TRUE	0	0
RXN-16637	-0.224411788981526	0.0600659995908868	-0.4682398233077	0.0194162453446472	0	0	TRUE	0	0
3.1.1.64-RXN	-0.220888790661173	0.18846030479059	-0.985912364373127	0.544134783050781	0	0	TRUE	0	0
CARBOXYLESTERASE-RXN	-0.220888790661173	0.18846030479059	-0.985912364373127	0.544134783050781	0	0	TRUE	0	0
RETINYL-PALMITATE-ESTERASE-RXN	-0.220888790661173	0.18846030479059	-0.985912364373127	0.544134783050781	0	0	TRUE	0	0
RXN-10767	-0.220888790661173	0.18846030479059	-0.985912364373127	0.544134783050781	0	0	TRUE	0	0
RXN-12575	-0.220888790661173	0.18846030479059	-0.985912364373127	0.544134783050781	0	0	TRUE	0	0
R125-RXN	-0.218203465302764	0.191884488051981	-0.997126947107222	0.560720016501693	0	0	TRUE	0	0
2.7.1.121-RXN	-0.217652295836243	0.131618993067824	-0.751937924616268	0.316633332943782	0	0	TRUE	0	0
CTPSYN-RXN	-0.217498578800145	0.0620117758959527	-0.469225171627535	0.0342280140272451	0	0	TRUE	0	0
RXN-12458	-0.216527916174477	0.0614286407871977	-0.465887368052199	0.0328315357032453	0	0	TRUE	0	0
RXN-14517	-0.216527916174477	0.0614286407871977	-0.465887368052199	0.0328315357032453	0	0	TRUE	0	0
1.7.2.2-RXN	-0.213323940420461	0.0989633665467179	-0.61504943071011	0.188401549869187	0	0	TRUE	0	0
UDP-NACMURALA-GLU-LIG-RXN	-0.211729255590109	0.0623951863610797	-0.465012240064832	0.0415537288846141	0	0	TRUE	0	0
2.3.1.157-RXN	-0.20936609797681	0.0690907815166108	-0.489828748427902	0.0710965524742821	0	0	TRUE	0	0
ACETYL-COA-CARBOXYLTRANSFER-RXN	-0.208957691557301	0.0402661964389776	-0.372411685403714	-0.045503697710888	0	0	TRUE	0	0
MALIC-NADP-RXN	-0.208131959733487	0.0907982970320913	-0.576712694863012	0.160448775396039	0	0	TRUE	0	0
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	-0.204917544257622	0.0617149645814834	-0.455439280429571	0.0456041919143264	0	0	TRUE	0	0
NAG1P-URIDYLTRANS-RXN	-0.204154242038864	0.0615391152120867	-0.453962146652701	0.0456536625749723	0	0	TRUE	0	0
6.3.2.10-RXN	-0.20232905038099	0.0604777169640115	-0.447828383586241	0.0431702828242613	0	0	TRUE	0	0
UDP-NACMURALGLDAPAALIG-RXN	-0.20232905038099	0.0604777169640115	-0.447828383586241	0.0431702828242613	0	0	TRUE	0	0
RXN-11832	-0.201209753991154	0.0630985931551355	-0.457348102516996	0.0549285945346872	0	0	TRUE	0	0
2.3.1.179-RXN	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21617	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21625	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21649	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21664	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21669	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21680	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21685	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21690	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-21695	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RXN-8391	-0.200357724830026	0.0811924865457965	-0.529945254070435	0.129229804410384	0	0	TRUE	0	0
RIB5PISOM-RXN	-0.191383373246783	0.0632840042815271	-0.448274367708731	0.0655076212151653	0	0	TRUE	0	0
FADSYN-RXN	-0.191136570122135	0.0632498443944262	-0.447888898147474	0.0656157579032047	0	0	TRUE	0	0
1.8.1.4-RXN	-0.189874724756283	0.0566841811909344	-0.419974824168782	0.0402253746562158	0	0	TRUE	0	0
RXN-7716	-0.189874724756283	0.0566841811909344	-0.419974824168782	0.0402253746562158	0	0	TRUE	0	0
PANTOTHENATE-KIN-RXN	-0.186564130488351	0.0665458288322414	-0.456695964592268	0.0835677036155668	0	0	TRUE	0	0
CITLY-RXN	-0.186216572849717	0.190293265085022	-0.958680747045028	0.586247601345595	0	0	TRUE	0	0
3.5.4.30-RXN	-0.184749832135833	0.157494318510612	-0.824072083684761	0.454572419413095	0	0	TRUE	0	0
CYTIDINEKIN-RXN	-0.18349027566653	0.0936125304954806	-0.563494928123443	0.196514376790382	0	0	TRUE	0	0
URIDINEKIN-RXN	-0.18349027566653	0.0936125304954806	-0.563494928123443	0.196514376790382	0	0	TRUE	0	0
URKI-RXN	-0.18349027566653	0.0936125304954806	-0.563494928123443	0.196514376790382	0	0	TRUE	0	0
GART-RXN	-0.181937235032556	0.0589695456713858	-0.421314395224575	0.0574399251594639	0	0	TRUE	0	0
RXN-20927	-0.181063798565972	0.0637221920955446	-0.439733544302939	0.0776059471709956	0	0	TRUE	0	0
DNA-DIRECTED-DNA-POLYMERASE-RXN	-0.181041915503448	0.0637210494174198	-0.439707022726731	0.0776231917198353	0	0	TRUE	0	0
LEUCYLTRANSFERASE-RXN	-0.180591511842246	0.0882143589421114	-0.538683175790212	0.177500152105721	0	0	TRUE	0	0
RXN-17846	-0.180591511842246	0.0882143589421114	-0.538683175790212	0.177500152105721	0	0	TRUE	0	0
RXN-17847	-0.180591511842246	0.0882143589421114	-0.538683175790212	0.177500152105721	0	0	TRUE	0	0
RXN-17848	-0.180591511842246	0.0882143589421114	-0.538683175790212	0.177500152105721	0	0	TRUE	0	0
RXN0-6274	-0.177758951453006	0.0731239180864728	-0.474593455676555	0.119075552770543	0	0	TRUE	0	0
GUANPRIBOSYLTRAN-RXN	-0.177564570970477	0.0867735499193192	-0.529807507947118	0.174678366006164	0	0	TRUE	0	0
HYPOXANPRIBOSYLTRAN-RXN	-0.177564570970477	0.0867735499193192	-0.529807507947118	0.174678366006164	0	0	TRUE	0	0
RXN0-5055	-0.172790008261303	0.0380462424741237	-0.327232464545174	-0.0183475519774319	0	0	TRUE	0	0
RXN-12588	-0.172689561288239	0.0533654844124339	-0.389317957615168	0.0439388350386902	0	0	TRUE	0	0
RXN-14385	-0.172689561288239	0.0533654844124339	-0.389317957615168	0.0439388350386902	0	0	TRUE	0	0
RXN-15881	-0.172689561288239	0.0533654844124339	-0.389317957615168	0.0439388350386902	0	0	TRUE	0	0
RXN-20037	-0.172689561288239	0.0533654844124339	-0.389317957615168	0.0439388350386902	0	0	TRUE	0	0
RXN-21560	-0.172689561288239	0.0533654844124339	-0.389317957615168	0.0439388350386902	0	0	TRUE	0	0
RXN-21566	-0.172689561288239	0.0533654844124339	-0.389317957615168	0.0439388350386902	0	0	TRUE	0	0
RXN-9787	-0.172689561288239	0.0533654844124339	-0.389317957615168	0.0439388350386902	0	0	TRUE	0	0
ADENPRIBOSYLTRAN-RXN	-0.170993233597869	0.0677661606556828	-0.446078803788125	0.104092336592387	0	0	TRUE	0	0
RXN-14270	-0.170993233597869	0.0677661606556828	-0.446078803788125	0.104092336592387	0	0	TRUE	0	0
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	-0.169789138483447	0.0660871060060098	-0.438058862811744	0.0984805858448505	0	0	TRUE	0	0
PROPIONYL-COA-CARBOXY-RXN	-0.169564991375611	0.199855944448381	-0.980847287768845	0.641717305017622	0	0	TRUE	0	0
RXN1G-4355	-0.169564991375611	0.199855944448381	-0.980847287768845	0.641717305017622	0	0	TRUE	0	0
THYMIDYLATESYN-RXN	-0.166662681429673	0.0636811300115901	-0.425165742398483	0.0918403795391363	0	0	TRUE	0	0
DIHYDROFOLATEREDUCT-RXN	-0.164978115500105	0.0645846292473292	-0.427148782838008	0.0971925518377973	0	0	TRUE	0	0
RXN-18357	-0.164978115500105	0.0645846292473292	-0.427148782838008	0.0971925518377973	0	0	TRUE	0	0
RXN-19329	-0.164978115500105	0.0645846292473292	-0.427148782838008	0.0971925518377973	0	0	TRUE	0	0
RIBOFLAVINSYNREDUC-RXN	-0.163715427422441	0.0647681400954223	-0.426631026829614	0.0992001719847319	0	0	TRUE	0	0
RXN-11839	-0.161247139049241	0.0682055274105265	-0.438116246230665	0.115621968132183	0	0	TRUE	0	0
GALPMUT-RXN	-0.154352106629674	0.161713110068583	-0.810799847803651	0.502095634544303	0	0	TRUE	0	0
RIBOFLAVINSYNDEAM-RXN	-0.154173259356106	0.0678820767742889	-0.429729371942042	0.121382853229831	0	0	TRUE	0	0
1TRANSKETO-RXN	-0.14985197247004	0.0692580090255683	-0.430993455456544	0.131289510516465	0	0	TRUE	0	0
2TRANSKETO-RXN	-0.14985197247004	0.0692580090255683	-0.430993455456544	0.131289510516465	0	0	TRUE	0	0
