Pathway	Residual
ATP-dependent DNA helicase RecQ	MR1
ATP-dependent DNA helicase UvrD/PcrA	MR1
ATP-dependent protease domain protein (EC 3.4.21.-)	MR1
ATP-dependent RNA helicase RhlE	MR1
ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	MR1
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11)	MR1
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	MR1
Biotin carboxyl carrier protein of acetyl-CoA carboxylase	MR1
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	MR1
Biotin synthase (EC 2.8.1.6)	MR1
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	MR1
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	MR1
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	MR1
Capsular polysaccharide biosynthesis protein CapD	MR1
Capsular polysaccharide export system inner membrane protein KpsE	MR1
Capsular polysaccharide export system protein KpsC	MR1
Capsular polysaccharide export system protein KpsS	MR1
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	MR1
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	MR1
Carbon starvation protein A	MR1
Cardiolipin synthetase (EC 2.7.8.-)	MR1
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	MR1
Cell division protein FtsA	MR1
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	MR1
Cell division protein FtsK	MR1
Cell division protein FtsW	MR1
Cell division protein FtsX	MR1
Cell division protein FtsZ (EC 3.4.24.-)	MR1
Cell division protein MraZ	MR1
Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)	MR1
Chaperone protein DnaJ	MR1
Chaperone protein DnaK	MR1
Choline kinase (EC 2.7.1.32)	MR1
Chorismate synthase (EC 4.2.3.5)	MR1
Chromosomal replication initiator protein DnaA	MR1
Chromosome (plasmid) partitioning protein ParA	MR1
Chromosome (plasmid) partitioning protein ParB	MR1
Chromosome partition protein smc	MR1
Citrate lyase beta chain (EC 4.1.3.6)	MR1
Citrate synthase (si) (EC 2.3.3.1)	MR1
ClpB protein	MR1
Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)	MR1
Cobalamin synthase	MR1
Cobalt-precorrin-6x reductase (EC 1.3.1.54)	MR1
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	MR1
COG0488: ATPase components of ABC transporters with duplicated ATPase domains	MR1
Conjugative transposon protein TraH	MR1
Conserved protein YcjX with nucleoside triphosphate hydrolase domain	MR1
Copper chaperone	MR1
Copper-translocating P-type ATPase (EC 3.6.3.4)	MR1
CRISPR-associated helicase Cas3	MR1
CRISPR-associated protein Cas1	MR1
CRISPR-associated protein Cas7	MR1
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	MR1
CTP synthase (EC 6.3.4.2)	MR1
Cysteine desulfurase (EC 2.8.1.7)	MR1
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	MR1
Cysteine synthase (EC 2.5.1.47)	MR1
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	MR1
Cytidylate kinase (EC 2.7.4.25)	MR1
Cytochrome c oxidase subunit CcoQ (EC 1.9.3.1)	MR1
Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE	MR1
Cytochrome c-type heme lyase subunit nrfF, nitrite reductase complex assembly	MR1
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	MR1
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	MR1
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	MR1
Cytosine/purine/uracil/thiamine/allantoin permease family protein	MR1
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	MR1
D-alanine--D-alanine ligase (EC 6.3.2.4)	MR1
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	MR1
D-serine/D-alanine/glycine transporter	MR1
DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	MR1
Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	MR1
Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	MR1
Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	MR1
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	MR1
Dephospho-CoA kinase (EC 2.7.1.24)	MR1
Diaminopimelate decarboxylase (EC 4.1.1.20)	MR1
Diaminopimelate epimerase (EC 5.1.1.7)	MR1
Diaminopimelate epimerase alternative form predicted for S.aureus (EC 5.1.1.7)	MR1
Dihydrofolate reductase (EC 1.5.1.3)	MR1
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	MR1
Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	MR1
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	MR1
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	MR1
Dihydroneopterin aldolase (EC 4.1.2.25)	MR1
Dihydroorotase (EC 3.5.2.3)	MR1
Dihydroorotate dehydrogenase (EC 1.3.3.1)	MR1
Dihydropteroate synthase (EC 2.5.1.15)	MR1
Dihydroxy-acid dehydratase (EC 4.2.1.9)	MR1
DinG family ATP-dependent helicase YoaA	MR1
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	MR1
DNA gyrase subunit A (EC 5.99.1.3)	MR1
DNA gyrase subunit B (EC 5.99.1.3)	MR1
DNA helicase IV	MR1
DNA ligase (EC 6.5.1.2)	MR1
DNA mismatch repair protein MutL	MR1
DNA mismatch repair protein MutS	MR1
DNA polymerase I (EC 2.7.7.7)	MR1
DNA polymerase III alpha subunit (EC 2.7.7.7)	MR1
DNA polymerase III delta prime subunit (EC 2.7.7.7)	MR1
DNA polymerase III delta subunit (EC 2.7.7.7)	MR1
DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	MR1
DNA primase (EC 2.7.7.-)	MR1
DNA recombination and repair protein RecF	MR1
DNA recombination and repair protein RecO	MR1
DNA repair protein RadA	MR1
DNA repair protein RecN	MR1
DNA topoisomerase I (EC 5.99.1.2)	MR1
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	MR1
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	MR1
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	MR1
DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	MR1
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	MR1
dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	MR1
dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	MR1
Electron transfer flavoprotein, alpha subunit	MR1
Electron transfer flavoprotein, beta subunit	MR1
Endonuclease III (EC 4.2.99.18)	MR1
Enolase (EC 4.2.1.11)	MR1
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)	MR1
Epi-inositol hydrolase (EC 3.7.1.-)	MR1
Evolved beta-D-galactosidase, alpha subunit	MR1
Excinuclease ABC subunit A	MR1
Excinuclease ABC subunit A paralog of unknown function	MR1
Excinuclease ABC subunit B	MR1
Excinuclease ABC subunit C	MR1
Exodeoxyribonuclease III (EC 3.1.11.2)	MR1
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	MR1
Exopolyphosphatase (EC 3.6.1.11)	MR1
Ferredoxin-like protein	MR1
Ferrous iron transport permease EfeU	MR1
Ferrous iron transport protein B	MR1
FMN adenylyltransferase (EC 2.7.7.2)	MR1
Folylpolyglutamate synthase (EC 6.3.2.17)	MR1
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	MR1
Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	MR1
Formate hydrogenlyase subunit 4	MR1
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	MR1
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	MR1
Fructokinase (EC 2.7.1.4)	MR1
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	MR1
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	MR1
Fructose-specific phosphocarrier protein HPr	MR1
Fumarate hydratase class II (EC 4.2.1.2)	MR1
Functional role page for Chaperone protein TorD	MR1
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	MR1
Glucokinase (EC 2.7.1.2)	MR1
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	MR1
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	MR1
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	MR1
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	MR1
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	MR1
Glucose-6-phosphate isomerase (EC 5.3.1.9)	MR1
Glutaconyl-CoA decarboxylase delta chain (EC 4.1.1.70)	MR1
Glutamate 5-kinase (EC 2.7.2.11)	MR1
Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)	MR1
Glutamate racemase (EC 5.1.1.3)	MR1
Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	MR1
Glutamine synthetase type I (EC 6.3.1.2)	MR1
Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	MR1
Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	MR1
Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	MR1
Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	MR1
Glutaredoxin 1	MR1
Glycerate kinase (EC 2.7.1.31)	MR1
Glycerol kinase (EC 2.7.1.30)	MR1
Glycerol uptake operon antiterminator regulatory protein	MR1
Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	MR1
Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	MR1
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	MR1
Glycine cleavage system H protein	MR1
Glycogen debranching enzyme (EC 3.2.1.-)	MR1
Glycogen phosphorylase (EC 2.4.1.1)	MR1
Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	MR1
GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	MR1
GTP cyclohydrolase I (EC 3.5.4.16) type 1	MR1
GTP cyclohydrolase II (EC 3.5.4.25)	MR1
GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	MR1
GTP-binding and nucleic acid-binding protein YchF	MR1
GTP-binding protein EngA	MR1
GTP-binding protein Era	MR1
GTP-binding protein HflX	MR1
GTP-binding protein TypA/BipA	MR1
GTPase and tRNA-U34 5-formylation enzyme TrmE	MR1
Guanylate kinase (EC 2.7.4.8)	MR1
Heat shock protein 60 family chaperone GroEL	MR1
Heat shock protein 60 family co-chaperone GroES	MR1
Heat shock protein GrpE	MR1
Heat-inducible transcription repressor HrcA	MR1
Histidine ammonia-lyase (EC 4.3.1.3)	MR1
Histidinol dehydrogenase (EC 1.1.1.23)	MR1
Histidinol-phosphate aminotransferase (EC 2.6.1.9)	MR1
Holliday junction DNA helicase RuvA	MR1
Holliday junction DNA helicase RuvB	MR1
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	MR1
Homoserine dehydrogenase (EC 1.1.1.3)	MR1
Homoserine kinase (EC 2.7.1.39)	MR1
Homoserine O-acetyltransferase (EC 2.3.1.31)	MR1
HspR, transcriptional repressor of DnaK operon	MR1
Hyaluronate lyase precursor (EC 4.2.2.1)	MR1
Hydrogen peroxide-inducible genes activator	MR1
Hydroxymethylpyrimidine ABC transporter, substrate-binding component	MR1
Hydroxymethylpyrimidine ABC transporter, transmembrane component	MR1
Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	MR1
Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	MR1
Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	MR1
Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	MR1
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	MR1
Imidazolonepropionase (EC 3.5.2.7)	MR1
Immunogenic secreted protein	MR1
IMP cyclohydrolase (EC 3.5.4.10)	MR1
Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	MR1
Inner membrane protein translocase component YidC, long form	MR1
Inorganic pyrophosphatase (EC 3.6.1.1)	MR1
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	MR1
Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	MR1
Inosose dehydratase (EC 4.2.1.44)	MR1
internalin, putative (LPXTG motif)	MR1
Iron-sulfur cluster assembly protein SufB	MR1
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	MR1
Ketol-acid reductoisomerase (EC 1.1.1.86)	MR1
L-asparaginase (EC 3.5.1.1)	MR1
L-fucose mutarotase	MR1
L-fucose operon activator	MR1
L-fuculose phosphate aldolase (EC 4.1.2.17)	MR1
L-lactate dehydrogenase (EC 1.1.1.27)	MR1
L-lactate permease	MR1
L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	MR1
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	MR1
L-serine dehydratase (EC 4.3.1.17)	MR1
L-serine dehydratase, alpha subunit (EC 4.3.1.17)	MR1
Large-conductance mechanosensitive channel	MR1
Legionaminic acid biosynthesis protein PtmA	MR1
Legionaminic acid biosynthesis protein PtmF	MR1
Legionaminic acid cytidylyltransferase (EC 2.7.7.43)	MR1
Legionaminic acid synthase (EC 2.5.1.56)	MR1
Lipoate synthase	MR1
Lipoate-protein ligase A	MR1
Lipopolysaccharide cholinephosphotransferase LicD2 (EC 2.7.8.-)	MR1
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	MR1
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	MR1
LSU ribosomal protein L10p (P0)	MR1
LSU ribosomal protein L11p (L12e)	MR1
LSU ribosomal protein L13p (L13Ae)	MR1
LSU ribosomal protein L14p (L23e)	MR1
LSU ribosomal protein L15p (L27Ae)	MR1
LSU ribosomal protein L16p (L10e)	MR1
LSU ribosomal protein L17p	MR1
LSU ribosomal protein L18p (L5e)	MR1
LSU ribosomal protein L19p	MR1
LSU ribosomal protein L1p (L10Ae)	MR1
LSU ribosomal protein L20p	MR1
LSU ribosomal protein L21p	MR1
LSU ribosomal protein L22p (L17e)	MR1
LSU ribosomal protein L23p (L23Ae)	MR1
LSU ribosomal protein L24p (L26e)	MR1
LSU ribosomal protein L25p	MR1
LSU ribosomal protein L27p	MR1
LSU ribosomal protein L28p	MR1
LSU ribosomal protein L29p (L35e)	MR1
LSU ribosomal protein L2p (L8e)	MR1
LSU ribosomal protein L31p	MR1
LSU ribosomal protein L35p	MR1
LSU ribosomal protein L3p (L3e)	MR1
LSU ribosomal protein L4p (L1e)	MR1
LSU ribosomal protein L5p (L11e)	MR1
LSU ribosomal protein L6p (L9e)	MR1
LSU ribosomal protein L7/L12 (P1/P2)	MR1
LSU ribosomal protein L9p	MR1
Lysophospholipase (EC 3.1.1.5)	MR1
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	MR1
Magnesium and cobalt efflux protein CorC	MR1
Major myo-inositol transporter IolT	MR1
Malate dehydrogenase (EC 1.1.1.37)	MR1
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	MR1
Mannose-6-phosphate isomerase (EC 5.3.1.8)	MR1
Membrane-associated zinc metalloprotease	MR1
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	MR1
Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly	MR1
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	MR1
Methionine ABC transporter ATP-binding protein	MR1
Methionine ABC transporter permease protein	MR1
Methionine ABC transporter substrate-binding protein	MR1
Methionyl-tRNA formyltransferase (EC 2.1.2.9)	MR1
Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	MR1
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	MR1
Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	MR1
Methylmalonyl-CoA mutase (EC 5.4.99.2)	MR1
Mll9366 protein	MR1
Monoglyceride lipase (EC 3.1.1.23)	MR1
Motility integral membrane protein	MR1
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	MR1
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	MR1
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	MR1
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	MR1
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	MR1
N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family	MR1
N-Acetyltransferase PseH involved in the biosynthesis of pseudaminic acid	MR1
N-linked glycosylation glycosyltransferase PglG	MR1
N-succinyl-L,L-diaminopimelate aminotransferase alternative (EC 2.6.1.17)	MR1
N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	MR1
NAD kinase (EC 2.7.1.23)	MR1
NAD synthetase (EC 6.3.1.5)	MR1
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	MR1
NAD-dependent malic enzyme (EC 1.1.1.38)	MR1
NAD-dependent protein deacetylase of SIR2 family	MR1
NAD(P)HX dehydratase	MR1
NADH dehydrogenase (EC 1.6.99.3)	MR1
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	MR1
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	MR1
NADP-dependent malic enzyme (EC 1.1.1.40)	MR1
NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	MR1
Naphthoate synthase (EC 4.1.3.36)	MR1
Nicotinamidase (EC 3.5.1.19)	MR1
Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	MR1
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	MR1
Nitrate reductase cytochrome c550-type subunit	MR1
Non-specific DNA-binding protein Dps	MR1
Nonheme iron-containing ferritin	MR1
Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	MR1
Nucleoside diphosphate kinase (EC 2.7.4.6)	MR1
Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)	MR1
O-succinylbenzoate synthase (EC 4.2.1.113)	MR1
O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	MR1
O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	MR1
Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase	MR1
Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	MR1
Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	MR1
Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	MR1
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	MR1
Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	MR1
Ornithine carbamoyltransferase (EC 2.1.3.3)	MR1
Orotate phosphoribosyltransferase (EC 2.4.2.10)	MR1
Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	MR1
Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)	MR1
Outer membrane component of tripartite multidrug resistance system	MR1
Outer membrane lipoprotein LolB precursor	MR1
Outer membrane stress sensor protease DegQ, serine protease	MR1
Oxaloacetate decarboxylase gamma chain (EC 4.1.1.3)	MR1
Pantoate--beta-alanine ligase (EC 6.3.2.1)	MR1
Pantothenate kinase (EC 2.7.1.33)	MR1
Peptide chain release factor 1	MR1
Peptide chain release factor 2	MR1
Peptide deformylase (EC 3.5.1.88)	MR1
Peptide transport periplasmic protein SapA	MR1
