Ortholog	Residual
PWY-7431: aromatic biogenic amine degradation (bacteria)	MR1
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	MR1
PWY-7663: gondoate biosynthesis (anaerobic)	MR1
PWY-7664: oleate biosynthesis IV (anaerobic)	MR1
PWY0-1261: anhydromuropeptides recycling I	MR1
PWY0-1319: CDP-diacylglycerol biosynthesis II	MR1
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	MR1
PWY0-1479: tRNA processing	MR1
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	MR1
PWY0-781: aspartate superpathway	MR1
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	MR1
PWY0-862: (5Z)-dodecenoate biosynthesis I	MR1
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis	MR1
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	MR1
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	MR1
PWY66-389: phytol degradation	MR1
PWY66-399: gluconeogenesis III	MR1
PWY66-422	MR1
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	MR1
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	MR1
SO4ASSIM-PWY: assimilatory sulfate reduction I	MR1
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	MR1
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	MR1
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	MR1
1CMET2-PWY: folate transformations III (E. coli)	MR2
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	MR2
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	MR2
ARO-PWY: chorismate biosynthesis I	MR2
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	MR2
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	MR2
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	MR2
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	MR2
DAPLYSINESYN-PWY: L-lysine biosynthesis I	MR2
GLUTORN-PWY: L-ornithine biosynthesis I	MR2
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	MR2
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	MR2
HISTSYN-PWY: L-histidine biosynthesis	MR2
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	MR2
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	MR2
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	MR2
METHGLYUT-PWY: superpathway of methylglyoxal degradation	MR2
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	MR2
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	MR2
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	MR2
P108-PWY: pyruvate fermentation to propanoate I	MR2
P164-PWY: purine nucleobases degradation I (anaerobic)	MR2
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	MR2
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	MR2
PENTOSE-P-PWY: pentose phosphate pathway	MR2
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	MR2
PPGPPMET-PWY: ppGpp metabolism	MR2
PWY-2941: L-lysine biosynthesis II	MR2
PWY-2942: L-lysine biosynthesis III	MR2
PWY-3001: superpathway of L-isoleucine biosynthesis I	MR2
PWY-3841: folate transformations II (plants)	MR2
PWY-4242	MR2
PWY-5022: 4-aminobutanoate degradation V	MR2
PWY-5030: L-histidine degradation III	MR2
PWY-5088: L-glutamate degradation VIII (to propanoate)	MR2
PWY-5097: L-lysine biosynthesis VI	MR2
PWY-5100: pyruvate fermentation to acetate and lactate II	MR2
PWY-5103: L-isoleucine biosynthesis III	MR2
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	MR2
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	MR2
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	MR2
PWY-5497: purine nucleobases degradation II (anaerobic)	MR2
PWY-5686: UMP biosynthesis I	MR2
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	MR2
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	MR2
PWY-6123: inosine-5'-phosphate biosynthesis I	MR2
PWY-6124: inosine-5'-phosphate biosynthesis II	MR2
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	MR2
PWY-622: starch biosynthesis	MR2
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	MR2
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	MR2
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	MR2
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	MR2
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	MR2
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	MR2
PWY-6936: seleno-amino acid biosynthesis (plants)	MR2
PWY-7111: pyruvate fermentation to isobutanol (engineered)	MR2
PWY-7219: adenosine ribonucleotides de novo biosynthesis	MR2
PWY-7221: guanosine ribonucleotides de novo biosynthesis	MR2
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	MR2
PWY-7234: inosine-5'-phosphate biosynthesis III	MR2
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	MR2
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	MR2
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	MR2
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	MR2
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	MR2
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	MR2
RHAMCAT-PWY: L-rhamnose degradation I	MR2
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	MR2
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	MR2
THRESYN-PWY: superpathway of L-threonine biosynthesis	MR2
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	MR2
VALSYN-PWY: L-valine biosynthesis	MR2
ARGORNPROST-PWY	MR3
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	MR3
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	MR3
GLYCOCAT-PWY: glycogen degradation I	MR3
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	MR3
HISDEG-PWY: L-histidine degradation I	MR3
NONMEVIPP-PWY: methylerythritol phosphate pathway I	MR3
P42-PWY: incomplete reductive TCA cycle	MR3
PANTO-PWY: phosphopantothenate biosynthesis I	MR3
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	MR3
PWY-2723: trehalose degradation V	MR3
PWY-5392: reductive TCA cycle II	MR3
PWY-5659: GDP-mannose biosynthesis	MR3
PWY-5918: superpathway of heme b biosynthesis from glutamate	MR3
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	MR3
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	MR3
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	MR3
PWY-6270: isoprene biosynthesis I	MR3
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	MR3
PWY-6897: thiamine diphosphate salvage II	MR3
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	MR3
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	MR3
PWY-7208: superpathway of pyrimidine nucleobases salvage	MR3
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	MR3
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	MR3
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	MR3
PWY-7254: TCA cycle VII (acetate-producers)	MR3
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	MR3
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	MR3
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	MR3
PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)	MR3
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	MR3
PWY-7560: methylerythritol phosphate pathway II	MR3
PWY1G-0: mycothiol biosynthesis	MR3
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	MR3
TCA: TCA cycle I (prokaryotic)	MR3
TRPSYN-PWY: L-tryptophan biosynthesis	MR3
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	MR4
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	MR4
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	MR4
GLUCONEO-PWY: gluconeogenesis I	MR4
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	MR4
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	MR4
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	MR4
LACTOSECAT-PWY: lactose and galactose degradation I	MR4
P161-PWY: acetylene degradation (anaerobic)	MR4
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	MR4
P441-PWY: superpathway of N-acetylneuraminate degradation	MR4
PWY-4041: &gamma;-glutamyl cycle	MR4
PWY-5005: biotin biosynthesis II	MR4
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	MR4
PWY-5367: petroselinate biosynthesis	MR4
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	MR4
PWY-5484: glycolysis II (from fructose 6-phosphate)	MR4
PWY-5676: acetyl-CoA fermentation to butanoate II	MR4
PWY-5723: Rubisco shunt	MR4
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	MR4
PWY-5840: superpathway of menaquinol-7 biosynthesis	MR4
PWY-5897: superpathway of menaquinol-11 biosynthesis	MR4
PWY-5898: superpathway of menaquinol-12 biosynthesis	MR4
PWY-5899: superpathway of menaquinol-13 biosynthesis	MR4
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	MR4
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	MR4
PWY-6353: purine nucleotides degradation II (aerobic)	MR4
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	MR4
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	MR4
PWY-6549: L-glutamine biosynthesis III	MR4
PWY-6588: pyruvate fermentation to acetone	MR4
PWY-6606: guanosine nucleotides degradation II	MR4
PWY-6608: guanosine nucleotides degradation III	MR4
PWY-6609: adenine and adenosine salvage III	MR4
PWY-6612: superpathway of tetrahydrofolate biosynthesis	MR4
PWY-6737: starch degradation V	MR4
PWY-6859: all-trans-farnesol biosynthesis	MR4
PWY-7003: glycerol degradation to butanol	MR4
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	MR4
PWY-7199: pyrimidine deoxyribonucleosides salvage	MR4
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	MR4
PWY-7392: taxadiene biosynthesis (engineered)	MR4
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	MR4
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	MR4
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	MR4
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	MR4
PWY66-398: TCA cycle III (animals)	MR4
PWY66-409: superpathway of purine nucleotide salvage	MR4
REDCITCYC: TCA cycle VI (Helicobacter)	MR4
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	MR4
TEICHOICACID-PWY: poly(glycerol phosphate) wall teichoic acid biosynthesis	MR4
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	MR4
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	MR5
COLANSYN-PWY: colanic acid building blocks biosynthesis	MR5
HSERMETANA-PWY: L-methionine biosynthesis III	MR5
P163-PWY: L-lysine fermentation to acetate and butanoate	MR5
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	MR5
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	MR5
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	MR5
PWY-4702: phytate degradation I	MR5
PWY-5104: L-isoleucine biosynthesis IV	MR5
PWY-5690: TCA cycle II (plants and fungi)	MR5
PWY-6151: S-adenosyl-L-methionine salvage I	MR5
PWY-6168: flavin biosynthesis III (fungi)	MR5
PWY-6263: superpathway of menaquinol-8 biosynthesis II	MR5
PWY-6305: superpathway of putrescine biosynthesis	MR5
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	MR5
PWY-6700: queuosine biosynthesis I (de novo)	MR5
PWY-6901: superpathway of glucose and xylose degradation	MR5
PWY-7456: &beta;-(1,4)-mannan degradation	MR5
PWY0-1296: purine ribonucleosides degradation	MR5
TRNA-CHARGING-PWY: tRNA charging	MR5
