Pathway	log fold change (Anterior - Posterior)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Anterior)	structural.zero (Posterior)
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.288212491903893	0.279237067897162	-0.675834758643787	1.25225974245157	0.302005288695042	0.393919941776141	FALSE	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	-0.122182218778034	0.118123053831666	-0.529994140491279	0.28562970293521	0.300966089556086	0.393919941776141	FALSE	0	0
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	0.201437626029475	0.200770588125354	-0.491709365273163	0.894584617332113	0.315705337263694	0.405906862196178	FALSE	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0.113439034286975	0.127022505987459	-0.325097649173634	0.551975717747583	0.371823713958429	0.464983580921094	FALSE	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	-0.0973387584395038	0.109031535025149	-0.473762821174251	0.279085304295243	0.371986864736875	0.464983580921094	FALSE	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	-0.0778249380815375	0.0898675726413425	-0.388086705871575	0.2324368297085	0.386492479564614	0.476497577545415	FALSE	0	0
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	-0.209821558637367	0.247434626663445	-1.06407301358043	0.644429896305698	0.396444733773935	0.477974265502786	FALSE	0	0
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.113205172562515	0.134027724454707	-0.349516557868017	0.575926902993047	0.398311887918989	0.477974265502786	FALSE	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0.0655997591090731	0.0808953467079027	-0.213686000346674	0.344885518564821	0.417410871723138	0.49430234809319	FALSE	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	-0.0690352303306963	0.0952516552213782	-0.397885182157664	0.259814721496271	0.468595151806274	0.547708618994346	FALSE	0	0
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	0.0804575277087167	0.130038249512356	-0.368490808027959	0.529405863445392	0.53609950474779	0.618576351632066	FALSE	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)	-0.0506732934096768	0.0955551155293751	-0.380570921599162	0.279224334779809	0.595900931316486	0.678874478714984	FALSE	0	0
PWY-7242: D-fructuronate degradation	-0.0997395433329569	0.214766235728066	-0.841205569399267	0.641726482733353	0.642354174313371	0.721022541835395	FALSE	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.0432638577338951	0.0950305433268356	-0.284822720105505	0.371350435573295	0.648920287651856	0.721022541835395	FALSE	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	-0.0361493867529399	0.103544164293269	-0.393628670033287	0.321329896527407	0.726998873449237	0.797925592810138	FALSE	0	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0308939455750217	0.0919000204563569	-0.286384711995093	0.348172603145137	0.736743366001706	0.798878348676549	FALSE	0	0
PWY0-862: (5Z)-dodecenoate biosynthesis I	-0.0238709695365182	0.104296895246093	-0.383949005951388	0.336207066878352	0.818965940518771	0.877463507698683	FALSE	0	0
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	-0.0465168831859621	0.282268610977607	-1.02103033291568	0.927996566543758	0.869104147715495	0.920227921110525	FALSE	0	0
PWY-5675: nitrate reduction V (assimilatory)	-0.0422892343855956	0.309508290555409	-1.1108458510936	1.02626738232241	0.891320410426057	0.932777173701688	FALSE	0	0
PWY-7664: oleate biosynthesis IV (anaerobic)	0.00914841247196829	0.0909264925746333	-0.304769205373819	0.323066030317755	0.919857455903375	0.951576678520733	FALSE	0	0
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	0.00749701248489298	0.0940783035661125	-0.317302021440297	0.332296046410083	0.936484552966002	0.957768292806139	FALSE	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.00456031257952461	0.0900691599640522	-0.306397421923196	0.315518047082245	0.959619374795958	0.959619374795958	FALSE	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	-0.00729672957748129	0.119506399125769	-0.419884558147866	0.405291098992903	0.951313631882654	0.959619374795958	FALSE	0	0
