Species	log fold change (Industrial plaque - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Industrial plaque)	structural.zero (CMC)
Prevotella jejuni	-2.80858839418971	0	-2.80858839418971	-2.80858839418971	0	0	TRUE	0	0
Prevotella melaninogenica	-2.51826992580779	1.06068534626871	-6.53913819277885	1.50259834116326	0	0	TRUE	0	0
Prevotella micans	-4.22164443776434	0.981744705493494	-7.9432628672751	-0.500026008253587	0	0	TRUE	0	0
Prevotella multiformis	-1.91190935342457	0	-1.91190935342457	-1.91190935342457	0	0	TRUE	0	0
Prevotella nanceiensis	2.14689636895432	0	2.14689636895432	2.14689636895432	0	0	TRUE	0	0
Prevotella nigrescens	0.473570429615837	0	0.473570429615837	0.473570429615837	0	0	TRUE	0	0
Prevotella oris	1.64638278837859	0	1.64638278837859	1.64638278837859	0	0	TRUE	0	0
Prevotella oulorum	0.014616072066115	0	0.014616072066115	0.014616072066115	0	0	TRUE	0	0
Prevotella pallens	-0.751151218102891	0	-0.751151218102891	-0.751151218102891	0	0	TRUE	0	0
Prevotella saccharolytica	-4.40500087866326	1.06670667324008	-8.44869491826273	-0.361306839063784	0	0	TRUE	0	0
Prevotella salivae	-1.71447593984464	0	-1.71447593984464	-1.71447593984464	0	0	TRUE	0	0
Prevotella scopos	-2.10808642755536	0	-2.10808642755536	-2.10808642755536	0	0	TRUE	0	0
Prevotella shahii	-1.97238008910591	0	-1.97238008910591	-1.97238008910591	0	0	TRUE	0	0
Prevotella veroralis	0.791629799696493	0	0.791629799696493	0.791629799696493	0	0	TRUE	0	0
Prevotella sp. C561	-2.90321434499754	0	-2.90321434499754	-2.90321434499754	0	0	TRUE	0	0
Prevotella sp. F0091	-1.96107623447019	0	-1.96107623447019	-1.96107623447019	0	0	TRUE	0	0
Prevotella sp. HJM029	-0.581231029285314	0	-0.581231029285314	-0.581231029285314	0	0	TRUE	0	0
Prevotella sp. HMSC069G02	2.43058739532564	0	2.43058739532564	2.43058739532564	0	0	TRUE	0	0
Prevotella sp. HMSC073D09	-4.09707045699093	1.18644497777877	-8.59467097390169	0.400530059919821	0	0	TRUE	0	0
Prevotella sp. oral taxon 317	-4.27493554645227	1.17607305569117	-8.73321796347955	0.183346870575006	0	0	TRUE	0	0
Tannerella forsythia	-3.78971199586085	1.17044483810573	-8.22665884756851	0.647234855846815	0	0	TRUE	0	0
Tannerella sp. oral taxon HOT-286	-4.54026695299038	1.05930747612719	-8.55591196091716	-0.524621945063608	0	0	TRUE	0	0
Capnocytophaga gingivalis	1.46401292661374	0.438774783652427	-0.19930373005683	3.1273295832843	0	0	TRUE	0	0
Capnocytophaga granulosa	0.00803246906768251	0.465030019737802	-1.75481308746832	1.77087802560369	0	0	TRUE	0	0
Capnocytophaga haemolytica	-2.02439372785977	0	-2.02439372785977	-2.02439372785977	0	0	TRUE	1	0
Capnocytophaga leadbetteri	0.88115757412416	0.463423221189036	-0.875596896757766	2.63791204500609	0	0	TRUE	0	0
Capnocytophaga sputigena	1.50367074551445	0.404564415073616	-0.0299605281122015	3.0373020191411	0	0	TRUE	0	0
Capnocytophaga sp. ChDC OS43	0.868626602548739	0.411866209407508	-0.692684466252207	2.42993767134968	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 326	1.1133532437705	0.427699111243296	-0.50797752153096	2.73468400907195	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 329	0.720700710760684	0.637196210636971	-1.69479605479502	3.13619747631638	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 332	0.212671375237163	0.706767754371367	-2.46655865812495	2.89190140859927	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 863	0.551780991385669	0.67962458018971	-2.02455412774403	3.12811611051537	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 878	2.26012735066862	0.505487697302966	0.343913981096101	4.17634072024114	0	0	TRUE	0	0
Bacteroidetes oral taxon 274	-3.58872021118979	1.17817778987505	-8.05498129872492	0.877540876345331	0	0	TRUE	0	0
Fusobacterium sp. HMSC064B11	-0.461103978985809	0	-0.461103978985809	-0.461103978985809	0	0	TRUE	0	0
Fusobacterium sp. HMSC064B12	3.16488623838609	0	3.16488623838609	3.16488623838609	0	0	TRUE	0	0
Fusobacterium sp. oral taxon 370	-3.10624023874387	0	-3.10624023874387	-3.10624023874387	0	0	TRUE	0	0
Leptotrichia buccalis	-5.61028849824632	1.02848998698776	-9.50910992170069	-1.71146707479195	0	0	TRUE	0	0
Leptotrichia hofstadii	-3.26209162059164	0.798145599550207	-6.28771870683687	-0.236464534346409	0	0	TRUE	0	0
Leptotrichia shahii	-4.99831502108684	0	-4.99831502108684	-4.99831502108684	0	0	TRUE	0	0
Leptotrichia trevisanii	-3.83113167806879	0.88488739238758	-7.18558137270293	-0.476681983434654	0	0	TRUE	0	0
Leptotrichia wadei	-5.08512105058395	1.08622233245591	-9.20279546063541	-0.967446640532499	0	0	TRUE	0	0
Leptotrichia sp. oral taxon 212	-1.50213337230774	0.745940973465627	-4.3298620665831	1.32559532196763	0	0	TRUE	0	0
Leptotrichia sp. oral taxon 225	-3.65590558628198	0.814188515060126	-6.74234849327033	-0.56946267929363	0	0	TRUE	0	0
Leptotrichia sp. oral taxon 498	-5.06377747376282	0	-5.06377747376282	-5.06377747376282	0	0	TRUE	0	0
Leptotrichia sp. oral taxon 847	-4.36730334761537	0	-4.36730334761537	-4.36730334761537	0	0	TRUE	0	0
Leptotrichia sp. oral taxon 879	-2.84306658044172	0.795043071654914	-5.85693253884121	0.170799377957757	0	0	TRUE	0	0
Pseudoleptotrichia goodfellowii	-3.57987651114969	0	-3.57987651114969	-3.57987651114969	0	0	TRUE	1	0
Lautropia mirabilis	-0.0507390579076112	0.871498210062764	-3.35443275923994	3.25295464342472	0	0	TRUE	0	0
Ottowia sp. Marseille-P4747	-3.06218340369871	1.34384848472473	-8.15647243753431	2.0321056301369	0	0	TRUE	0	0
Ottowia sp. oral taxon 894	-3.05761682718775	1.34834687814072	-8.16895846517437	2.05372481079886	0	0	TRUE	0	0
Eikenella corrodens	0.791960052113614	0.452992764481163	-0.92525442461808	2.50917452884531	0	0	TRUE	0	0
Eikenella sp. HMSC061C02	1.18996707041979	0.866357128844954	-2.09423771235688	4.47417185319646	0	0	TRUE	0	0
Kingella denitrificans	-0.11311364514608	1.02955295497497	-4.0159645899506	3.78973729965844	0	0	TRUE	0	0
Kingella oralis	3.44483370824056	0.635337452646875	1.036383161476	5.85328425500513	0	0	TRUE	0	0
Neisseria bacilliformis	2.46550985134131	0.680502614627826	-0.114153739160177	5.0451734418428	0	0	TRUE	0	0
Neisseria elongata	1.54885985837485	0.895465962644489	-1.84569130235907	4.94341101910877	0	0	TRUE	0	0
Neisseria polysaccharea	1.26605488803294	0	1.26605488803294	1.26605488803294	0	0	TRUE	0	0
Neisseria sp. HMSC055F11	-0.596342434166263	1.11331936309476	-4.81673683653985	3.62405196820733	0	0	TRUE	0	0
Neisseria sp. HMSC061B04	-1.99724247093514	0	-1.99724247093514	-1.99724247093514	0	0	TRUE	1	0
Neisseria sp. HMSC064D07	0.582949016289371	0	0.582949016289371	0.582949016289371	0	0	TRUE	0	0
Neisseria sp. HMSC064E01	0.868434658494613	1.07588341874265	-3.21004678051145	4.94691609750068	0	0	TRUE	0	0
Neisseria sp. HMSC065C04	0.676101348820757	0	0.676101348820757	0.676101348820757	0	0	TRUE	0	0
Neisseria sp. HMSC066H01	-1.49355769166461	0	-1.49355769166461	-1.49355769166461	0	0	TRUE	1	0
Neisseria sp. HMSC070E12	-0.712883568769285	1.14611265010996	-5.05759145166083	3.63182431412226	0	0	TRUE	0	0
Neisseria sp. HMSC072F04	0.256186827083448	1.25427798399292	-4.49855647312227	5.01093012728917	0	0	TRUE	0	0
Neisseria sp. HMSC073G10	0.767077271295969	0	0.767077271295969	0.767077271295969	0	0	TRUE	0	0
Neisseria sp. HMSC078C12	-1.76767624656085	0	-1.76767624656085	-1.76767624656085	0	0	TRUE	1	0
Neisseria sp. HMSC31F04	1.34000184738884	1.11017044303468	-2.86845556274727	5.54845925752494	0	0	TRUE	0	0
Neisseria sp. KEM232	-1.08026801522555	0	-1.08026801522555	-1.08026801522555	0	0	TRUE	1	0
Neisseria sp. oral taxon 020	-1.01348671581794	0	-1.01348671581794	-1.01348671581794	0	0	TRUE	1	0
Propionivibrio dicarboxylicus	-1.20789501470656	0	-1.20789501470656	-1.20789501470656	0	0	TRUE	1	0
Desulfobulbus oralis	-4.86492280894003	0	-4.86492280894003	-4.86492280894003	0	0	TRUE	1	0
Desulfomicrobium orale	-1.88185235342149	0	-1.88185235342149	-1.88185235342149	0	0	TRUE	1	0
Campylobacter curvus	-1.3250747695154	1.02617586760466	-5.21512378065519	2.5649742416244	0	0	TRUE	0	0
Campylobacter showae	-0.167532479831724	0.380467364293759	-1.60981614773424	1.2747511880708	0	0	TRUE	0	0
Campylobacter sp. 10_1_50	2.12440239706626	0	2.12440239706626	2.12440239706626	0	0	TRUE	0	0
Cardiobacterium hominis	1.62684419637307	0.585736814377547	-0.593579210071107	3.84726760281724	0	0	TRUE	0	0
Cardiobacterium valvarum	-0.208231708207227	0.818712335735729	-3.31182360953587	2.89536019312142	0	0	TRUE	0	0
Aggregatibacter aphrophilus	2.18180803658623	0.605152993358879	-0.112218628549607	4.47583470172207	0	0	TRUE	0	0
Haemophilus haemolyticus	5.25492375938973	0	5.25492375938973	5.25492375938973	0	0	TRUE	0	0
Haemophilus influenzae	4.01475991700114	0	4.01475991700114	4.01475991700114	0	0	TRUE	0	0
Haemophilus parainfluenzae	3.23322168395883	0.576886726801422	1.04634737519941	5.42009599271825	0	0	TRUE	0	0
Haemophilus sp. CCUG 60358	4.92630122415643	0.999092277761618	1.13892125368797	8.71368119462488	0	0	TRUE	0	0
Haemophilus sp. HMSC061E01	6.45228115554606	0	6.45228115554606	6.45228115554606	0	0	TRUE	0	0
Haemophilus sp. HMSC068C11	6.0640549331448	0	6.0640549331448	6.0640549331448	0	0	TRUE	0	0
Haemophilus sp. HMSC073C03	5.77564909658549	0	5.77564909658549	5.77564909658549	0	0	TRUE	0	0
Haemophilus sp. HMSC61B11	5.94817623750994	0.94155636594968	2.37890460881286	9.51744786620702	0	0	TRUE	0	0
Haemophilus sp. HMSC71H05	6.08122562353739	0	6.08122562353739	6.08122562353739	0	0	TRUE	0	0
Pseudomonas nitroreducens	-2.2145929741533	0	-2.2145929741533	-2.2145929741533	0	0	TRUE	1	0
Vibrio agarivorans	-1.22522617957591	0	-1.22522617957591	-1.22522617957591	0	0	TRUE	1	0
Vibrio owensii	-2.28268817157798	0	-2.28268817157798	-2.28268817157798	0	0	TRUE	1	0
Treponema denticola	-4.62698950341538	1.16436237910618	-9.04087884191946	-0.213100164911299	0	0	TRUE	0	0
Treponema maltophilum	-4.25254263948953	1.04103651750074	-8.19892571407604	-0.306159564903025	0	0	TRUE	0	0
Treponema putidum	-3.70806202371189	0.891942158617238	-7.08925507419941	-0.326868973224371	0	0	TRUE	0	0
Treponema socranskii	-3.06027388981567	1.03502147768431	-6.98385502525261	0.863307245621272	0	0	TRUE	0	0
Actinobaculum sp. oral taxon 183	4.64693122406373	0	4.64693122406373	4.64693122406373	0	0	TRUE	0	0
Actinomyces bouchesdurhonensis	-1.48332070200519	0	-1.48332070200519	-1.48332070200519	0	0	TRUE	1	0
Actinomyces dentalis	-3.11139098085781	0.658877310447207	-5.60907691450816	-0.613705047207468	0	0	TRUE	0	0
Actinomyces israelii	-2.87394997658737	0.66146931075621	-5.38146171939697	-0.366438233777773	0	0	TRUE	0	0
Actinomyces radicidentis	-3.97173372313165	0	-3.97173372313165	-3.97173372313165	0	0	TRUE	1	0
Actinomyces ruminicola	-5.66554296599323	0	-5.66554296599323	-5.66554296599323	0	0	TRUE	1	0
Actinomyces slackii	-3.1645386043936	0	-3.1645386043936	-3.1645386043936	0	0	TRUE	1	0
Actinomyces urogenitalis	-3.07124910801865	0	-3.07124910801865	-3.07124910801865	0	0	TRUE	1	0
Actinomyces sp. HMSC035G02	-3.93883196394457	0	-3.93883196394457	-3.93883196394457	0	0	TRUE	1	0
Actinomyces sp. HPA0247	-5.65487008764548	0	-5.65487008764548	-5.65487008764548	0	0	TRUE	1	0
Actinomyces sp. oral taxon 172	-3.98777102145472	0	-3.98777102145472	-3.98777102145472	0	0	TRUE	1	0
Actinomyces sp. oral taxon 178	-4.07987765568021	1.11763403829202	-8.31662821932628	0.156872907965858	0	0	TRUE	0	0
Actinomyces sp. oral taxon 414	-4.04682028282694	0.604672066268542	-6.33902383945744	-1.75461672619643	0	0	TRUE	0	0
Actinomyces sp. oral taxon 848	-5.00758346008899	1.28931149021354	-9.8951325107831	-0.120034409394891	0	0	TRUE	0	0
Actinomyces sp. oral taxon 897	-6.6344659332955	1.14405897386515	-10.971388697186	-2.29754316940499	0	0	TRUE	0	0
Schaalia cardiffensis	-5.33421317584844	0	-5.33421317584844	-5.33421317584844	0	0	TRUE	1	0
Schaalia georgiae	0.477935565461448	0	0.477935565461448	0.477935565461448	0	0	TRUE	0	0
Schaalia odontolytica	-0.825849263824876	0.87684669129456	-4.14981810003775	2.498119572388	0	0	TRUE	0	0
Corynebacterium argentoratense	-1.58657161329253	0	-1.58657161329253	-1.58657161329253	0	0	TRUE	1	0
Corynebacterium diphtheriae	-1.10306153006069	0	-1.10306153006069	-1.10306153006069	0	0	TRUE	1	0
Mycobacterium leprae	-0.163884256807807	0	-0.163884256807807	-0.163884256807807	0	0	TRUE	0	0
Cellulomonas flavigena	-4.27350994101307	0	-4.27350994101307	-4.27350994101307	0	0	TRUE	1	0
Rothia aeria	3.16688199023076	0.940934337409129	-0.40003163962279	6.73379562008432	0	0	TRUE	0	0
Rothia dentocariosa	3.03169282771575	0.737989516569421	0.234106683087758	5.82927897234375	0	0	TRUE	0	0
Rothia sp. HMSC036D11	3.47199234897283	0.927154148086601	-0.0426830500474971	6.98666774799315	0	0	TRUE	0	0
Rothia sp. HMSC058E10	3.69274834256007	0.861716622512147	0.426134888561444	6.9593617965587	0	0	TRUE	0	0
Rothia sp. HMSC065D02	4.15230953510891	0.875293194236559	0.834229728140496	7.47038934207733	0	0	TRUE	0	0
Rothia sp. HMSC065G12	4.30133819859374	0.855192460736809	1.0594566739494	7.54321972323808	0	0	TRUE	0	0
Rothia sp. HMSC067H10	4.12015856432211	1.00684578558447	0.303386433707108	7.93693069493712	0	0	TRUE	0	0
Rothia sp. HMSC069C01	4.32488853263986	1.00443285134398	0.517263403774235	8.13251366150548	0	0	TRUE	0	0
Rothia sp. HMSC071F11	3.93224986705044	0.995919270911972	0.156898197526751	7.70760153657414	0	0	TRUE	0	0
Rothia sp. HMSC08A08	4.44973055539797	0.849395373520439	1.22982475061358	7.66963636018235	0	0	TRUE	0	0
Xylanimonas cellulosilytica	-4.47515214407352	0	-4.47515214407352	-4.47515214407352	0	0	TRUE	1	0
Sanguibacter keddieii	-4.11690916895781	0	-4.11690916895781	-4.11690916895781	0	0	TRUE	1	0
Pseudopropionibacterium propionicum	-2.19452984751417	0.709377574432304	-4.88365324152507	0.494593546496738	0	0	TRUE	0	0
Propionibacterium australiense	-1.56798366622016	0	-1.56798366622016	-1.56798366622016	0	0	TRUE	1	0
Propionibacterium sp. oral taxon 192	-6.33117100234905	0	-6.33117100234905	-6.33117100234905	0	0	TRUE	1	0
Tessaracoccus sp. T2.5-30	-1.41115495269128	0	-1.41115495269128	-1.41115495269128	0	0	TRUE	1	0
Streptomyces turgidiscabies	-2.8596042538871	0	-2.8596042538871	-2.8596042538871	0	0	TRUE	1	0
Atopobium sp. oral taxon 810	-1.49562290045396	0	-1.49562290045396	-1.49562290045396	0	0	TRUE	1	0
Lancefieldella parvula	-3.44638874848878	0	-3.44638874848878	-3.44638874848878	0	0	TRUE	1	0
Olsenella uli	-3.74609990927457	0	-3.74609990927457	-3.74609990927457	0	0	TRUE	1	0
Olsenella sp. oral taxon 807	-5.10392324275389	1.26826107628405	-9.91167394262373	-0.296172542884051	0	0	TRUE	0	0
Cryptobacterium curtum	-1.69058332743829	0	-1.69058332743829	-1.69058332743829	0	0	TRUE	1	0
Slackia exigua	-3.21138618299916	0	-3.21138618299916	-3.21138618299916	0	0	TRUE	1	0
Anaerolineaceae bacterium oral taxon 439	-6.18492450902983	0	-6.18492450902983	-6.18492450902983	0	0	TRUE	1	0
Bacillus paralicheniformis	1.60719454029483	0	1.60719454029483	1.60719454029483	0	0	TRUE	0	0
Abiotrophia defectiva	-2.46189086290061	1.19086648969016	-6.97625253994157	2.05247081414034	0	0	TRUE	0	0
Abiotrophia sp. HMSC24B09	-1.58812691079404	1.20502391872758	-6.15615686689505	2.97990304530697	0	0	TRUE	0	0
Granulicatella sp. 572.rep1_STHE	1.58449021645011	1.03338399603626	-2.33288351919618	5.5018639520964	0	0	TRUE	0	0
Granulicatella sp. HMSC30F09	0.605570131726553	1.03895479878483	-3.33292151987104	4.54406178332415	0	0	TRUE	0	0
Granulicatella sp. HMSC31F03	1.08679587578831	1.03420251250655	-2.83368070926847	5.0072724608451	0	0	TRUE	0	0
Streptococcus anginosus	-5.2662391036826	0.902517779695276	-8.68752244046076	-1.84495576690445	0	0	TRUE	0	0
Streptococcus constellatus	-1.45536261160645	0	-1.45536261160645	-1.45536261160645	0	0	TRUE	1	0
Streptococcus cristatus	-1.33530528443807	0.44785659061286	-3.03304944549759	0.362438876621444	0	0	TRUE	0	0
Streptococcus gordonii	-0.0247505109913266	0.530789385428518	-2.03687805081492	1.98737702883226	0	0	TRUE	0	0
Streptococcus mitis	1.86225465447943	0.524786898654574	-0.127118532531452	3.85162784149032	0	0	TRUE	0	0
Streptococcus mutans	2.10594863634931	0	2.10594863634931	2.10594863634931	0	0	TRUE	0	0
Streptococcus pseudopneumoniae	1.98607113354381	0.574611255509681	-0.192177270896724	4.16431953798434	0	0	TRUE	0	0
Streptococcus salivarius	1.07044597118792	1.11195289455145	-3.1447683935591	5.28566033593494	0	0	TRUE	0	0
Streptococcus sanguinis	0.358964239352417	0.506060684109028	-1.5594212206275	2.27734969933233	0	0	TRUE	0	0
Streptococcus sp. C300	3.50915889565154	1.06235718585423	-0.518047015900474	7.53636480720355	0	0	TRUE	0	0
Streptococcus sp. DD04	-7.78457931873916	0.943987488495828	-11.3630668977964	-4.20609173968195	0	0	TRUE	0	0
Streptococcus sp. HMSC062D07	2.00535555095077	0	2.00535555095077	2.00535555095077	0	0	TRUE	0	0
Streptococcus sp. HMSC062H02	4.42788330762103	1.08127421496192	0.328966325192009	8.52680029005005	0	0	TRUE	0	0
Streptococcus sp. HMSC066F01	3.82462919940284	1.04009077557529	-0.118168736848195	7.76742713565387	0	0	TRUE	0	0
Streptococcus sp. HMSC072D05	4.4405264202805	1.09174798405669	0.301905254196188	8.57914758636482	0	0	TRUE	0	0
Streptococcus sp. M143	1.01958577616656	0	1.01958577616656	1.01958577616656	0	0	TRUE	0	0
[Eubacterium] infirmum	-3.50031415628451	0.956283329124138	-7.12541306599885	0.124784753429836	0	0	TRUE	0	0
[Eubacterium] minutum	-5.49363053289324	0	-5.49363053289324	-5.49363053289324	0	0	TRUE	1	0
[Eubacterium] saphenum	-2.45681133638209	0	-2.45681133638209	-2.45681133638209	0	0	TRUE	1	0
[Eubacterium] sulci	-3.22556035724195	0	-3.22556035724195	-3.22556035724195	0	0	TRUE	1	0
Mogibacterium pumilum	-3.24192527663634	0	-3.24192527663634	-3.24192527663634	0	0	TRUE	1	0
Pseudoramibacter alactolyticus	-1.41793265493353	0	-1.41793265493353	-1.41793265493353	0	0	TRUE	1	0
Catonella morbi	-0.98201870461595	0.987981466702563	-4.72727957938386	2.76324217015196	0	0	TRUE	0	0
Johnsonella ignava	-6.50528735463261	0.986363830942763	-10.2444160618195	-2.76615864744577	0	0	TRUE	0	0
Lachnoanaerobaculum saburreum	-4.40469243223897	1.04105204166341	-8.3511343561471	-0.458250508330853	0	0	TRUE	0	0
Lachnoanaerobaculum umeaense	-4.39193439498114	0	-4.39193439498114	-4.39193439498114	0	0	TRUE	0	0
Lachnoanaerobaculum sp. OBRC5-5	-2.84455209407932	0	-2.84455209407932	-2.84455209407932	0	0	TRUE	0	0
Oribacterium sinus	0.296489651299738	0	0.296489651299738	0.296489651299738	0	0	TRUE	0	0
Shuttleworthia satelles	-1.30522567257898	0	-1.30522567257898	-1.30522567257898	0	0	TRUE	1	0
Stomatobaculum longum	-1.88803566888798	0	-1.88803566888798	-1.88803566888798	0	0	TRUE	0	0
Lachnospiraceae bacterium oral taxon 082	-1.93644152035356	0	-1.93644152035356	-1.93644152035356	0	0	TRUE	0	0
Lachnospiraceae bacterium oral taxon 500	-4.27607290806552	0.936136399079538	-7.82479841262423	-0.727347403506803	0	0	TRUE	0	0
Filifactor alocis	-5.12929075113361	0.920048095829289	-8.61702837815079	-1.64155312411643	0	0	TRUE	0	0
[Eubacterium] yurii	-1.53812972729538	1.08870522153259	-5.66521632535712	2.58895687076636	0	0	TRUE	0	0
Peptoanaerobacter stomatis	-4.72082803671055	0.955449673718834	-8.34276670802189	-1.09888936539921	0	0	TRUE	0	0
Peptostreptococcus anaerobius	-2.58800844852775	0	-2.58800844852775	-2.58800844852775	0	0	TRUE	1	0
Peptostreptococcaceae bacterium oral taxon 113	-4.24812838583946	0	-4.24812838583946	-4.24812838583946	0	0	TRUE	1	0
Eggerthia catenaformis	-3.83875375903137	0	-3.83875375903137	-3.83875375903137	0	0	TRUE	1	0
Solobacterium moorei	-3.25143013032528	1.08052903924892	-7.34752228502544	0.844662024374878	0	0	TRUE	0	0
Mitsuokella sp. oral taxon 131	-1.82777332468388	0	-1.82777332468388	-1.82777332468388	0	0	TRUE	1	0
Selenomonas felix	-1.54159955422909	0	-1.54159955422909	-1.54159955422909	0	0	TRUE	0	0
Selenomonas flueggei	-2.18616380206954	0	-2.18616380206954	-2.18616380206954	0	0	TRUE	0	0
Selenomonas massiliensis	-3.90125949075995	0.978330541374578	-7.60993543528939	-0.192583546230503	0	0	TRUE	0	0
Selenomonas sp. F0473	-0.779615322741294	0	-0.779615322741294	-0.779615322741294	0	0	TRUE	1	0
Selenomonas sp. oral taxon 136	-1.58498922188187	0	-1.58498922188187	-1.58498922188187	0	0	TRUE	0	0
Selenomonas sp. oral taxon 138	-3.72837498792262	1.00565582516241	-7.54063619160078	0.0838862157555331	0	0	TRUE	0	0
Selenomonas sp. oral taxon 149	-1.75243536645128	0	-1.75243536645128	-1.75243536645128	0	0	TRUE	0	0
Selenomonas sp. oral taxon 478	-2.56423524307175	0	-2.56423524307175	-2.56423524307175	0	0	TRUE	0	0
Selenomonas sp. oral taxon 892	-3.84080298818699	0.958750526238947	-7.47525460049329	-0.206351375880694	0	0	TRUE	0	0
Selenomonas sp. oral taxon 920	-3.61274925585887	1.03162743327891	-7.52346417654668	0.297965664828943	0	0	TRUE	0	0
Anaeroglobus geminatus	-3.47429640594477	1.1653757750314	-7.89202734698622	0.943434535096683	0	0	TRUE	0	0
Dialister invisus	-3.28849896098518	1.27200577570099	-8.11044514597972	1.53344722400935	0	0	TRUE	0	0
Megasphaera micronuciformis	0.320922419954184	0	0.320922419954184	0.320922419954184	0	0	TRUE	0	0
Veillonella sp. 3_1_44	4.28068987667565	0	4.28068987667565	4.28068987667565	0	0	TRUE	0	0
Veillonella sp. 6_1_27	4.12920199457166	0	4.12920199457166	4.12920199457166	0	0	TRUE	0	0
Veillonella sp. HPA0037	-1.40478205818928	0	-1.40478205818928	-1.40478205818928	0	0	TRUE	1	0
Veillonella atypica	-0.324025216347925	0	-0.324025216347925	-0.324025216347925	0	0	TRUE	0	0
Veillonella dispar	4.69577371030221	0	4.69577371030221	4.69577371030221	0	0	TRUE	0	0
Veillonella parvula	1.33058039084504	0.508855513645521	-0.598399767585652	3.25956054927573	0	0	TRUE	0	0
Parvimonas sp. KA00067	-0.884640294438082	0	-0.884640294438082	-0.884640294438082	0	0	TRUE	1	0
Peptoniphilus sp. oral taxon 386	-1.54991752388856	0	-1.54991752388856	-1.54991752388856	0	0	TRUE	1	0
Thermoplasmatales archaeon BRNA1	-1.18100137300387	0	-1.18100137300387	-1.18100137300387	0	0	TRUE	1	0
Methanobrevibacter oralis	-3.38383517548858	0	-3.38383517548858	-3.38383517548858	0	0	TRUE	1	0
Leptotrichia goodfellowii	7.10061015447563	0	7.10061015447563	7.10061015447563	0	0	TRUE	0	1
Candidatus Saccharibacteria oral taxon TM7x	7.4882677003752	0	7.4882677003752	7.4882677003752	0	0	TRUE	0	1
Prevotella loescheii	-2.8577281335561	0.987298894139155	-6.60040149792824	0.884945230816035	0.001	0.00184347826086957	TRUE	0	0
Fusobacterium periodonticum	-1.17937082098662	0.545737456519654	-3.24816382235751	0.889422180384278	0.001	0.00184347826086957	TRUE	0	0
Neisseria meningitidis	1.01806467591143	1.05137902044481	-2.96752497585194	5.00365432767481	0.001	0.00184347826086957	TRUE	0	0
Treponema vincentii	-3.3540691107477	1.08270147985492	-7.45839659888135	0.750258377385957	0.001	0.00184347826086957	TRUE	0	0
Actinomyces timonensis	-3.84476273193556	1.1344729870417	-8.1453467358332	0.455821271962072	0.001	0.00184347826086957	TRUE	0	0
Streptococcus oralis	0.136185391720266	0.460080224217378	-1.60789637609547	1.880267159536	0.001	0.00184347826086957	TRUE	0	0
Morococcus cerebrosus	-0.385287762301176	1.08969151983908	-4.51611324067862	3.74553771607627	0.002	0.00356302521008403	TRUE	0	0
Neisseria sp. HMSC064F04	-0.0344247062550123	1.21114408319747	-4.62565511024775	4.55680569773772	0.002	0.00356302521008403	TRUE	0	0
