#Classification	SRR061192.report.rs.kraken	SRR061294.report.rs.kraken	SRR061320.report.rs.kraken	SRR061365.report.rs.kraken	SRR061562.report.rs.kraken	SRR062083.report.rs.kraken	SRR062298.report.rs.kraken	SRR062299.report.rs.kraken	SRR063517.report.rs.kraken	SRR1804664.report.rs.kraken	SRR1804823.report.rs.kraken	SRR512767.report.rs.kraken	SRR513165.report.rs.kraken	SRR513768.report.rs.kraken	SRR513775.report.rs.kraken	SRR513828.report.rs.kraken	SRR514202.report.rs.kraken	SRR514239.report.rs.kraken	SRR514306.report.rs.kraken	SRR514329.report.rs.kraken
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter_platensis	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0
k__Bacteria|g__Vampirococcus	0	0	1	0	0	0	0	1	0	0	15	176	0	0	1	0	0	15	0	1
k__Bacteria|g__Vampirococcus|s__Vampirococcus_sp._LiM	0	0	1	0	0	0	0	1	0	0	15	176	0	0	1	0	0	15	0	1
k__Bacteria|s__bacterium_2013Ark19i	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1
k__Bacteria|s__bacterium_1XD42-54	0	0	2	2	5	3	1	7	2	3	0	0	2	2	0	2	1	3	1	1
k__Bacteria|s__bacterium_RmlP026	0	0	35	5	7	5	1	0	4	1	1	1	0	1	6	3	0	4	3	7
k__Bacteria|p__Candidatus_Atribacteria	0	0	2	1	0	0	3	0	0	0	3	0	0	0	1	2	0	0	0	0
k__Bacteria|p__Candidatus_Atribacteria|s__Atribacteria_bacterium_JGI_0000014-F07	0	0	2	1	0	0	3	0	0	0	3	0	0	0	1	2	0	0	0	0
k__Bacteria|p__Chrysiogenetes	0	3	1	2	2	17	1	0	4	0	1	5	1	17	0	0	0	0	17	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0	3	1	2	2	17	1	0	4	0	1	5	1	17	0	0	0	0	17	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	0	3	1	2	2	17	1	0	4	0	1	5	1	17	0	0	0	0	17	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	0	3	1	2	2	17	1	0	4	0	1	5	1	17	0	0	0	0	17	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	0	1	0	1	2	16	0	0	3	0	0	1	0	1	0	0	0	0	12	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum_indicum	0	1	0	1	2	16	0	0	3	0	0	1	0	1	0	0	0	0	12	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Chrysiogenes	0	2	1	1	0	1	1	0	1	0	1	4	1	16	0	0	0	0	5	0
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Chrysiogenes|s__Chrysiogenes_arsenatis	0	2	1	1	0	1	1	0	1	0	1	4	1	16	0	0	0	0	5	0
k__Bacteria|s__bacterium_1xD42-67	0	13	3	1	0	0	14	5	1	97	94	1	1	2	25	0	1	0	7	0
k__Bacteria|p__Calditrichaeota	1	1	7	4	5	2	10	0	10	2	6	2	6	1	15	19	3	2	6	33
k__Bacteria|p__Calditrichaeota|c__Calditrichae	1	1	7	4	5	2	10	0	10	2	6	2	6	1	15	19	3	2	6	33
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	1	1	7	4	5	2	10	0	10	2	6	2	6	1	15	19	3	2	6	33
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	1	1	7	4	5	2	10	0	10	2	6	2	6	1	15	19	3	2	6	33
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	1	1	7	4	5	2	10	0	10	2	6	2	6	1	15	19	3	2	6	33
k__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix_abyssi	1	1	7	4	5	2	10	0	10	2	6	2	6	1	15	19	3	2	6	33
k__Bacteria|p__Dictyoglomi	2	1	4	0	4	5	42	3	1	0	0	11	5	0	5	5	1	2	2	2
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia	2	1	4	0	4	5	42	3	1	0	0	11	5	0	5	5	1	2	2	2
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	2	1	4	0	4	5	42	3	1	0	0	11	5	0	5	5	1	2	2	2
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	2	1	4	0	4	5	42	3	1	0	0	11	5	0	5	5	1	2	2	2
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	2	1	4	0	4	5	42	3	1	0	0	11	5	0	5	5	1	2	2	2
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_sp._ob1-4	0	0	0	0	2	0	3	0	1	0	0	1	1	0	1	1	0	0	0	0
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	0	1	1	0	0	2	33	0	0	0	0	9	1	0	0	4	1	1	0	1
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	2	0	3	0	2	3	5	3	0	0	0	1	3	0	4	0	0	1	2	1
k__Bacteria|p__Deferribacteres	10	20	21	21	26	13	45	6	5	10	22	13	30	14	11	8	7	10	70	44
k__Bacteria|p__Deferribacteres|c__Deferribacteres	10	20	21	21	26	13	45	6	5	10	22	13	30	14	11	8	7	10	70	44
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	10	20	21	21	26	13	45	6	5	10	22	13	30	14	11	8	7	10	70	44
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	10	20	21	21	26	13	45	6	5	10	22	13	30	14	11	8	7	10	70	44
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Seleniivibrio	0	0	2	1	2	0	1	0	0	1	0	5	0	0	1	1	0	0	3	19
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Seleniivibrio|s__Seleniivibrio_woodruffii	0	0	2	1	2	0	1	0	0	1	0	5	0	0	1	1	0	0	3	19
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio	0	0	4	0	5	0	0	3	0	0	0	2	0	0	1	0	0	1	0	2
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio_nitroreducens	0	0	4	0	5	0	0	3	0	0	0	2	0	0	1	0	0	1	0	2
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	0	1	1	13	7	0	1	0	0	0	0	0	6	6	0	2	0	1	43	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri	0	1	1	13	7	0	1	0	0	0	0	0	6	6	0	2	0	1	43	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio	0	1	0	0	0	2	2	0	0	2	1	1	0	0	1	1	0	2	0	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio_acetiphilus	0	1	0	0	0	2	2	0	0	2	1	1	0	0	1	1	0	2	0	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes	1	0	0	0	0	0	0	1	0	0	18	0	1	0	0	0	0	1	0	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes|s__Flexistipes_sinusarabici	1	0	0	0	0	0	0	1	0	0	18	0	1	0	0	0	0	1	0	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	4	5	14	4	6	4	35	2	2	4	2	5	21	4	3	0	6	4	12	20
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans	1	4	14	2	5	3	14	1	2	1	1	5	13	3	3	0	6	1	8	20
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_autotrophicus	3	1	0	1	1	1	21	1	0	3	1	0	7	1	0	0	0	3	4	0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio	5	13	0	3	6	7	6	0	3	3	1	0	2	4	5	4	1	1	11	2
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio_thiophilus	2	6	0	1	5	2	6	0	0	2	0	0	0	0	2	4	0	1	5	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio_sp._L21-Ace-BES	3	7	0	2	1	5	0	0	3	1	1	0	2	4	3	0	1	0	6	1
k__Bacteria|p__Elusimicrobia	14	11	1	1	13	1	11	3	3	9	0	4	19	3	3	1	3	6	12	16
k__Bacteria|p__Elusimicrobia|s__uncultured_Termite_group_1_bacterium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia	0	2	0	0	9	0	3	0	0	1	0	2	4	3	0	0	0	3	11	4
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	0	2	0	0	9	0	3	0	0	1	0	2	4	3	0	0	0	3	11	4
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	0	2	0	0	9	0	3	0	0	1	0	2	4	3	0	0	0	3	11	4
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	0	2	0	0	9	0	3	0	0	1	0	2	4	3	0	0	0	3	11	4
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	0	2	0	0	9	0	3	0	0	1	0	2	4	3	0	0	0	3	11	4
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	3	0	0	1	0	0	2	2	2	5	0	0	10	0	1	1	0	3	1	11
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	3	0	0	1	0	0	2	2	2	5	0	0	10	0	1	1	0	3	1	11
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	3	0	0	1	0	0	2	2	2	5	0	0	10	0	1	1	0	3	1	11
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	3	0	0	1	0	0	2	2	2	5	0	0	10	0	1	1	0	3	1	11
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	0	0	0	0	0	0	0	2	0	4	0	0	9	0	1	0	0	3	0	10
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_sp._An273	2	0	0	1	0	0	2	0	2	1	0	0	0	0	0	1	0	0	1	1
k__Bacteria|p__Caldiserica	1	0	0	1	1	0	7	4	1	1	0	0	1	0	1	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia	1	0	0	1	1	0	7	4	1	1	0	0	1	0	1	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	1	0	0	1	1	0	7	4	1	1	0	0	1	0	1	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	1	0	0	1	1	0	7	4	1	1	0	0	1	0	1	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	1	0	0	1	1	0	7	4	1	1	0	0	1	0	1	0	0	1	0	0
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum_exile	1	0	0	1	1	0	7	4	1	1	0	0	1	0	1	0	0	1	0	0
k__Bacteria|p__Candidatus_Cryosericota	13	5	3	4	14	17	4	0	3	2	0	3	2	0	5	1	0	11	2	3
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia	13	5	3	4	14	17	4	0	3	2	0	3	2	0	5	1	0	11	2	3
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales	13	5	3	4	14	17	4	0	3	2	0	3	2	0	5	1	0	11	2	3
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae	13	5	3	4	14	17	4	0	3	2	0	3	2	0	5	1	0	11	2	3
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum	13	5	3	4	14	17	4	0	3	2	0	3	2	0	5	1	0	11	2	3
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_odellii	0	0	0	2	5	5	0	0	0	0	0	0	0	0	0	0	0	1	0	2
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_septentrionale	4	3	2	2	8	11	2	0	1	1	0	3	1	0	1	0	0	5	2	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_hinesii	4	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales|f__Candidatus_Cryosericaceae|g__Candidatus_Cryosericum|s__Candidatus_Cryosericum_terrychapinii	5	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	3	0	0
k__Bacteria|p__Nitrospirae	30	28	52	41	160	88	35	6	50	107	22	129	34	8	68	234	5	31	26	26
k__Bacteria|p__Nitrospirae|s__Nitrospirae_bacterium_HCH-1	1	3	0	1	0	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira	27	25	52	40	160	87	31	6	50	107	22	126	34	8	68	234	5	31	26	26
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	27	25	52	40	160	87	31	6	50	107	22	126	34	8	68	234	5	31	26	26
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	27	25	52	40	160	87	31	6	50	107	22	126	34	8	68	234	5	31	26	26
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Magnetobacterium	0	0	0	0	3	1	3	1	1	0	0	0	0	0	4	1	0	1	0	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Magnetobacterium|s__Candidatus_Magnetobacterium_casensis	0	0	0	0	3	1	3	1	1	0	0	0	0	0	4	1	0	1	0	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Sulfobium	1	1	0	0	2	0	7	0	1	1	0	3	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Candidatus_Sulfobium|s__Candidatus_Sulfobium_mesophilum	1	1	0	0	2	0	7	0	1	1	0	3	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	1	3	1	0	0	6	4	0	11	3	0	13	3	4	3	212	0	9	7	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_sp._Group_II_'CF-1'	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	0	1	0	0	0	5	0	0	0	1	0	0	2	0	0	0	0	0	1	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum	1	1	0	0	0	0	1	0	1	0	0	11	1	0	2	212	0	0	2	1
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	9	4	10	0	9	4	5	3	20	3	5	5	19	0	3	9	1	9	14	2
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_yellowstonii	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_sp._N1	2	1	2	0	1	1	2	0	19	1	0	0	1	0	1	2	1	0	1	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_aggregans	3	3	2	0	2	0	0	0	0	1	4	4	2	0	1	1	0	0	10	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio_thiophilus	3	0	6	0	6	3	3	3	0	1	1	0	16	0	1	6	0	5	0	2
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	16	17	41	40	146	76	12	2	17	100	17	105	12	4	58	12	4	12	5	22
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_japonica	0	0	0	7	1	26	2	0	0	0	2	1	2	0	4	1	0	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_sp._ND1	0	0	1	1	11	3	2	0	6	9	1	0	0	1	2	0	1	0	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_nitrificans	0	0	12	0	0	4	1	0	0	1	0	2	0	0	0	1	0	0	1	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis	0	7	1	2	125	11	2	1	1	81	0	6	1	0	5	1	0	5	3	3
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_lenta	1	2	3	15	2	3	1	1	0	2	1	6	0	0	3	0	2	2	0	6
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_inopinata	1	1	0	2	0	2	0	0	1	2	2	1	0	0	3	2	0	2	0	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_cf._moscoviensis_SBR1015	4	1	10	6	5	11	2	0	9	5	2	89	3	2	35	7	0	0	1	4
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_nitrosa	4	5	13	3	0	11	1	0	0	0	7	0	5	0	5	0	0	1	0	9
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_defluvii	6	1	1	4	1	5	0	0	0	0	1	0	1	1	1	0	1	1	0	0
k__Bacteria|p__Thermodesulfobacteria	31	17	22	17	47	19	17	2	14	58	8	48	7	57	14	33	1	19	59	21
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	31	17	22	17	47	19	17	2	14	58	8	48	7	57	14	33	1	19	59	21
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	31	17	22	17	47	19	17	2	14	58	8	48	7	57	14	33	1	19	59	21
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	31	17	22	17	47	19	17	2	14	58	8	48	7	57	14	33	1	19	59	21
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas	0	0	1	1	0	1	0	0	0	0	1	1	0	44	7	2	0	0	24	7
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas|s__Thermosulfurimonas_dismutans	0	0	1	1	0	1	0	0	0	0	1	1	0	44	7	2	0	0	24	7
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	1	1	2	4	3	1	7	0	0	3	0	0	0	6	2	9	0	2	25	1
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_autotrophicus	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	1
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_indicus	0	1	0	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	25	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator_atlanticus	1	0	2	0	0	1	1	0	0	3	0	0	0	0	2	9	0	2	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium	3	0	1	4	6	2	2	0	2	4	6	2	1	3	0	2	1	0	4	5
