Proteins	log fold change (HunterGatherer - JAE)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HunterGatherer)	structural.zero (JAE)	star_up	star_down	L2	L3
Glutamate 5-kinase (EC 2.7.2.11)	0.14537150626137	0.0711514174607559	-0.137204670509351	0.42794768303209	0.06	0.0843407707910751	FALSE	0	0	""	""	Amino Acids and Derivatives	Evolution of Proline Biosynthesis (for review by Fichman et al)
Aspartate ammonia-lyase (EC 4.3.1.1)	0.0683559903713569	0.0537855604826762	-0.145252094879339	0.281964075622053	0.304	0.352884422110553	FALSE	0	0	""	""	Amino Acids and Derivatives	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis
L-asparaginase (EC 3.5.1.1)	0.0983653748654882	0.151785792964719	-0.504448322946498	0.701179072677474	0.002	0.00421276595744681	TRUE	0	0	**	""	Amino Acids and Derivatives	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis
Aconitate hydratase (EC 4.2.1.3)	0.0393115936853103	0.14474208149634	-0.535528170113225	0.614151357483845	0.033	0.0511610738255034	FALSE	0	0	""	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Citrate synthase (si) (EC 2.3.3.1)	0.0335311500139532	0.0533523768610455	-0.178356556697445	0.245418856725351	0.001	0.00225732899022801	TRUE	0	0	**	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	0.0900201611552784	0.0660244906659388	-0.172194546737302	0.352234869047859	0.181	0.222005309734513	FALSE	0	0	""	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	0.474286771275979	0.220118356773126	-0.39990809249199	1.34848163504395	0.063	0.0878450704225352	FALSE	0	0	""	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Pyruvate,phosphate dikinase (EC 2.7.9.1)	0.179733202883131	0.21142113227264	-0.659920838852453	1.01938724461872	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	0.0528247085649856	0.0807994187971681	-0.268068278023697	0.373717695153668	0.729	0.757416791604198	FALSE	0	0	""	""	Amino Acids and Derivatives	Glycine and Serine Utilization
D-serine/D-alanine/glycine transporter	0.19660272423905	0.199703774423157	-0.596516107080133	0.989721555558233	0.194	0.235450087565674	FALSE	0	0	""	""	Amino Acids and Derivatives	Glycine and Serine Utilization
Seryl-tRNA synthetase (EC 6.1.1.11)	0.120306473895424	0.0450521484342625	-0.058617071329555	0.299230019120402	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Glycine and Serine Utilization
Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	0.299212447823019	0.122610433164819	-0.187731996467584	0.786156892113623	0.012	0.021	TRUE	0	0	*	""	Amino Acids and Derivatives	Glycine cleavage system
Histidinol-phosphate aminotransferase (EC 2.6.1.9)	0.270331210883239	0.113390320491891	-0.179995773327271	0.720658195093748	0.01	0.018	TRUE	0	0	*	""	Amino Acids and Derivatives	Histidine Biosynthesis
Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	0.256461517812848	0.090619422271609	-0.103431381029349	0.616354416655045	0.003	0.00611470588235294	TRUE	0	0	**	""	Amino Acids and Derivatives	Histidine Biosynthesis
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	0.224859659486912	0.0911154412961594	-0.137003167215687	0.58672248618951	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Histidine Biosynthesis
Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	0.0954349461109283	0.116845836173426	-0.368615537151416	0.559485429373273	0.228	0.273837088388215	FALSE	0	0	""	""	Amino Acids and Derivatives	Histidine Biosynthesis
Adenylosuccinate synthetase (EC 6.3.4.4)	0.0617356866626171	0.0347682849151991	-0.0763457370789545	0.199817110404189	0.005	0.00954545454545455	TRUE	0	0	**	""	Amino Acids and Derivatives	Histidine Biosynthesis in plants
Histidine ammonia-lyase (EC 4.3.1.3)	0.29458103567588	0.113219186484408	-0.155066293859071	0.744228365210831	0.019	0.0315755395683453	TRUE	0	0	*	""	Amino Acids and Derivatives	Histidine Degradation
Imidazolonepropionase (EC 3.5.2.7)	0.338919991276147	0.107134276711882	-0.0865612625729108	0.764401245125205	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Histidine Degradation
Urocanate hydratase (EC 4.2.1.49)	0.223530564745876	0.10244437038768	-0.183324836719609	0.630385966211361	0.018	0.0301304347826087	TRUE	0	0	*	""	Amino Acids and Derivatives	Histidine Degradation
Aspartokinase (EC 2.7.2.4)	0.0274823850933963	0.0580275960615135	-0.202972844435969	0.257937614622762	0.328	0.376331125827815	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine and threonine metabolism in plants
Homoserine dehydrogenase (EC 1.1.1.3)	0.0614874283727502	0.0481521057565013	-0.129747524263807	0.252722381009307	0.248	0.294287671232877	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine and threonine metabolism in plants
Homoserine kinase (EC 2.7.1.39)	0.166204153455904	0.07509052362781	-0.132016090577342	0.464424397489151	0.01	0.018	TRUE	0	0	*	""	Amino Acids and Derivatives	Lysine and threonine metabolism in plants
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	0.0628822227836592	0.0689381592120364	-0.210904051038545	0.336668496605864	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	0.0850732286433011	0.0516251816065195	-0.119954962840172	0.290101420126775	0.154	0.195104204753199	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
Diaminopimelate epimerase alternative form predicted for S.aureus (EC 5.1.1.7)	2.35678095024961	0.289608336194821	1.20660827170811	3.50695362879111	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	0.569699155897669	0.319864082833264	-0.700633507020115	1.84003181881545	0.121	0.156734579439252	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	0.79513079097813	0.111594173381874	0.351937162663815	1.23832441929245	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	0.298331772815192	0.266932110182267	-0.761782808798717	1.3584463544291	0.431	0.477129392971246	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine fermentation
Adenosylhomocysteinase (EC 3.3.1.1)	0.29764580548433	0.127342636127649	-0.208092471292846	0.803384082261506	0.003	0.00611470588235294	TRUE	0	0	**	""	Amino Acids and Derivatives	Methionine and cysteine metabolism in plants
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	0.479895414331187	0.121032574981753	-0.000782603389585468	0.96057343205196	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Methionine Biosynthesis
Methionine ABC transporter ATP-binding protein	0.246015057726485	0.0599341186165578	0.00798811882353273	0.484041996629437	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Methionine Biosynthesis
Methionine ABC transporter permease protein	0.1941882746065	0.0719274868174337	-0.0914700433153773	0.479846592528377	0.008	0.0148632707774799	TRUE	0	0	*	""	Amino Acids and Derivatives	Methionine Biosynthesis
Methionine ABC transporter substrate-binding protein	0.130904912722849	0.119950034499709	-0.345473820998637	0.607283646444334	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Methionine Biosynthesis
O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	0.00550969149007408	0.0955930800682302	-0.374135972017849	0.385155354997997	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Methionine Biosynthesis
Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	0.971111968599541	0.415776572043713	-0.680134883703157	2.62235882090224	0.046	0.067253164556962	FALSE	0	0	""	""	Amino Acids and Derivatives	Methionine Salvage
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	0.144609945782323	0.133433722068368	-0.385318935187098	0.674538826751744	0.438	0.483334394904459	FALSE	0	0	""	""	Amino Acids and Derivatives	Tryptophan biosynthesis in Streptococci
Anthranilate synthase, aminase component (EC 4.1.3.27)	0.0492544640517068	0.0646502598106701	-0.207502518402074	0.306011446505488	0.668	0.699280966767372	FALSE	0	0	""	""	Amino Acids and Derivatives	Tryptophan biosynthesis in Streptococci
Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	0.388988455655703	0.135910142489167	-0.150775470623564	0.92875238193497	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Tryptophan biosynthesis in Streptococci
Alcohol dehydrogenase (EC 1.1.1.1)	0.0177461352682951	0.138308808471668	-0.531544036402482	0.567036306939072	0.006	0.0112989130434783	TRUE	0	0	*	""	Carbohydrates	Acetone Butanol Ethanol Synthesis
L-lactate dehydrogenase (EC 1.1.1.27)	0.0712218882166873	0.0810065459946148	-0.250493699152815	0.39293747558619	0.588	0.622112977099237	FALSE	0	0	""	""	Carbohydrates	Acetyl-CoA biosynthesis in plants
Ferredoxin-like protein	0.962567825106091	0.28738518508795	-0.178775661234008	2.10391131144619	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Acetyl-CoA fermentation to Butyrate
Citrate lyase beta chain (EC 4.1.3.6)	0.201330632552533	0.183789285015174	-0.528584179329563	0.93124544443463	0.092	0.124280701754386	FALSE	0	0	""	""	Carbohydrates	acinetobacter tca
Malate dehydrogenase (EC 1.1.1.37)	0.0275155993410436	0.0461930687460645	-0.155939084000571	0.210970282682658	0.029	0.0463064516129032	TRUE	0	0	*	""	Carbohydrates	acinetobacter tca
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	0.0660427421068324	0.0888660136294992	-0.286886535656735	0.4189720198704	0.191	0.232623901581722	FALSE	0	0	""	""	Carbohydrates	acinetobacter tca
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	0.0330555046596377	0.084667706557856	-0.303200295560509	0.369311304879785	0.792	0.811917159763314	FALSE	0	0	""	""	Carbohydrates	acinetobacter tca
Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	0.106220132973426	0.0580344224990017	-0.124262207591464	0.336702473538315	0.002	0.00421276595744681	TRUE	0	0	**	""	Carbohydrates	alpha carboxysome
6-phospho-beta-glucosidase (EC 3.2.1.86)	0.569405540849478	0.126703087370329	0.0662072168821217	1.07260386481683	0	0	TRUE	0	0	***	""	Carbohydrates	Beta-Glucoside Metabolism
Pyruvate formate-lyase (EC 2.3.1.54)	0.110469690618745	0.0538047701783695	-0.103214685485453	0.324154066722942	0	0	TRUE	0	0	***	""	Carbohydrates	Butanol Biosynthesis
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	0.296270734577074	0.164956472709429	-0.358850007290419	0.951391476444566	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	0.177115374185426	0.0481686963602927	-0.0141854676428994	0.368416216013752	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	0.176506908211522	0.0495982428695774	-0.0204713438712433	0.373485160294287	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Phosphoglycerate kinase (EC 2.7.2.3)	0.106407590672383	0.0406839966365724	-0.0551679426844383	0.267983124029204	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	0.301849917518176	0.055324561637902	0.0821297254675096	0.521570109568842	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	0.0549417674875716	0.080343589504126	-0.264140903811763	0.374024438786906	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Triosephosphate isomerase (EC 5.3.1.1)	0.149908140260028	0.0510034845728804	-0.0526509961133021	0.352467276633357	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
NADH dehydrogenase (EC 1.6.99.3)	0.703046282703176	0.135039676482636	0.166739391644186	1.23935317376217	0	0	TRUE	0	0	***	""	Carbohydrates	Carboxysome
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.160945824821737	0.0770656972824636	-0.145118774808474	0.467010424451948	0	0	TRUE	0	0	***	""	Carbohydrates	Chitin and N-acetylglucosamine utilization
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.112402414273992	0.0951862840216271	-0.265627668326664	0.490432496874648	0.058	0.0820285714285714	FALSE	0	0	""	""	Carbohydrates	Chitin and N-acetylglucosamine utilization
N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family	0.408111895276001	0.466864770999607	-1.44603053457469	2.2622543251267	0.239	0.285072289156626	FALSE	0	0	""	""	Carbohydrates	Chitin and N-acetylglucosamine utilization
Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	0.424752355762996	0.258554643319614	-0.602091313737635	1.45159602526363	0.172	0.213996409335727	FALSE	0	0	""	""	Carbohydrates	Citrate Metabolism KE
Mannose-6-phosphate isomerase (EC 5.3.1.8)	0.142426641048575	0.0908749850539945	-0.218481219357968	0.503334501455117	0	0	TRUE	0	0	***	""	Carbohydrates	D-mannitol and D-mannose degradation in plants
6-phosphofructokinase (EC 2.7.1.11)	0.239403629703736	0.0800605970789585	-0.0785551438517067	0.557362403259178	0	0	TRUE	0	0	***	""	Carbohydrates	D-Tagatose and Galactitol Utilization
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.218431622412937	0.063305050737691	-0.0329828939261048	0.469846138751979	0	0	TRUE	0	0	***	""	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism
UDP-glucose 4-epimerase (EC 5.1.3.2)	0.237408921617245	0.0520892253909785	0.0305377911854511	0.444280052049039	0	0	TRUE	0	0	***	""	Carbohydrates	EC 5.1.3.- Racemases and epimerases acting on carbohydrates and derivatives
Enolase (EC 4.2.1.11)	0.0282601118964774	0.0471396064107802	-0.158953723462205	0.21547394725516	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Entner-Doudoroff Pathway
Polyphosphate glucokinase (EC 2.7.1.63)	0.47129391563004	0.279975425617322	-0.640621885686699	1.58320971694678	0.183	0.223666666666667	FALSE	0	0	""	""	Carbohydrates	Entner-Doudoroff Pathway
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	0.102596143803186	0.0843281853550823	-0.232311255965694	0.437503543572066	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Fermentations in Streptococci
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	0.119676252032011	0.0515411876687975	-0.0850183595082867	0.32437086357231	0.02	0.0329216152019002	TRUE	0	0	*	""	Carbohydrates	Folate-mediated one-carbon metabolism in plants
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	0.14023340890746	0.0488379780131085	-0.0537254692240745	0.334192287038995	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Folate-mediated one-carbon metabolism in plants
Thymidylate synthase (EC 2.1.1.45)	0.00265067463829816	0.0340267119167637	-0.132485609425489	0.137786958702085	0.049	0.0705966735966736	FALSE	0	0	""	""	Carbohydrates	Folate-mediated one-carbon metabolism in plants
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	0.103084019356029	0.0471214985301709	-0.0840579009817782	0.290225939693836	0.029	0.0463064516129032	TRUE	0	0	*	""	Carbohydrates	Formaldehyde assimilation: Ribulose monophosphate pathway
Glucose-6-phosphate isomerase (EC 5.3.1.9)	0.0790221998174427	0.0438865381874212	-0.0952721517960546	0.25331655143094	0.046	0.067253164556962	FALSE	0	0	""	""	Carbohydrates	Formaldehyde assimilation: Ribulose monophosphate pathway
Fructokinase (EC 2.7.1.4)	0.260075894308206	0.0959267447516422	-0.12089491062243	0.641046699238841	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Fructose utilization
Fructose-specific phosphocarrier protein HPr	0.0382932235552547	0.304720815096203	-1.17189830860692	1.24848475571743	0.067	0.0923081510934394	FALSE	0	0	""	""	Carbohydrates	Fructose utilization
UDP-glucose dehydrogenase (EC 1.1.1.22)	0.00213646846966764	0.117975027085428	-0.466398569874573	0.470671506813909	0.607	0.639287234042553	FALSE	0	0	""	""	Carbohydrates	Galactose degradation in plants
Glycerol kinase (EC 2.7.1.30)	0.105558408221311	0.0556565092918935	-0.11548010611021	0.326596922552833	0.031	0.0487142857142857	TRUE	0	0	*	""	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization
Glycerol uptake operon antiterminator regulatory protein	1.50512109518392	0.235015184987683	0.571763829413186	2.43847836095465	0	0	TRUE	0	0	***	""	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization
Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	0.113534453378273	0.257971353664027	-0.910992695008545	1.13806160176509	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization
Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	0.436816208336518	0.147867063203121	-0.150434346626756	1.02406676329979	0	0	TRUE	0	0	***	""	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	0.424368948102769	0.084119033235592	0.0902921910448609	0.758445705160677	0	0	TRUE	0	0	***	""	Carbohydrates	Glycogen metabolism
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	0.357621344252766	0.0723731755908099	0.0701929838762916	0.64504970462924	0	0	TRUE	0	0	***	""	Carbohydrates	Glycogen metabolism
Glycogen debranching enzyme (EC 3.2.1.-)	0.215722666488018	0.0987565490452168	-0.176486639470776	0.607931972446813	0.046	0.067253164556962	FALSE	0	0	""	""	Carbohydrates	Glycogen metabolism
