featureid	Intercept	C(Tooth_site, Treatment('Posterior'))[T.Anterior]
Ottowia sp. oral taxon 894	2.5361087610393875	0.8288632289400768
Eikenella corrodens	0.9157458831936234	0.8071517602434835
Eikenella sp. HMSC061C02	-1.9239548156589157	1.0337258235445699
Kingella denitrificans	0.1441258480221146	1.3964361802569112
Kingella oralis	1.0466606905132645	-0.5235032483109752
Morococcus cerebrosus	-0.01840004423557584	1.2267146960726452
Neisseria bacilliformis	0.20109274884761508	0.46099981226832476
Neisseria elongata	1.9833457758098954	0.9070506946078023
Neisseria gonorrhoeae	-2.2341063926547653	1.6121089116564473
Neisseria lactamica	-1.7757988880008346	0.49940940298945513
Neisseria macacae	0.059944062438618495	0.44140150704295245
Neisseria meningitidis	-1.3080116222232467	0.7570770637026509
Neisseria mucosa	-1.2417322109073288	0.8857409612169942
Neisseria polysaccharea	-4.1592729995578415	1.5011160031786641
Neisseria sicca	-0.36022719839512174	0.7373224154940328
Neisseria sp. GT4A_CT1	-1.259646506103862	0.8785111562243175
Neisseria sp. HMSC03D10	-1.381156058105815	1.0385388986101827
Neisseria sp. HMSC055F11	-2.62621626356541	1.5165577785006237
Neisseria sp. HMSC055H02	-1.4256139705508835	0.9220106259813976
Neisseria sp. HMSC056A03	-0.35893163183628385	-0.18586159191220197
Neisseria sp. HMSC059F02	-2.5728515098422653	1.148581470631667
Neisseria sp. HMSC061B04	-2.3322003791659958	-0.0030169828900623585
Neisseria sp. HMSC064D07	-2.6481769988864547	-0.14127925477116499
Neisseria sp. HMSC064E01	-0.7862761924594528	0.8834795609942159
Neisseria sp. HMSC064F04	-1.9233501861423141	1.246694173001356
Neisseria sp. HMSC065C04	-3.0879581878512985	0.17408397354990957
Neisseria sp. HMSC065D04	-0.4119003722995407	0.7896915332308492
Neisseria sp. HMSC066H01	-2.5334847877353317	-0.1408553465375224
Neisseria sp. HMSC068C04	-1.5088637779086715	-0.10800016365139875
Neisseria sp. HMSC069H12	-0.30874475935398493	-0.2126687361964512
Neisseria sp. HMSC070E12	-1.941684098038066	0.9623776332369527
Neisseria sp. HMSC072F04	-1.6402786681979782	1.1044964448443135
Neisseria sp. HMSC073B07	-2.7248700569003708	1.2849996940127095
Neisseria sp. HMSC074B07	-1.5148466537326462	0.9523034945955953
Neisseria sp. HMSC077D05	-0.8356572101443893	0.7420233146181783
Neisseria sp. HMSC078C12	-2.276428551468242	-0.1746005608805934
Neisseria sp. HMSC15C08	-1.6572853038638717	1.0707775012484273
Neisseria sp. HMSC31F04	-0.0537031600803024	0.8212555304995259
Neisseria sp. HMSC70E02	-0.255498499664653	0.7651226178637218
Neisseria sp. KEM232	-2.516318173202861	-0.11046183548062238
Neisseria sp. oral taxon 014	1.887924193349492	0.4653010622492513
Neisseria sp. oral taxon 020	-2.3915279815524704	-0.12539974293797407
Propionivibrio dicarboxylicus	-4.268734783920634	1.5792790309420308
Desulfobulbus oralis	0.46472182771266635	0.5016824261179647
Desulfomicrobium orale	-1.1761024902194626	0.5992276326647481
Campylobacter concisus	0.8328874399334305	-0.41051888997792485
Campylobacter curvus	-0.46105823019443815	-1.3945187076100627
Campylobacter gracilis	2.8164982487827643	-0.7973402484425822
Campylobacter showae	2.305705680456769	-0.010548536396912667
Cardiobacterium hominis	2.0060567100912445	0.5793178931704244
Cardiobacterium valvarum	0.9840979864269608	1.2617668763628682
Aggregatibacter actinomycetemcomitans	-2.534201473984111	1.3704049245348644
Aggregatibacter aphrophilus	0.5899749090343827	1.7434489385119152
Aggregatibacter segnis	2.4808647026687973	-0.45729465848892126
Aggregatibacter sp. oral taxon 458	1.606834082809102	-0.7216156764992991
Haemophilus haemolyticus	-2.350821823868144	-0.15407149932473096
Haemophilus parainfluenzae	0.6271339943081253	0.7443672076693257
Haemophilus sp. HMSC71H05	-3.9135459373324997	1.35363468089015
Pseudomonas nitroreducens	-2.55766043165623	0.752275432728835
Vibrio agarivorans	-3.4150923202365524	1.1353431598177632
Vibrio owensii	-2.557202667984355	0.6850852624407491
Treponema denticola	0.8958479454189652	1.3500233546724996
Treponema lecithinolyticum	-2.035084099563945	1.026635374211379
Treponema maltophilum	1.38877192040981	-0.1090957566270152
Treponema medium	0.36850598355830844	0.6009828702440938
Treponema putidum	-0.2511943290561325	0.0910818532934865
Treponema socranskii	2.2597839226395005	-0.39180733003779444
Treponema vincentii	0.7950872471004837	-0.017406259394578072
Treponema sp. OMZ 838	0.4712778618008011	0.615344132565566
Actinobaculum sp. oral taxon 183	3.8236333419948925	-1.5102161510953236
Actinomyces bouchesdurhonensis	-1.7992611835330612	-0.6023522659310618
Actinomyces dentalis	4.781461863723408	-0.8893914862641612
Actinomyces gerencseriae	3.177907138076436	-0.9388143762120524
Actinomyces israelii	3.5413279821545	-1.0182887061604777
Actinomyces johnsonii	1.4651367356449478	0.21385380186945913
Actinomyces massiliensis	3.1792213012844437	-0.5635733648309031
Actinomyces naeslundii	2.782069175449025	0.252291883610793
Actinomyces oris	3.5926018049389237	-0.3606950684556294
Actinomyces radicidentis	-0.7140527675479538	0.4406026259890279
Actinomyces ruminicola	-0.835546107086528	-0.0635051771172801
Actinomyces slackii	-1.6540287444919235	0.18066462435633746
Actinomyces timonensis	0.2658734609753006	-0.026482884503296944
Actinomyces urogenitalis	-1.3426385829776413	0.41147222676188555
Actinomyces viscosus	1.149675696101796	-0.6608325286874095
Actinomyces sp. HMSC035G02	-0.5892790267795212	-0.25217220625965986
Actinomyces sp. HMSC075C01	0.017786889281880214	-0.023851130820206734
Actinomyces sp. HMSC08A09	1.0620391657024735	-0.658095215178423
Actinomyces sp. HPA0247	0.705656080451619	-0.6784808679589558
Actinomyces sp. oral taxon 170	2.128881656509649	0.15483751454264638
Actinomyces sp. oral taxon 171	1.012934117522847	0.5848845497599324
Actinomyces sp. oral taxon 172	-0.33729466894565885	-0.6686513169774333
Actinomyces sp. oral taxon 178	0.14124563237727816	-1.2213693603047648
Actinomyces sp. oral taxon 180	-0.7307098815768844	-0.7273509248265553
Actinomyces sp. oral taxon 414	4.709769873824726	-1.1232992156514445
Actinomyces sp. oral taxon 448	2.6256794025570267	-2.303470407343797
Actinomyces sp. oral taxon 848	3.041183858123433	-1.105101321555071
Actinomyces sp. oral taxon 849	0.3757016946941727	0.27948447623164263
Actinomyces sp. oral taxon 877	1.6198892881542557	-1.2697859748372355
Schaalia cardiffensis	1.2855254699856156	0.09636827864558306
Schaalia georgiae	0.004586844649922206	-0.5874813391932765
Schaalia odontolytica	1.451896815505635	0.6695658818712902
Corynebacterium argentoratense	-2.076120705398906	0.721952642582961
Corynebacterium diphtheriae	-4.724198193344463	1.8530714169970235
Corynebacterium durum	1.9909914722114914	0.7298327342501363
Corynebacterium matruchotii	5.969097047057759	-0.7103355868825236
Mycobacterium leprae	-2.3576301048129684	0.7241177216997823
Cellulomonas flavigena	-0.052430720123637364	-0.7751813574799815
Kytococcus sedentarius	0.2966057350307816	-0.6851623102196971
Rothia aeria	0.5350448181301468	2.22696300902278
Rothia dentocariosa	0.8259866525799149	-0.31283100388138685
Rothia sp. HMSC036D11	0.06198659440578158	-0.5058112709888736
Rothia sp. HMSC058E10	-0.7962628314822799	-0.2337596162328044
Rothia sp. HMSC064D08	0.23328044911922152	-0.5498308881291667
Rothia sp. HMSC065D02	-0.908224911484111	-0.3224552690157214
Rothia sp. HMSC065G12	-1.1977489898532516	-0.27611136875241193
Rothia sp. HMSC067H10	-0.9281824539035446	0.09390124239832875
Rothia sp. HMSC069C01	-1.0238407562106735	-0.008283768511705425
Rothia sp. HMSC071F11	-0.7320288131564743	-0.4069567636692444
Rothia sp. HMSC08A08	-1.3065195987552292	-0.2934332608351031
Xylanimonas cellulosilytica	-0.8003896186679489	-0.05352384290783796
Sanguibacter keddieii	-0.503367037567485	-0.3630356571742812
Propionibacterium australiense	-0.4729367206424362	-1.5090450390347758
Propionibacterium sp. oral taxon 192	2.762872545924794	-1.6662599190244007
Pseudopropionibacterium propionicum	4.800097851958881	0.09755742111117449
Tessaracoccus flavescens	-2.926235050949443	0.27755268969447133
Tessaracoccus flavus	-3.698376507553447	0.8529288426867208
Tessaracoccus sp. T2.5-30	-2.6172569701999313	0.19377830185801592
Streptomyces turgidiscabies	-2.2700866172641403	0.585202838563033
Atopobium parvulum	-0.27790698507725065	-0.96544251284688
Atopobium sp. oral taxon 810	-1.9967692802280075	0.9165326014986714
Olsenella uli	-0.012044758591044591	-0.03429490766613874
Olsenella sp. oral taxon 807	3.6762254526287426	-0.5479740842351237
Cryptobacterium curtum	-0.8184808204501755	-1.1069355948933879
Slackia exigua	-0.9566777656406051	-0.4451003044018069
Anaerolineaceae bacterium oral taxon 439	1.9271145155102127	0.1556630984774312
Bacillus paralicheniformis	-3.346762032303203	0.8198390857210827
Gemella morbillorum	1.3018763353496903	-0.2090425535210887
Abiotrophia defectiva	0.7114601423412674	1.1721156493654927
Abiotrophia sp. HMSC24B09	0.25722530385554965	1.5308990136614513
Granulicatella adiacens	-1.3852272937625534	0.9439978257647237
Granulicatella sp. 572.rep1_STHE	-1.9161251495212204	1.0634643689623546
Granulicatella sp. HMSC30F09	-1.8225184390872604	1.0821828500261983
Granulicatella sp. HMSC31F03	-2.476558537277568	1.3462259427538594
Streptococcus anginosus	-0.1899617622226364	-0.32412857256024274
Streptococcus constellatus	-2.9298461387485153	0.35833212294489947
Streptococcus intermedius	-1.402407974991191	0.2678975717058858
Streptococcus cristatus	2.977045743671071	-0.924804542876176
Streptococcus gordonii	1.2659936835438126	-0.07944781026928904
Streptococcus infantis	-2.3528741309970505	0.4715294496050557
Streptococcus mitis	-0.36998233297764127	-0.17069150946228895
Streptococcus mutans	3.2428661873012894	-2.6043706282147685
Streptococcus oralis	2.7130672027737015	-0.2791808291444102
Streptococcus parasanguinis	-1.1119962642520553	-0.5711949362525273
Streptococcus pneumoniae	-0.9862192581027633	-0.2160421802768031
Streptococcus pseudopneumoniae	-0.4979473064273483	-0.2626328810223866
Streptococcus salivarius	-2.055259079727519	1.6308960572710705
Streptococcus sanguinis	2.165797288474452	1.480531777524062
Streptococcus sp. 263_SSPC	-1.9752248237460739	0.5878250257006359
Streptococcus sp. 2_1_36FAA	-1.3216832588046676	0.0534069494238576
Streptococcus sp. C300	-2.0987313697665817	0.2922975675097188
Streptococcus sp. DD04	2.6908247162968033	-0.7529196187028218
Streptococcus sp. F0441	-0.8095959136813766	-0.6543107374676982
Streptococcus sp. HMSC062B01	-2.0842650840610153	0.273036147736617
Streptococcus sp. HMSC062H02	-3.5427826354831344	0.580882097863265
Streptococcus sp. HMSC066F01	-2.821925492081035	0.3877049938669872
Streptococcus sp. HMSC072D05	-2.4678414771884567	0.31878932871729937
Streptococcus sp. HMSC077F03	-3.5925587127536422	0.5324130312433919
Streptococcus sp. HMSC10A01	-2.3794783065646774	0.22573157706172076
Streptococcus sp. M143	-1.4382594535678512	-0.29489684543698225
Streptococcus sp. NLAE-zl-C503	-0.6401921222537643	-0.382295691139392
Streptococcus sp. NPS 308	-1.6405418823093063	0.04508918085009661
Streptococcus sp. oral taxon 058	-0.7252832362979538	-0.4927278577455798
Streptococcus sp. oral taxon 064	-3.353093952926982	0.40901001849085805
Streptococcus sp. oral taxon 071	-0.71571764448582	-0.647297610259943
[Eubacterium] brachy	-1.7141583869784958	1.2751006738177022
[Eubacterium] infirmum	-0.11798319319187467	-0.39796005829014014
[Eubacterium] minutum	0.29280295869411166	0.22507831015498247
[Eubacterium] saphenum	-2.6745503852695114	1.8093630925646496
[Eubacterium] sulci	-0.45245108107029264	-1.021220718241624
Mogibacterium diversum	0.21827366849483187	-0.9413282617100993
Mogibacterium pumilum	-1.385329813751567	0.18321623959452715
Pseudoramibacter alactolyticus	-0.8091267059177047	-0.8802862211236278
Catonella morbi	0.6805137684017533	0.06168484249026385
Johnsonella ignava	1.2377109815746659	-0.22838519952385816
Lachnoanaerobaculum saburreum	2.8702256371647232	-1.1197609647282878
Lachnoanaerobaculum umeaense	0.493868856635701	-0.8754302009114543
Lachnoanaerobaculum sp. OBRC5-5	0.8404547264248245	-0.473084439254694
Oribacterium sinus	-1.124925465378154	-2.4365237101086894
Oribacterium sp. oral taxon 078	2.109321375322353	-1.204098199225358
Shuttleworthia satelles	-2.122108788284648	-0.1074221178063679
Stomatobaculum longum	1.2451159050136917	-0.49805866620629224
Lachnospiraceae bacterium oral taxon 082	0.5149505426555985	-1.0538390620717326
Lachnospiraceae bacterium oral taxon 500	1.8030071844726914	-0.13199884138195905
Filifactor alocis	-0.5777817676395065	1.0310717479220113
[Eubacterium] yurii	-0.3542278716891891	0.6909157887926778
Peptoanaerobacter stomatis	-0.6369539211124069	0.23106827893168536
Peptostreptococcus anaerobius	-1.8482597778171188	0.013445134543486503
Peptostreptococcaceae bacterium oral taxon 113	-1.175453514847148	1.3229571238985738
Eggerthia catenaformis	-1.4126673648685104	0.8731495992174825
Solobacterium moorei	0.3602340509563797	-0.6610519631871501
Centipeda periodontii	1.666624485459935	-1.0056595548161784
Mitsuokella sp. oral taxon 131	1.93921479484142	-1.475701247073106
Selenomonas artemidis	0.7807143022686356	-1.3357379182347575
Selenomonas felix	-0.48290810087620084	-0.8389388366708079
Selenomonas flueggei	0.7882759859234207	-1.2313553436764995
Selenomonas infelix	0.9719416191250199	-0.20935824952214155
Selenomonas noxia	3.2407774021297806	-1.3121751292714405
Selenomonas sputigena	2.3840219070583695	-0.26073332569687757
Selenomonas sp. oral taxon 126	0.9169670631557816	-0.3854533831694642
Selenomonas sp. oral taxon 136	-0.4888859699100143	-0.9744682653912822
Selenomonas sp. oral taxon 138	1.0858177234798783	-0.665599916792802
Selenomonas sp. oral taxon 149	-0.691521973404277	-0.8028517409333507
Selenomonas sp. oral taxon 478	-0.14593443373142545	-1.0579241856107036
Selenomonas sp. oral taxon 892	0.5017146160274857	-0.22375169835179243
Selenomonas sp. oral taxon 920	0.9961508800655716	-0.4708031608828822
Anaeroglobus geminatus	1.307589857783925	-0.7571443959245006
Dialister invisus	0.7064241459041947	-0.015136216498308208
Megasphaera micronuciformis	-1.309345812591899	-0.5802298530110646
Veillonella sp. 3_1_44	-0.5232885787814743	-0.7900309606560985
Veillonella sp. 6_1_27	-0.4143727729648239	-0.8011857613095561
Veillonella sp. HPA0037	-1.5844143340915329	-0.48733973941891673
Veillonella atypica	0.30251696607173617	-0.6201066865691471
Veillonella dispar	-1.926826805862773	-0.7735490842828083
Veillonella parvula	2.018585822489869	-0.6976133032807628
Veillonella rodentium	-0.4779396961063034	-1.101157401419572
Parvimonas micra	0.07202020188869174	0.13664844193369952
Peptoniphilus sp. oral taxon 386	-3.601126045975078	1.2879261628618917
Candidatus Saccharibacteria oral taxon TM7x	1.7496375431686753	-0.40559971864461186
Candidatus Gracilibacteria bacterium HOT-871	-2.476107926163066	0.8379412547579488
Candidatus Methanomethylophilus alvus	-2.8119152496188766	0.5154751793375683
Thermoplasmatales archaeon BRNA1	-2.787091107162822	0.4527197138300618
Methanobrevibacter oralis	-1.3301793048709518	2.3398911611071305
