Pathway	Residual
Arginine pathway regulatory protein ArgR, repressor of arg regulon	MR1
Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	MR1
Asp-X dipeptidase	MR1
Assimilatory nitrate reductase large subunit (EC:1.7.99.4)	MR1
ATP phosphoribosyltransferase regulatory subunit, divergent variant (EC 2.4.2.17)	MR1
ATP-dependent Clp protease adaptor protein ClpS	MR1
ATP-dependent DNA helicase pcrA (EC 3.6.1.-)	MR1
ATP-dependent DNA helicase Rep	MR1
ATP-dependent DNA helicase UvrD/PcrA, clostridial paralog	MR1
ATP-dependent DNA helicase UvrD/PcrA, clostridial paralog 2	MR1
ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 1	MR1
ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 2	MR1
ATP-dependent DNA helicase, RecQ family	MR1
ATP-dependent helicase DinG/Rad3	MR1
ATP-dependent protease La (EC 3.4.21.53) Type I	MR1
ATP-dependent protease LonB-like Type I	MR1
ATP-dependent RNA helicase BA2475	MR1
ATP-dependent RNA helicase Bcep18194_A5658	MR1
ATP-dependent RNA helicase NGO0650	MR1
ATP-dependent RNA helicase RhlB	MR1
ATP-dependent RNA helicase SrmB	MR1
ATPase of the AAA+ family protein associated with FIG137771 hypothetical protein	MR1
ATPase, AFG1 family	MR1
Autoinducer 2 (AI-2) kinase LsrK (EC 2.7.1.-)	MR1
Autolysis histidine kinase LytS	MR1
Bacterioferritin	MR1
Bactriocin immunity protein BlpX	MR1
Beta N-acetyl-glucosaminidase (EC 3.2.1.52)	MR1
Beta-1,3-glucosyltransferase	MR1
Beta-glucanase precursor (EC 3.2.1.73)	MR1
Beta-lactamase (EC 3.5.2.6)	MR1
Beta-lactamase class A	MR1
Beta-phosphoglucomutase (EC 5.4.2.6)	MR1
Beta-xylosidase (EC 3.2.1.37)	MR1
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)	MR1
Biotin carboxyl carrier protein of oxaloacetate decarboxylase	MR1
Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	MR1
BlpZ protein, fusion	MR1
Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	MR1
Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)	MR1
C4 aminotransferase specific for PseB product (PseC, second step of pseudaminic acid biosynthesis)	MR1
Cadmium resistance protein	MR1
Capsular polysaccharide ABC transporter, ATP-binding protein KpsT	MR1
Capsular polysaccharide ABC transporter, permease protein KpsM	MR1
Capsular polysaccharide export system inner membrane protein KpsE	MR1
Carbonic anhydrase (EC 4.2.1.1)	MR1
Carboxynorspermidine decarboxylase, putative (EC 4.1.1.-)	MR1
Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)	MR1
Catabolite repression HPr-like protein Crh	MR1
CblZ, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase	MR1
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	MR1
Cell division protein FtsQ homolog	MR1
Cell division protein ZipA	MR1
Cell division topological specificity factor MinE	MR1
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily M (as in PMID19099556)	MR1
Cellobiose phosphorylase (EC 2.4.1.-)	MR1
Cellobiose phosphotransferase system YdjC-like protein	MR1
Chaperone protein HscA	MR1
Chaperone protein HscB	MR1
Chemotaxis protein CheC -- inhibitor of MCP methylation	MR1
Chemotaxis protein CheD	MR1
Chemotaxis protein CheV (EC 2.7.3.-)	MR1
Chemotaxis protein CheX	MR1
Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	MR1
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY	MR1
Chitin binding protein	MR1
ChlD component of cobalt chelatase involved in B12 biosynthesis	MR1
Chondroitinase (chondroitin lyase)	MR1
Chorismate mutase II (EC 5.4.99.5)	MR1
Chorismate--pyruvate lyase (EC 4.1.3.40)	MR1
Chromosome partition protein MukB	MR1
Chromosome partition protein MukE	MR1
Chromosome partition protein MukF	MR1
CidA-associated membrane protein CidB	MR1
Circadian phase modifier	MR1
ClpXP protease specificity-enhancing factor	MR1
CoA-acylating propionaldehyde dehydrogenase	MR1
CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	MR1
Cobalamin biosynthesis protein BluB	MR1
Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	MR1
Cobalt-zinc-cadmium resistance protein CzcD	MR1
Coenzyme F420 hydrogenase maturation protease (EC 3.4.24.-)	MR1
COG1180: Radical SAM, Pyruvate-formate lyase-activating enzyme like	MR1
COG2110, Macro domain, possibly ADP-ribose binding module	MR1
COG3178: Predicted phosphotransferase related to Ser/Thr protein kinases	MR1
Colanic acid biosynthesis glycosyl transferase WcaE	MR1
Colicin I receptor precursor	MR1
Competence positive regulator ComW	MR1
Conjugative transposon protein TraD	MR1
Conjugative transposon protein TraE	MR1
Conserved uncharacterized protein CreA	MR1
Copper sensory histidine kinase CpxA	MR1
Copper-containing nitrite reductase (EC 1.7.2.1)	MR1
Copper-sensing two-component system response regulator CpxR	MR1
Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)	MR1
Creatinine amidohydrolase (EC 3.5.2.10)	MR1
CRISPR-associated helicase Cas3, protein	MR1
CRISPR-associated protein, Cas5h family	MR1
CRISPR-associated protein, Csd1 family	MR1
CRISPR-associated protein, Csd2/Csh2 family	MR1
CRISPR-associated protein, Cse1 family	MR1
CRISPR-associated protein, Cse3 family	MR1
CRISPR-associated protein, Cse4 family	MR1
CRISPR-associated protein, Csm2 family	MR1
CRISPR-associated RecB family exonuclease Cas4	MR1
CRISPR-associated RecB family exonuclease Cas4a	MR1
CTP:molybdopterin cytidylyltransferase	MR1
Cyclic AMP receptor protein	MR1
Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)	MR1
Cys regulon transcriptional activator CysB	MR1
Cystathionine beta-synthase (EC 4.2.1.22)	MR1
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	MR1
Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA	MR1
Cysteine synthase B (EC 2.5.1.47)	MR1
Cytochrome c heme lyase subunit CcmL	MR1
Cytochrome c nitrite reductase, small subunit NrfH	MR1
Cytochrome c oxidase subunit CcoN (EC 1.9.3.1)	MR1
Cytochrome c oxidase subunit CcoO (EC 1.9.3.1)	MR1
Cytochrome c oxidase subunit CcoP (EC 1.9.3.1)	MR1
Cytochrome c-type biogenesis protein CcmE, heme chaperone	MR1
Cytochrome c-type biogenesis protein Ccs1/ResB	MR1
Cytochrome c-type biogenesis protein ResA	MR1
Cytochrome c-type heme lyase subunit nrfE, nitrite reductase complex assembly	MR1
Cytochrome c-type heme lyase subunit nrfI, nitrite reductase complex assembly	MR1
Cytochrome c-type protein NapC	MR1
Cytochrome c-type protein NrfB precursor	MR1
Cytochrome c4	MR1
Cytochrome c551 peroxidase (EC 1.11.1.5)	MR1
Cytochrome C553 (soluble cytochrome f)	MR1
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	MR1
Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, putative copper metallochaperone	MR1
Cytosine/purine/uracil/thiamine/allantoin permease family protein	MR1
D-alanine aminotransferase (EC 2.6.1.21)	MR1
D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	MR1
D-galactonate transporter	MR1
D-glycerate 2-kinase (EC 2.7.1.-)	MR1
D-glycerate transporter (predicted)	MR1
D-glycero-D-manno-heptose 1-phosphate guanosyltransferase	MR1
D-Lactate dehydrogenase (EC 1.1.2.5)	MR1
D-Lactate dehydrogenase, cytochrome c-dependent (EC 1.1.2.4)	MR1
D-malic enzyme (EC 1.1.1.83)	MR1
D-mannonate oxidoreductase (EC 1.1.1.57)	MR1
D,D-heptose 7-phosphate kinase	MR1
Death on curing protein, Doc toxin	MR1
Deoxyadenosine kinase (EC 2.7.1.76)	MR1
Deoxyhypusine synthase (EC 2.5.1.46)	MR1
Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	MR1
Deoxyribonuclease TatD	MR1
Deoxyribonucleoside regulator DeoR (transcriptional repressor)	MR1
Dethiobiotin synthetase (EC 6.3.3.3)	MR1
Diacylglycerol kinase (EC 2.7.1.107)	MR1
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	MR1
Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)	MR1
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	MR1
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	MR1
Dihydroneopterin triphosphate pyrophosphohydolase type 2	MR1
Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	MR1
Dihydropyrimidinase (EC 3.5.2.2)	MR1
Dimeric dUTPase (EC 3.6.1.23)	MR1
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	MR1
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	MR1
DNA polymerase III chi subunit (EC 2.7.7.7)	MR1
DNA polymerase III epsilon subunit (EC 2.7.7.7)	MR1
DNA recombination protein RmuC	MR1
DNA recombination-dependent growth factor C	MR1
DNA repair exonuclease family protein YhaO	MR1
DNA topoisomerase III, Burkholderia type (EC 5.99.1.2)	MR1
DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	MR1
DNA-binding heavy metal response regulator	MR1
DNA-binding protein Fis	MR1
DNA-binding protein HU-alpha	MR1
DNA-binding protein HU-beta	MR1
DNA-damage-inducible protein J	MR1
DNA-directed RNA polymerase delta (= beta'') subunit (EC 2.7.7.6)	MR1
DNA-directed RNA polymerase gamma subunit (EC 2.7.7.6)	MR1
DnaJ-class molecular chaperone CbpA	MR1
DUF1537 linked to pdxA	MR1
Duplicated ATPase component CbrU of energizing module of predicted cobalamin ECF transporter	MR1
Efflux pump Lde	MR1
Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)	MR1
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	MR1
Endoglucanase (EC 3.2.1.4)	MR1
Endonuclease IV (EC 3.1.21.2)	MR1
Energy-conserving hydrogenase (ferredoxin), subunit C	MR1
Energy-conserving hydrogenase (ferredoxin), subunit D	MR1
Energy-conserving hydrogenase (ferredoxin), subunit E	MR1
Energy-conserving hydrogenase (ferredoxin), subunit F	MR1
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	MR1
Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	MR1
Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)	MR1
Evolved beta-D-galactosidase, alpha subunit	MR1
Excinuclease ABC subunit A paralog of unknown function	MR1
Excinuclease ABC subunit A, dimeric form	MR1
Exodeoxyribonuclease I (EC 3.1.11.1)	MR1
Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	MR1
Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	MR1
Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	MR1
Exonuclease SbcD	MR1
Exoribonuclease II (EC 3.1.13.1)	MR1
Exosporium protein J	MR1
Ferredoxin 3 fused to uncharacterized domain	MR1
Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	MR1
Ferredoxin-like protein	MR1
Ferredoxin, 2Fe-2S	MR1
Ferric iron ABC transporter, ATP-binding protein	MR1
Ferric uptake regulation protein FUR	MR1
Ferrichrome transport ATP-binding protein FhuC (TC 3.A.1.14.3)	MR1
Ferrous iron transport protein A	MR1
FIG001341: Probable Fe(2+)-trafficking protein YggX	MR1
FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein	MR1
FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)	MR1
FIG006789: Stage V sporulation protein	MR1
FIG016027: protein of unknown function YeaO	MR1
FIG017823: ATPase, MoxR family	MR1
FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase	MR1
FIG021862: membrane protein, exporter	MR1
FIG022199: FAD-binding protein	MR1
FIG027190: Putative transmembrane protein	MR1
FIG049476: HIT family protein	MR1
FIG085779: Lipoprotein	MR1
FIG138315: Putative alpha helix protein	MR1
FIG138576: 3-oxoacyl-[ACP] synthase (EC 2.3.1.41)	MR1
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)	MR1
Flagellar basal-body rod modification protein FlgD	MR1
Flagellar basal-body rod protein FlgB	MR1
Flagellar biosynthesis protein FlhA	MR1
Flagellar biosynthesis protein FlhF	MR1
Flagellar biosynthesis protein FliR	MR1
Flagellar hook subunit protein	MR1
Flagellar L-ring protein FlgH	MR1
Flagellar motor switch protein FliG	MR1
Flagellar motor switch protein FliM	MR1
Flagellar motor switch protein FliN	MR1
Flagellar regulatory protein FleQ	MR1
Flagellar sensory histidine kinase FlgS	MR1
Flagellar synthesis regulator FleN	MR1
Flagellin protein FlaA	MR1
Flagellum-specific ATP synthase FliI	MR1
Flavocytochrome c flavin subunit	MR1
Flavocytochrome c heme subunit	MR1
Formate dehydrogenase -O, gamma subunit (EC 1.2.1.2)	MR1
Formate dehydrogenase chain D (EC 1.2.1.2)	MR1
formate dehydrogenase formation protein FdhE	MR1
Formate dehydrogenase O beta subunit (EC 1.2.1.2)	MR1
Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	MR1
Formate dehydrogenase-O, iron-sulfur subunit (EC 1.2.1.2)	MR1
Formate hydrogenlyase subunit 5	MR1
Formate hydrogenlyase subunit 7	MR1
Fosfomycin resistance protein FosB	MR1
Frataxin homolog CyaY, facilitates iron supply for heme A synthesis or Fe-S cluster assembly	MR1
Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	MR1
Fructose-bisphosphate aldolase, archaeal class I (EC 4.1.2.13)	MR1
FtsK/SpoIIIE family protein, putative EssC component of Type VII secretion system	MR1
Fumarate and nitrate reduction regulatory protein	MR1
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	MR1
Fumarate hydratase class I, anaerobic (EC 4.2.1.2)	MR1
Fumarate reductase cytochrome b subunit	MR1
Fumarate reductase subunit C	MR1
Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)	MR1
Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)	MR1
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	MR1
Gamma-glutamyltranspeptidase PgsD/CapD (EC 2.3.2.2), catalyses PGA anchorage to peptidoglycan	MR1
GDP-L-fucose synthetase (EC 1.1.1.271)	MR1
Gene SCO4494, often clustered with other genes in menaquinone via futalosine pathway	MR1
Geranylgeranyl diphosphate reductase (EC 1.3.1.83)	MR1
GftB: Glycosyl transferase, family 8	MR1
GldB	MR1
Glucarate dehydratase (EC 4.2.1.40)	MR1
Gluconate permease, Bsu4004 homolog	MR1
Gluconate transporter family protein	MR1
Gluconate utilization system Gnt-I transcriptional repressor	MR1
Gluconokinase (EC 2.7.1.12)	MR1
Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	MR1
Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	MR1
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	MR1
Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	MR1
Glutamate--cysteine ligase (EC 6.3.2.2), divergent, of Alpha- and Beta-proteobacteria type	MR1
Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	MR1
Glutaminase (EC 3.5.1.2)	MR1
Glutamine synthetase, clostridia type (EC 6.3.1.2)	MR1
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	MR1
Glutamyl-tRNA synthetase (EC 6.1.1.17)	MR1
Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)	MR1
Glutaredoxin	MR1
Glutaredoxin 2	MR1
Glutaredoxin 3	MR1
Glutaredoxin-related protein	MR1
Glutaryl-CoA dehydrogenase (EC 1.3.99.7)	MR1
Glutathione peroxidase (EC 1.11.1.9)	MR1
Glutathione S-transferase (EC 2.5.1.18)	MR1
Glutathione synthetase (EC 6.3.2.3)	MR1
Glutathione-regulated potassium-efflux system ATP-binding protein	MR1
Glutathione-regulated potassium-efflux system protein KefB	MR1
Glutathione-regulated potassium-efflux system protein KefC	MR1
Glutathionylspermidine amidohydrolase (EC 3.5.1.78)	MR1
Glyceraldehyde-3-phosphate ketol-isomerase (EC 5.3.1.1)	MR1
Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	MR1
Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	MR1
Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)	MR1
Glycine betaine ABC transport system, permease protein OpuAB	MR1
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	MR1
Glycine oxidase ThiO (EC 1.4.3.19)	MR1
Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF	MR1
Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD	MR1
Glycolate utilization operon transcriptional activator GlcC	MR1
Glycosyl transferase, family 2	MR1
Glycosyltransferase PglI (EC 2.4.1.-)	MR1
GTP cyclohydrolase I (EC 3.5.4.16) type 2	MR1
GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	MR1
Guanine deaminase (EC 3.5.4.3)	MR1
Heat shock (predicted periplasmic) protein YciM, precursor	MR1
Heme biosynthesis protein related to NirD and NirG	MR1
Heme biosynthesis protein related to NirL and NirH	MR1
Heme oxygenase HemO, associated with heme uptake	MR1
Hemoglobin-dependent two component system, sensory histidine kinase HrrS	MR1
Hemoglobin-like protein HbO	MR1
heterodisulfide reductase, iron-sulfur binding subunit, putative	MR1
HflK protein	MR1
High-affinity gluconate transporter GntT	MR1
Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)	MR1
Histidine transport protein (permease)	MR1
Holin-like protein CidA	MR1
Homolog of fucose/glucose/galactose permeases	MR1
HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)	MR1
HTH-type transcriptional regulator IlvY	MR1
Hyaluronan synthase (EC 2.4.1.212)	MR1
Hydrogenase-4 component C	MR1
Hydrogenase-4 component D	MR1
hydrogenase, subunit gamma related protein	MR1
Hydroxylamine reductase (EC 1.7.-.-)	MR1
Hydroxypyruvate reductase (EC 1.1.1.81)	MR1
Hypothetical Nudix-like regulator	MR1
Hypothetical similar to thiamin biosynthesis lipoprotein ApbE	MR1
Hypothetical, related to broad specificity phosphatases COG0406	MR1
Inner membrane component of tripartite multidrug resistance system	MR1
Inositol-1-monophosphatase (EC 3.1.3.25)	MR1
Integral membrane protein YggT, involved in response to extracytoplasmic stress (osmotic shock)	MR1
Integration host factor alpha subunit	MR1
Integration host factor beta subunit	MR1
Iron binding protein IscA for iron-sulfur cluster assembly	MR1
Iron siderophore receptor protein	MR1
iron-chelator utilization protein	MR1
Iron-siderophore transport system, transmembran component	MR1
Iron-sulfur cluster assembly scaffold protein IscU	MR1
Iron-sulfur cluster assembly scaffold protein NifU	MR1
Iron(III) dicitrate transport system, periplasmic iron-binding protein FecB (TC 3.A.1.14.1)	MR1
Isocitrate lyase (EC 4.1.3.1)	MR1
Kup system potassium uptake protein	MR1
L-arabinose isomerase (EC 5.3.1.4)	MR1
L-arabinose transport ATP-binding protein AraG (TC 3.A.1.2.2)	MR1
L-arabinose transport system permease protein (TC 3.A.1.2.2)	MR1
L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	MR1
L-aspartate oxidase (EC 1.4.3.16)	MR1
L-fucose operon activator	MR1
L-idonate, D-gluconate, 5-keto-D-gluconate transporter	MR1
L-lactate dehydrogenase (EC 1.1.2.3)	MR1
L-lysine permease	MR1
L-Proline/Glycine betaine transporter ProP	MR1
L-rhamnose isomerase (EC 5.3.1.14)	MR1
L-rhamnose mutarotase	MR1
L,L-diaminopimelate aminotransferase (EC 2.6.1.83)	MR1
Lacto-N-biose phosphorylase (EC 2.4.1.211)	MR1
Lactose and galactose permease, GPH translocator family	MR1
Large exoproteins involved in heme utilization or adhesion	MR1
Leader peptidase (Prepilin peptidase) (EC 3.4.23.43)	MR1
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	MR1
Lipid A biosynthesis (KDO) 2-(lauroyl)-lipid IVA acyltransferase (EC 2.3.1.-)	MR1
Lipid A export ATP-binding/permease protein MsbA	MR1
Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	MR1
Lipopolysaccharide biosynthesis protein WzxC	MR1
Lipopolysaccharide core biosynthesis protein RfaS	MR1
Lipopolysaccharide heptosyltransferase I (EC 2.4.1.-)	MR1
Lipopolysaccharide heptosyltransferase III (EC 2.4.1.-)	MR1
Lipoprotein signal peptidase (EC 3.4.23.36)	MR1
