featureid	Intercept	C(Sex, Treatment('Male'))[T.Female]
Prevotella shahii	-0.6126611800980397	0.5022407470780887
Prevotella veroralis	-0.066256341536028	1.045240491493372
Prevotella sp. C561	-0.278456744749529	0.9797546564179935
Prevotella sp. F0091	0.48881763498069564	0.5762855707246342
Prevotella sp. HJM029	-0.9184210868668394	0.5675574837762394
Prevotella sp. HMSC069G02	-2.2000253768753844	0.4810257850724735
Prevotella sp. HMSC073D09	1.7652241615462474	0.34381866441550635
Prevotella sp. KH2C16	-1.9143488975357847	-0.26846034838375665
Prevotella sp. oral taxon 317	1.8560071056592635	0.35005903230491064
Prevotella sp. oral taxon 472	1.3954175142455272	0.1552494315940418
Tannerella forsythia	1.3738827137160472	0.08458100245776556
Tannerella sp. oral taxon HOT-286	3.9937021164107493	0.2783200143415012
Phocaeicola abscessus	1.4265349535155467	-0.6252380312841854
Capnocytophaga gingivalis	2.280547651450651	0.009783580763963684
Capnocytophaga granulosa	2.3175347475218944	0.4996763764459171
Capnocytophaga haemolytica	-1.1473179431748228	0.5706868468362369
Capnocytophaga leadbetteri	1.9687055973220042	0.07792456434550665
Capnocytophaga ochracea	1.066519263188856	-0.04625794095476188
Capnocytophaga sputigena	2.3608726290869884	-0.4004201890390835
Capnocytophaga sp. ChDC OS43	0.6475011734175853	0.23930290327849768
Capnocytophaga sp. oral taxon 323	0.023675623338239582	0.004635725035099014
Capnocytophaga sp. oral taxon 324	-0.029128965933305828	-0.027927894280525223
Capnocytophaga sp. oral taxon 326	0.7018505958724193	0.24898648248496436
Capnocytophaga sp. oral taxon 329	0.9695345787215404	0.06557947383704565
Capnocytophaga sp. oral taxon 332	1.4666158882785014	0.38142919526877783
Capnocytophaga sp. oral taxon 336	-0.07843786199806413	0.006715021892217621
Capnocytophaga sp. oral taxon 338	-0.3715575309586354	0.22496262179198645
Capnocytophaga sp. oral taxon 380	-0.035492715437395184	0.0017439200121440734
Capnocytophaga sp. oral taxon 863	1.023053768079298	0.3881191609937229
Capnocytophaga sp. oral taxon 864	-0.13062745054481706	-0.022722344980808273
Capnocytophaga sp. oral taxon 878	-0.14498644788978776	-0.05668102590856172
Bacteroidetes oral taxon 274	2.5011485842871837	0.18791869269194983
Candidatus Kryptonium thompsoni	0.30732637922050277	-0.02153809754666902
Fusobacterium hwasookii	0.9224740890669993	0.015988647802499756
Fusobacterium nucleatum	2.6741747883963756	0.5309719143945255
Fusobacterium periodonticum	1.1284194616484813	0.47320207939925574
Fusobacterium sp. HMSC064B11	-0.5364831062149831	0.42286455617728613
Fusobacterium sp. HMSC064B12	-3.9757922263932066	1.3149611650544681
Fusobacterium sp. oral taxon 203	-1.5916619869065123	0.6590287386018314
Fusobacterium sp. oral taxon 370	-0.8171985717606365	0.4396560786801853
Leptotrichia buccalis	3.110015573899763	0.5901126562196293
Leptotrichia goodfellowii	0.13906461278678695	-1.2125349344175778
Leptotrichia hofstadii	2.246577980916517	0.6549856363374271
Leptotrichia shahii	1.5957362083602122	1.0099922119218387
Leptotrichia trevisanii	1.2689027218032054	0.7666320501405277
Leptotrichia wadei	2.908731165330427	0.7894404827195682
Leptotrichia sp. oral taxon 212	2.3449590830016307	-0.10328112556156732
Leptotrichia sp. oral taxon 215	1.1107805995154552	0.4683183728295841
Leptotrichia sp. oral taxon 225	1.6462737945723704	0.5585981904107609
Leptotrichia sp. oral taxon 498	2.2671575276065044	0.8931004701692142
Leptotrichia sp. oral taxon 847	0.6075105098891429	0.9703133998948612
Leptotrichia sp. oral taxon 879	1.3477221755194835	0.7482385336000004
Lautropia mirabilis	4.253721418778913	-1.1509932578962765
Ottowia sp. oral taxon 894	3.1942238239455394	-0.25761349512753107
Eikenella corrodens	1.689263182680624	-0.6356245578688107
Eikenella sp. HMSC061C02	-0.9584599109482603	-0.6527291239660702
Kingella denitrificans	1.1532790092635326	0.02095217244210623
Kingella oralis	0.08368391076804915	1.1127754150468387
Morococcus cerebrosus	1.1599108604598216	-0.8550129236143551
Neisseria bacilliformis	0.2099965242552928	0.5132800637322941
Neisseria elongata	2.862310293118971	-0.7377981842916927
Neisseria gonorrhoeae	-0.588207778532488	-1.4168011249464474
Neisseria lactamica	-1.4195097060990172	-0.11119451387343027
Neisseria macacae	0.5756040243315867	-0.6872546972197018
Neisseria meningitidis	-0.6487136455368834	-0.40850991024193384
Neisseria mucosa	-0.37092405279396257	-0.7959941924971066
Neisseria polysaccharea	-2.745414075453265	-0.8544456066053829
Neisseria sicca	0.38603490869285384	-0.7538172305983029
Neisseria sp. GT4A_CT1	-0.44147616346595964	-0.6062066258352719
Neisseria sp. HMSC03D10	-0.3909049602341481	-0.7723616064947567
Neisseria sp. HMSC055F11	-1.0660245986771422	-1.3328447641294918
Neisseria sp. HMSC055H02	-0.5758088203263112	-0.6006905139845333
Neisseria sp. HMSC056A03	-0.400609311659319	-0.2088756413620434
Neisseria sp. HMSC059F02	-1.391524610121234	-1.0361498297613583
Neisseria sp. HMSC061B04	-2.5357912154984312	0.36849263296904944
Neisseria sp. HMSC064D07	-2.695836839277728	-0.13905087126907922
Neisseria sp. HMSC064E01	0.07993859330894271	-0.7322042287748776
Neisseria sp. HMSC064F04	-0.7139254184555845	-0.8474715651434384
Neisseria sp. HMSC065C04	-2.8277729125809508	-0.45122841014084436
Neisseria sp. HMSC065D04	0.3270772127318553	-0.5736946166914425
Neisseria sp. HMSC066H01	-2.9384573074173765	0.5851799546319523
Neisseria sp. HMSC068C04	-1.3999605747055845	-0.5105838478964291
Neisseria sp. HMSC069H12	-0.37215643842933854	-0.19342318190750696
Neisseria sp. HMSC070E12	-0.9037097068619566	-1.0804256500166378
Neisseria sp. HMSC072F04	-0.5213707061600514	-1.0498984159391842
Neisseria sp. HMSC073B07	-1.460417089064105	-1.0395172537725887
Neisseria sp. HMSC074B07	-0.61557751615761	-0.6763409675520382
Neisseria sp. HMSC077D05	-0.13470512350319108	-0.5650501550596676
Neisseria sp. HMSC078C12	-2.6389859290909605	0.4805022178727665
Neisseria sp. HMSC15C08	-0.7189579578232603	-0.48686352385696985
Neisseria sp. HMSC31F04	0.7242807773757152	-0.6231073440473995
Neisseria sp. HMSC70E02	0.4912664322066478	-0.662816435233923
Neisseria sp. KEM232	-2.774071511824115	0.3177126942712345
Neisseria sp. oral taxon 014	1.4921330539393596	1.129499763115076
Neisseria sp. oral taxon 020	-2.7564051719498472	0.4993411599237003
Propionivibrio dicarboxylicus	-3.087239083845599	-0.02137436917540647
Desulfobulbus oralis	0.767028513352888	-0.010257896171184555
Desulfomicrobium orale	-0.6210294338059255	-0.49784481538948633
Campylobacter concisus	0.19107431451560775	0.719784051044611
Campylobacter curvus	-0.8187294574570476	-0.7813028396528683
Campylobacter gracilis	2.454891326825636	-0.1814587266605816
Campylobacter showae	2.2810122994589976	-0.0314493404191456
Cardiobacterium hominis	2.2714234022307567	0.222327083213953
Cardiobacterium valvarum	2.0653031198191814	-0.4566013516348324
Aggregatibacter actinomycetemcomitans	-1.2482314678025084	-0.8834448160093746
Aggregatibacter aphrophilus	2.314507159392851	-1.3550052942198239
Aggregatibacter segnis	1.9527249960112742	0.48532965765777014
Aggregatibacter sp. oral taxon 458	0.9386902479338817	0.5285482703286686
Haemophilus haemolyticus	-2.5078237624955015	0.10726451860251807
Haemophilus parainfluenzae	1.392100992600935	-0.7754721344870052
Haemophilus sp. HMSC71H05	-2.5076029868912535	-1.423272282020422
Pseudomonas nitroreducens	-1.8090141387772398	-0.7330808342855892
Vibrio agarivorans	-2.309923467237933	-0.9155176581304989
Vibrio owensii	-1.845499572355731	-0.7873835863035641
Treponema denticola	1.8200705675292186	0.09361906336131476
Treponema lecithinolyticum	-1.4555266471695738	0.2597718535501041
Treponema maltophilum	1.1939578084159068	0.1868925242263355
Treponema medium	0.5701525835204295	0.3403131364423313
Treponema putidum	-0.5338924499344655	0.5550282298165836
Treponema socranskii	1.9940441502142123	0.01476681963982962
Treponema vincentii	0.392595353524702	0.6578604875642338
Treponema sp. OMZ 838	0.8012751964736156	0.10898593054595374
Actinobaculum sp. oral taxon 183	2.130445661942976	1.5836075244981327
Actinomyces bouchesdurhonensis	-1.9386489959549742	-0.515501707927557
Actinomyces dentalis	4.457495155732648	-0.3894784451883755
Actinomyces gerencseriae	2.2537528006243877	0.7757864295083561
Actinomyces israelii	3.0684852031874827	-0.13149546100315668
Actinomyces johnsonii	1.586624803941267	-0.0009556935590229187
Actinomyces massiliensis	2.8139702705550365	0.06736335144820593
Actinomyces naeslundii	2.6628496674704722	0.49840351925673865
Actinomyces oris	3.4997290996718577	-0.3356558681887112
Actinomyces radicidentis	-0.1336396308731862	-0.9201366008680782
Actinomyces ruminicola	-0.6581400008988219	-0.6775003374975643
Actinomyces slackii	-1.2830172153305845	-0.8498060406607113
Actinomyces timonensis	-0.137561854917986	0.6734986005860844
Actinomyces urogenitalis	-0.7814887138199644	-0.9284622968595944
Actinomyces viscosus	0.934136155049818	-0.40531638278183557
Actinomyces sp. HMSC035G02	-0.49813252409218034	-0.7425337733190975
Actinomyces sp. HMSC075C01	0.09780782739402571	-0.2931288184088192
Actinomyces sp. HMSC08A09	0.9149440554785899	-0.6018835605543575
Actinomyces sp. HPA0247	-0.03779810388801774	0.671987682445673
Actinomyces sp. oral taxon 170	2.3456293968367747	-0.3505055309694729
Actinomyces sp. oral taxon 171	1.4772918848204784	-0.2142125667494259
Actinomyces sp. oral taxon 172	-0.47828513105629167	-0.6193196476858578
Actinomyces sp. oral taxon 178	-0.6028202148270436	0.30689015971007727
Actinomyces sp. oral taxon 180	-0.6935945125412779	-1.5278470815580807
Actinomyces sp. oral taxon 414	4.224442663590924	-0.1873006673019848
Actinomyces sp. oral taxon 448	1.2530688671279124	0.938722461326746
Actinomyces sp. oral taxon 848	2.0294411508250407	0.8266704975205936
Actinomyces sp. oral taxon 849	0.5279101757216624	0.024534292383817657
Actinomyces sp. oral taxon 877	0.8508550552535228	0.32517963634314917
Schaalia cardiffensis	1.3388000158477	-0.08791658295807459
Schaalia georgiae	-0.6466229530167418	0.5756802259522953
Schaalia odontolytica	2.331638219754713	-1.6532005371015988
Corynebacterium argentoratense	-1.1983244987320738	-1.3246050180357418
Corynebacterium diphtheriae	-3.0621054740738707	-0.6360422076147518
Corynebacterium durum	2.579684260289686	-0.27187031521019556
Corynebacterium matruchotii	5.49040860215904	0.16606904552760504
Mycobacterium leprae	-1.6475701900315123	-0.6626023353498898
Cellulomonas flavigena	-0.5559585662674733	0.15878410623851202
Kytococcus sedentarius	0.04330760518790999	-0.32298362268623926
Rothia aeria	2.678538444440382	-1.1755496562880001
Rothia dentocariosa	0.5074935583281688	0.22333797798934363
Rothia sp. HMSC036D11	-0.5085361572098561	0.504901558025507
Rothia sp. HMSC058E10	-0.9441290469956236	-0.04190758722391941
Rothia sp. HMSC064D08	-0.3908837409806081	0.5576758085328617
Rothia sp. HMSC065D02	-1.1677706809830504	0.0929809956389942
Rothia sp. HMSC065G12	-1.3919621082138853	0.00947637842479132
Rothia sp. HMSC067H10	-0.9644353957962828	0.12991008148970984
Rothia sp. HMSC069C01	-1.166962441999896	0.21811074004950903
Rothia sp. HMSC071F11	-1.2659404846024351	0.5252893863755741
Rothia sp. HMSC08A08	-1.4852684112381773	-0.04612609024182923
Xylanimonas cellulosilytica	-0.5503228278946706	-0.9153540433805905
Sanguibacter keddieii	-0.5404730411362477	-0.5149344505232296
Propionibacterium australiense	-1.1843324275803404	0.05409025387349509
Propionibacterium sp. oral taxon 192	2.4154266146826915	-1.1056963504713497
Pseudopropionibacterium propionicum	4.866704883973616	-0.056295016915770546
Tessaracoccus flavescens	-2.5973289581131773	-0.46591952456650354
Tessaracoccus flavus	-3.072679814894183	-0.11686070276913263
Tessaracoccus sp. T2.5-30	-2.4879549117874937	-0.09245787574467279
Streptomyces turgidiscabies	-1.6697095008683043	-0.6629689635199032
Atopobium parvulum	-1.0508585544419127	0.5252011118966617
Atopobium sp. oral taxon 810	-1.1565640540909605	-0.4976888598364315
Olsenella uli	-0.23014312704323014	0.33387669907393835
Olsenella sp. oral taxon 807	3.4430486587691473	-0.25972479595360376
Cryptobacterium curtum	-1.9967508884262877	1.0439607797700443
Slackia exigua	-1.3261478515457945	0.15679526315513037
Anaerolineaceae bacterium oral taxon 439	2.040211561124342	-0.1277800129216633
Bacillus paralicheniformis	-2.5595129104447203	-0.67664167298493
Gemella morbillorum	1.164892795484083	-0.02989812581357576
Abiotrophia defectiva	1.8879283517483048	-1.029056817428442
Abiotrophia sp. HMSC24B09	1.7878789035487346	-1.2431043685835323
Granulicatella adiacens	-0.4449353786301442	-0.8734884561460934
Granulicatella sp. 572.rep1_STHE	-0.863164481718524	-0.9299446047705135
Granulicatella sp. HMSC30F09	-0.7544563384842711	-0.9316127003591976
Granulicatella sp. HMSC31F03	-1.1651304336380797	-1.026666611568304
Streptococcus anginosus	-0.7868784042191344	0.6974677740174808
Streptococcus constellatus	-2.9555395217728453	0.43596354113402747
Streptococcus intermedius	-1.3464201064896422	0.15497833476844214
Streptococcus cristatus	2.39845133105995	0.18593884990992926
Streptococcus gordonii	1.3233012584853343	-0.33747780336556055
Streptococcus infantis	-1.8137336345505553	-0.6716633738439999
Streptococcus mitis	-0.4944935413193532	-0.04111722916853644
Streptococcus mutans	2.3307219771552257	0.07319896654668234
Streptococcus oralis	2.4033960131812266	0.2261086104947605
Streptococcus parasanguinis	-1.9081388088059263	0.8348235784608402
Streptococcus pneumoniae	-1.2269986244034605	0.146453618868021
Streptococcus pseudopneumoniae	-0.8620560737442808	0.342028707130579
Streptococcus salivarius	-0.537142572004778	-0.8319304884832821
Streptococcus sanguinis	3.5873106149840526	-0.9719585479658566
Streptococcus sp. 263_SSPC	-1.3695669742417174	-0.5908697546881161
Streptococcus sp. 2_1_36FAA	-1.1587856384110289	-0.41108304275688745
Streptococcus sp. C300	-1.8998995395493345	-0.10432359217223741
Streptococcus sp. DD04	1.7942241979646854	0.8337335883218326
Streptococcus sp. F0441	-1.3656137557816344	0.3466309605676212
Streptococcus sp. HMSC062B01	-1.643379268248065	-0.8414533437651119
Streptococcus sp. HMSC062H02	-3.151482877333148	-0.06326888887700655
Streptococcus sp. HMSC066F01	-2.523271855909808	-0.17716756476578333
Streptococcus sp. HMSC072D05	-2.2105358215164976	-0.2071841062468014
Streptococcus sp. HMSC077F03	-3.1058581443619566	-0.38386061801132776
Streptococcus sp. HMSC10A01	-1.961344060499652	-0.8958816231649838
Streptococcus sp. M143	-1.9898808570694761	0.6570233999330082
Streptococcus sp. NLAE-zl-C503	-1.1986318202805357	0.5771523414689579
Streptococcus sp. NPS 308	-1.4847856136154967	-0.4071612061422787
Streptococcus sp. oral taxon 058	-1.245200213987811	0.41204917417350195
Streptococcus sp. oral taxon 064	-3.27788620908974	0.32795512662711523
Streptococcus sp. oral taxon 071	-1.2973692985367613	0.39782246933761023
[Eubacterium] brachy	-0.42863350828407487	-1.198127895728918
[Eubacterium] infirmum	-0.9237189861130535	0.9620902238923588
[Eubacterium] minutum	0.49573511163474837	-0.21670116497692682
[Eubacterium] saphenum	-1.328480062086566	0.06401044116797827
[Eubacterium] sulci	-1.8630078407120543	1.4456734357911625
Mogibacterium diversum	-0.8850336643051939	1.061306804283289
Mogibacterium pumilum	-1.2683365913224058	-0.09079054756579019
Pseudoramibacter alactolyticus	-0.9099240871262388	-1.0967032016676388
Catonella morbi	0.6138457683730296	0.1354340760547199
Johnsonella ignava	1.0528878597426585	0.05082711563887976
Lachnoanaerobaculum saburreum	2.1365129230427913	0.3574427364903965
Lachnoanaerobaculum umeaense	-0.3682704540085622	0.7279529868203678
Lachnoanaerobaculum sp. OBRC5-5	0.0974702266860179	0.8227274118501224
Oribacterium sinus	-2.8888619514298277	1.4799077211457767
Oribacterium sp. oral taxon 078	1.7161488858866862	-0.4896866978567562
Shuttleworthia satelles	-2.4081037612747984	0.3521042464810886
Stomatobaculum longum	0.4354429868865184	0.8935650287705936
Lachnospiraceae bacterium oral taxon 082	-0.5577331157517262	0.9562790094453373
Lachnospiraceae bacterium oral taxon 500	1.5080699948477916	0.36548346267524146
Filifactor alocis	0.08605343381645003	0.08369602249446295
[Eubacterium] yurii	0.34734171907188216	-0.7066049279135189
Peptoanaerobacter stomatis	-0.6108992667984792	0.16427329169097327
Peptostreptococcus anaerobius	-1.9100378127884703	0.06403360502305411
Peptostreptococcaceae bacterium oral taxon 113	-0.12259107549904069	-0.2613521219652615
Eggerthia catenaformis	-0.9420657726120787	0.2156311570245304
Solobacterium moorei	-0.22057395895240983	0.40162599073233984
Centipeda periodontii	1.0808870224166087	0.12477500723185919
Mitsuokella sp. oral taxon 131	1.3122979430365733	-0.12824322296795465
Selenomonas artemidis	0.46945613900901595	-0.8992353977125607
Selenomonas felix	-1.1408610912155943	0.38821780668082617
Selenomonas flueggei	-0.02555423696754655	0.397965431078104
Selenomonas infelix	0.46306056062461654	0.6625654994088688
Selenomonas noxia	2.7129549411940745	-0.20030862106499292
Selenomonas sputigena	1.8614254323649577	0.6267235575753727
Selenomonas sp. oral taxon 126	0.31404561082603255	0.6592552958566227
Selenomonas sp. oral taxon 136	-1.1832602592301207	0.350235402448801
Selenomonas sp. oral taxon 138	0.44572943727256575	0.5012910066682377
Selenomonas sp. oral taxon 149	-1.3611982436966734	0.43065109835448645
Selenomonas sp. oral taxon 478	-0.9111066432785808	0.42006564126792334
Selenomonas sp. oral taxon 892	0.31795817891837874	0.039905056222108826
Selenomonas sp. oral taxon 920	0.35395020524741927	0.6568102537232914
Anaeroglobus geminatus	0.7294079689192943	0.313083976371912
Dialister invisus	0.5560850528884105	0.20285499082389258
Megasphaera micronuciformis	-1.768796977598651	0.2401100991803684
Veillonella sp. 3_1_44	-1.1683030696701842	0.4280107019979038
Veillonella sp. 6_1_27	-1.049253520567401	0.399260699613718
Veillonella sp. HPA0037	-3.3943684669327574	2.1917318998414554
Veillonella atypica	-1.25899177511452	1.8315034805375614
Veillonella dispar	-2.368192967970355	0.06490425006928824
Veillonella parvula	1.4707192210364513	0.316433608396677
Veillonella rodentium	-1.6757741542649107	1.0768689809876957
Parvimonas micra	0.12602955381156722	-0.010411501066061035
Peptoniphilus sp. oral taxon 386	-2.4708903404068785	-0.5642796458166561
Candidatus Saccharibacteria oral taxon TM7x	1.6634404985118083	-0.4221150876444302
Candidatus Gracilibacteria bacterium HOT-871	-2.019299087126239	0.21208620057883643
Candidatus Methanomethylophilus alvus	-2.1773532005143004	-0.9393499792974911
Thermoplasmatales archaeon BRNA1	-2.1766512962174236	-1.0171176494520626
Methanobrevibacter oralis	1.0244679478812388	-1.8402487338942013
