Species	log fold change (HunterGatherer - HMP)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HMP)	structural.zero (HunterGatherer)
Capnocytophaga sp. oral taxon 338	-2.5697693968424	0.685167820822131	-5.16297715305267	0.0234383593678627	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 863	-1.2633677406625	0.657593172201853	-3.75221158703375	1.22547610570875	0	0	TRUE	0	0
Capnocytophaga sp. oral taxon 878	-2.96342248457734	0.472003554739608	-4.74985092139577	-1.17699404775891	0	0	TRUE	0	0
Candidatus Kryptonium thompsoni	7.31803391045325	0	7.31803391045325	7.31803391045325	0	0	TRUE	1	0
Fusobacterium nucleatum	-1.32218841900731	0.377855876956784	-2.75228884269364	0.107912004679009	0	0	TRUE	0	0
Fusobacterium sp. HMSC064B11	-0.166169505744565	0	-0.166169505744565	-0.166169505744565	0	0	TRUE	0	0
Fusobacterium sp. oral taxon 203	-0.657327598745011	0	-0.657327598745011	-0.657327598745011	0	0	TRUE	0	0
Fusobacterium sp. oral taxon 370	2.71150195416812	0	2.71150195416812	2.71150195416812	0	0	TRUE	0	0
Leptotrichia buccalis	4.41725075413835	1.03232961040922	0.510112865691501	8.32438864258521	0	0	TRUE	0	0
Leptotrichia shahii	4.18269899808881	0	4.18269899808881	4.18269899808881	0	0	TRUE	0	0
Leptotrichia sp. oral taxon 498	4.06423377090138	0	4.06423377090138	4.06423377090138	0	0	TRUE	0	0
Leptotrichia sp. oral taxon 847	3.39916122288275	0	3.39916122288275	3.39916122288275	0	0	TRUE	0	0
Lautropia mirabilis	-0.921544127720674	0.859016748785665	-4.17273139596192	2.32964314052058	0	0	TRUE	0	0
Ottowia sp. oral taxon 894	2.87256446013442	1.4317197544054	-2.54617626150166	8.2913051817705	0	0	TRUE	0	0
Eikenella corrodens	-1.82751714237983	0.426800101839048	-3.44286056745827	-0.212173717301395	0	0	TRUE	0	0
Kingella denitrificans	-0.685113021280274	1.01197077865082	-4.5151972612357	3.14497121867516	0	0	TRUE	0	0
Kingella oralis	-4.56812946578692	0.591683828764526	-6.80752111166907	-2.32873781990477	0	0	TRUE	0	0
Neisseria bacilliformis	-3.40705222335266	0.648303221260839	-5.86073567236878	-0.953368774336531	0	0	TRUE	0	0
Neisseria sp. HMSC061B04	1.6040606388435	0	1.6040606388435	1.6040606388435	0	0	TRUE	1	0
Neisseria sp. HMSC064D07	-0.730780845874816	0	-0.730780845874816	-0.730780845874816	0	0	TRUE	0	0
Neisseria sp. HMSC066H01	1.2261135586455	0	1.2261135586455	1.2261135586455	0	0	TRUE	1	0
Neisseria sp. HMSC070E12	0.288749393722789	1.13334953527122	-4.00072643401839	4.57822522146396	0	0	TRUE	0	0
Neisseria sp. HMSC078C12	1.60339187550287	0	1.60339187550287	1.60339187550287	0	0	TRUE	1	0
Neisseria sp. oral taxon 020	0.894580878850495	0	0.894580878850495	0.894580878850495	0	0	TRUE	1	0
Propionivibrio dicarboxylicus	1.03557582703899	0	1.03557582703899	1.03557582703899	0	0	TRUE	1	0
Desulfobulbus oralis	4.39914642237217	0	4.39914642237217	4.39914642237217	0	0	TRUE	1	0
Desulfomicrobium orale	1.60492421371294	0	1.60492421371294	1.60492421371294	0	0	TRUE	1	0
Campylobacter concisus	-2.21529183666912	0.41391984101132	-3.78188634029296	-0.648697333045272	0	0	TRUE	0	0
Campylobacter showae	-0.917820616945187	0.368185414348506	-2.31132049127729	0.475679257386912	0	0	TRUE	0	0
Cardiobacterium hominis	-2.58005630047751	0.553638573447614	-4.6754551198191	-0.484657481135925	0	0	TRUE	0	0
Cardiobacterium valvarum	-0.745881565920737	0.801513407134395	-3.77943148014972	2.28766834830824	0	0	TRUE	0	0
Aggregatibacter aphrophilus	-2.93670293511023	0.571104893228749	-5.09820788867532	-0.775197981545153	0	0	TRUE	0	0
Haemophilus haemolyticus	-5.49585198413374	0	-5.49585198413374	-5.49585198413374	0	0	TRUE	0	0
Haemophilus influenzae	-4.46729057146427	0	-4.46729057146427	-4.46729057146427	0	0	TRUE	0	1
Haemophilus parainfluenzae	-4.21246759882746	0.556638336848514	-6.31921985521265	-2.10571534244227	0	0	TRUE	0	0
Haemophilus sp. CCUG 60358	-6.76317812904586	0	-6.76317812904586	-6.76317812904586	0	0	TRUE	0	1
Haemophilus sp. HMSC061E01	-7.17400512014603	0	-7.17400512014603	-7.17400512014603	0	0	TRUE	0	1
Haemophilus sp. HMSC068C11	-6.78449858467371	0	-6.78449858467371	-6.78449858467371	0	0	TRUE	0	1
Haemophilus sp. HMSC073C03	-6.12079697227172	0	-6.12079697227172	-6.12079697227172	0	0	TRUE	0	1
Haemophilus sp. HMSC61B11	-7.87741156950306	0	-7.87741156950306	-7.87741156950306	0	0	TRUE	0	1
Haemophilus sp. HMSC71H05	-7.07705524281039	0	-7.07705524281039	-7.07705524281039	0	0	TRUE	0	1
Pseudomonas nitroreducens	1.98620901694812	0	1.98620901694812	1.98620901694812	0	0	TRUE	1	0
Vibrio agarivorans	1.20244040896292	0	1.20244040896292	1.20244040896292	0	0	TRUE	1	0
Vibrio cyclitrophicus	-4.68778459272613	0	-4.68778459272613	-4.68778459272613	0	0	TRUE	0	1
Vibrio owensii	1.90787023387132	0	1.90787023387132	1.90787023387132	0	0	TRUE	1	0
Treponema maltophilum	3.1913324705509	1.03993025323378	-0.744572159890911	7.12723710099271	0	0	TRUE	0	0
Treponema putidum	3.10693517588273	0.890854846777033	-0.264752209476005	6.47862256124146	0	0	TRUE	0	0
Actinobaculum sp. oral taxon 183	-5.36436359621798	0	-5.36436359621798	-5.36436359621798	0	0	TRUE	0	0
Actinomyces bouchesdurhonensis	1.37316958265945	0	1.37316958265945	1.37316958265945	0	0	TRUE	1	0
Actinomyces israelii	1.44018719768831	0.663139083642826	-1.06964668955603	3.95002108493265	0	0	TRUE	0	0
Actinomyces oris	-2.42246775772395	0.552857591607932	-4.51491073456596	-0.330024780881933	0	0	TRUE	0	0
Actinomyces radicidentis	3.53967880743379	0	3.53967880743379	3.53967880743379	0	0	TRUE	1	0
Actinomyces ruminicola	4.8071268411457	0	4.8071268411457	4.8071268411457	0	0	TRUE	1	0
Actinomyces slackii	2.9040329228748	0	2.9040329228748	2.9040329228748	0	0	TRUE	1	0
Actinomyces urogenitalis	2.85065506125149	0	2.85065506125149	2.85065506125149	0	0	TRUE	1	0
Actinomyces viscosus	-2.48699534409937	0.61280295195592	-4.80631817238668	-0.167672515812058	0	0	TRUE	0	0
Actinomyces sp. HMSC035G02	3.46563820421466	0	3.46563820421466	3.46563820421466	0	0	TRUE	1	0
Actinomyces sp. HMSC075C01	-2.37220291285855	0.561133127762912	-4.49596695279156	-0.248438872925528	0	0	TRUE	0	0
Actinomyces sp. HMSC08A09	-2.64648625153747	0.618162982884154	-4.98609560431443	-0.306876898760512	0	0	TRUE	0	0
Actinomyces sp. HPA0247	4.89717978836662	0	4.89717978836662	4.89717978836662	0	0	TRUE	1	0
Actinomyces sp. oral taxon 171	-2.92818118292122	0.65225915362294	-5.39683695575742	-0.459525410085024	0	0	TRUE	0	0
Actinomyces sp. oral taxon 172	3.52299044136126	0	3.52299044136126	3.52299044136126	0	0	TRUE	1	0
Actinomyces sp. oral taxon 178	2.10708061890826	0	2.10708061890826	2.10708061890826	0	0	TRUE	0	0
Actinomyces sp. oral taxon 180	-0.549691425251745	0	-0.549691425251745	-0.549691425251745	0	0	TRUE	0	0
Actinomyces sp. oral taxon 414	2.60835064928839	0.613253361080758	0.287323122676811	4.92937817589997	0	0	TRUE	0	0
Schaalia cardiffensis	4.76587700741473	0	4.76587700741473	4.76587700741473	0	0	TRUE	1	0
Schaalia georgiae	-1.07526680976065	0	-1.07526680976065	-1.07526680976065	0	0	TRUE	0	0
Schaalia odontolytica	-0.320594198149006	0.865626247930828	-3.59679695008202	2.95560855378401	0	0	TRUE	0	0
Corynebacterium argentoratense	1.40114271267256	0	1.40114271267256	1.40114271267256	0	0	TRUE	1	0
Corynebacterium diphtheriae	0.887002111331662	0	0.887002111331662	0.887002111331662	0	0	TRUE	1	0
Corynebacterium durum	-3.0901461376621	0.651586262677167	-5.55625516798262	-0.624037107341581	0	0	TRUE	0	0
Mycobacterium leprae	-0.145487258320283	0	-0.145487258320283	-0.145487258320283	0	0	TRUE	0	0
Cellulomonas flavigena	3.80267731425536	0	3.80267731425536	3.80267731425536	0	0	TRUE	1	0
Rothia aeria	-4.18877007892656	0.91952968318628	-7.66898534012058	-0.708554817732539	0	0	TRUE	0	0
Rothia dentocariosa	-4.23716356143059	0.707160207407804	-6.91360760769767	-1.56071951516352	0	0	TRUE	0	0
Rothia sp. HMSC036D11	-4.57281558740726	0.896660268188915	-7.96647520113961	-1.1791559736749	0	0	TRUE	0	0
Rothia sp. HMSC058E10	-4.52134406975147	0.829722081619424	-7.66165754065071	-1.38103059885222	0	0	TRUE	0	0
Rothia sp. HMSC064D08	-3.88601705665077	0.999344483456188	-7.66831357856709	-0.103720534734449	0	0	TRUE	0	0
Rothia sp. HMSC065D02	-5.08898962818983	0.843989498279173	-8.28330209673428	-1.89467715964537	0	0	TRUE	0	0
Rothia sp. HMSC065G12	-5.10806310039765	0.820998149112095	-8.21535842777767	-2.00076777301763	0	0	TRUE	0	0
Rothia sp. HMSC067H10	-4.99674850819746	0.975296568446156	-8.68802902231313	-1.30546799408179	0	0	TRUE	0	0
Rothia sp. HMSC069C01	-5.17240679808074	0.971653688384987	-8.84989982168317	-1.49491377447832	0	0	TRUE	0	0
Rothia sp. HMSC071F11	-4.79200964483985	0.957839885282556	-8.41722049718531	-1.16679879249439	0	0	TRUE	0	0
Rothia sp. HMSC08A08	-5.24011982286324	0.814040282688874	-8.3210811739136	-2.15915847181287	0	0	TRUE	0	0
Xylanimonas cellulosilytica	3.70593991657546	0	3.70593991657546	3.70593991657546	0	0	TRUE	1	0
Sanguibacter keddieii	3.55838553044155	0	3.55838553044155	3.55838553044155	0	0	TRUE	1	0
Propionibacterium australiense	1.1490819800679	0	1.1490819800679	1.1490819800679	0	0	TRUE	1	0
Propionibacterium sp. oral taxon 192	5.64141881842095	0	5.64141881842095	5.64141881842095	0	0	TRUE	1	0
Tessaracoccus flavescens	0.926925332217242	0	0.926925332217242	0.926925332217242	0	0	TRUE	1	0
Tessaracoccus flavus	0.817386718846036	0	0.817386718846036	0.817386718846036	0	0	TRUE	1	0
Tessaracoccus sp. T2.5-30	1.23577435117959	0	1.23577435117959	1.23577435117959	0	0	TRUE	1	0
Streptomyces turgidiscabies	2.23567722197127	0	2.23567722197127	2.23567722197127	0	0	TRUE	1	0
Atopobium parvulum	0.528084136949168	0	0.528084136949168	0.528084136949168	0	0	TRUE	0	0
Atopobium sp. oral taxon 810	1.33151873281559	0	1.33151873281559	1.33151873281559	0	0	TRUE	1	0
Olsenella uli	3.2635821198844	0	3.2635821198844	3.2635821198844	0	0	TRUE	1	0
Cryptobacterium curtum	1.41295770566518	0	1.41295770566518	1.41295770566518	0	0	TRUE	1	0
Slackia exigua	2.83305079307205	0	2.83305079307205	2.83305079307205	0	0	TRUE	1	0
Anaerolineaceae bacterium oral taxon 439	5.609435650346	0	5.609435650346	5.609435650346	0	0	TRUE	1	0
Bacillus paralicheniformis	-1.84434404687948	0	-1.84434404687948	-1.84434404687948	0	0	TRUE	0	0
Granulicatella sp. HMSC31F03	-1.55329183569958	1.01712217239213	-5.40287295481264	2.29628928341348	0	0	TRUE	0	0
Streptococcus anginosus	4.21894047927795	0.908121513700764	0.781902601339473	7.65597835721644	0	0	TRUE	0	0
Streptococcus constellatus	1.27309868481406	0	1.27309868481406	1.27309868481406	0	0	TRUE	1	0
Streptococcus intermedius	-3.06153345461905	1.0594802331316	-7.07143040922452	0.948363499986412	0	0	TRUE	0	0
Streptococcus gordonii	-1.2291562135157	0.514171159358277	-3.17517965178462	0.716867224753223	0	0	TRUE	0	0
Streptococcus mitis	-2.82912748776789	0.502755461265065	-4.73194504867621	-0.926309926859567	0	0	TRUE	0	0
Streptococcus mutans	-2.76286031029829	0	-2.76286031029829	-2.76286031029829	0	0	TRUE	0	0
Streptococcus oralis	-1.5077554528235	0.447213960671229	-3.20036079162444	0.184849885977442	0	0	TRUE	0	0
Streptococcus pneumoniae	-2.607527804575	0.725709369169601	-5.35417630103674	0.139120691886736	0	0	TRUE	0	0
Streptococcus pseudopneumoniae	-3.00281347003101	0.554230694094794	-5.10045333427899	-0.905173605783025	0	0	TRUE	0	0
Streptococcus sanguinis	-1.70747120506793	0.506551507045763	-3.62465595465949	0.209713544523632	0	0	TRUE	0	0
Streptococcus sp. C300	-3.93725443147383	1.04676195952467	-7.89901555021429	0.0245066872666215	0	0	TRUE	0	0
Streptococcus sp. DD04	6.83741132154002	0.933043406115803	3.3060496257775	10.3687730173025	0	0	TRUE	0	0
Streptococcus sp. HMSC062H02	-6.67590629038833	0	-6.67590629038833	-6.67590629038833	0	0	TRUE	0	1
Streptococcus sp. HMSC066F01	-4.26272854436112	1.03354829355456	-8.17447887736364	-0.3509782113586	0	0	TRUE	0	0
Streptococcus sp. HMSC072D05	-4.93098478091565	1.07772481236708	-9.0099334086214	-0.852036153209906	0	0	TRUE	0	0
Streptococcus sp. HMSC077F03	-4.48682831612629	0	-4.48682831612629	-4.48682831612629	0	0	TRUE	0	1
Streptococcus sp. M143	-1.26387830158178	0	-1.26387830158178	-1.26387830158178	0	0	TRUE	0	0
[Eubacterium] minutum	4.87292852724834	0	4.87292852724834	4.87292852724834	0	0	TRUE	1	0
[Eubacterium] saphenum	2.19096433088957	0	2.19096433088957	2.19096433088957	0	0	TRUE	1	0
[Eubacterium] sulci	2.92906868587024	0	2.92906868587024	2.92906868587024	0	0	TRUE	1	0
Mogibacterium pumilum	2.93862999082921	0	2.93862999082921	2.93862999082921	0	0	TRUE	1	0
Pseudoramibacter alactolyticus	1.35440164727665	0	1.35440164727665	1.35440164727665	0	0	TRUE	1	0
Johnsonella ignava	5.42838036405111	0.995800178074092	1.65949824942001	9.19726247868222	0	0	TRUE	0	0
Lachnoanaerobaculum umeaense	3.72712799052556	0	3.72712799052556	3.72712799052556	0	0	TRUE	0	0
Lachnoanaerobaculum sp. OBRC5-5	1.93739184082079	0	1.93739184082079	1.93739184082079	0	0	TRUE	0	0
Oribacterium sinus	-0.44816839976459	0	-0.44816839976459	-0.44816839976459	0	0	TRUE	0	0
Shuttleworthia satelles	1.04933124226709	0	1.04933124226709	1.04933124226709	0	0	TRUE	1	0
Stomatobaculum longum	1.09207251147857	0	1.09207251147857	1.09207251147857	0	0	TRUE	0	0
Lachnospiraceae bacterium oral taxon 082	1.46311863918479	0	1.46311863918479	1.46311863918479	0	0	TRUE	0	0
Lachnospiraceae bacterium oral taxon 500	3.03687254331684	0.942550767138176	-0.530472398586342	6.60421748522002	0	0	TRUE	0	0
Filifactor alocis	4.29976936220333	0.91541809575724	0.835115544625452	7.7644231797812	0	0	TRUE	0	0
Peptoanaerobacter stomatis	3.87142997078777	0.962752165230489	0.227627231791287	7.51523270978425	0	0	TRUE	0	0
Peptostreptococcus anaerobius	2.32612749419232	0	2.32612749419232	2.32612749419232	0	0	TRUE	1	0
Peptostreptococcaceae bacterium oral taxon 113	3.57083821589109	0	3.57083821589109	3.57083821589109	0	0	TRUE	1	0
Eggerthia catenaformis	3.32922077115361	0	3.32922077115361	3.32922077115361	0	0	TRUE	1	0
Solobacterium moorei	1.43616501980004	0	1.43616501980004	1.43616501980004	0	0	TRUE	0	0
Mitsuokella sp. oral taxon 131	1.4043840208591	0	1.4043840208591	1.4043840208591	0	0	TRUE	1	0
Selenomonas felix	0.971752067277122	0	0.971752067277122	0.971752067277122	0	0	TRUE	0	0
Selenomonas flueggei	1.38735154169339	0	1.38735154169339	1.38735154169339	0	0	TRUE	0	0
Selenomonas sp. oral taxon 136	0.757635341235032	0	0.757635341235032	0.757635341235032	0	0	TRUE	0	0
Selenomonas sp. oral taxon 149	0.965283405122272	0	0.965283405122272	0.965283405122272	0	0	TRUE	0	0
Selenomonas sp. oral taxon 478	1.64580313848486	0	1.64580313848486	1.64580313848486	0	0	TRUE	0	0
Selenomonas sp. oral taxon 892	2.52846317463183	0.915378650250405	-0.936041350479051	5.99296769974272	0	0	TRUE	0	0
Megasphaera micronuciformis	-0.528701416479674	0	-0.528701416479674	-0.528701416479674	0	0	TRUE	0	0
Veillonella sp. 3_1_44	-5.01655592645874	0	-5.01655592645874	-5.01655592645874	0	0	TRUE	0	0
Veillonella sp. 6_1_27	-4.72895932846769	0	-4.72895932846769	-4.72895932846769	0	0	TRUE	0	0
Veillonella sp. HPA0037	1.32696801006002	0	1.32696801006002	1.32696801006002	0	0	TRUE	1	0
Veillonella atypica	-0.114564051286736	0	-0.114564051286736	-0.114564051286736	0	0	TRUE	0	0
Veillonella dispar	-5.16979318304401	0	-5.16979318304401	-5.16979318304401	0	0	TRUE	0	0
Veillonella parvula	-2.62597879222413	0.497725943683558	-4.50976074812299	-0.742196836325265	0	0	TRUE	0	0
Veillonella rodentium	-1.36191885607864	0	-1.36191885607864	-1.36191885607864	0	0	TRUE	0	0
Peptoniphilus sp. oral taxon 386	1.3478558221254	0	1.3478558221254	1.3478558221254	0	0	TRUE	1	0
Candidatus Gracilibacteria bacterium HOT-871	-2.35419607577765	0	-2.35419607577765	-2.35419607577765	0	0	TRUE	0	0
Candidatus Methanomethylophilus alvus	0.967339619939247	0	0.967339619939247	0.967339619939247	0	0	TRUE	1	0
Thermoplasmatales archaeon BRNA1	0.961249186993409	0	0.961249186993409	0.961249186993409	0	0	TRUE	1	0
Methanobrevibacter oralis	2.85817962990129	0	2.85817962990129	2.85817962990129	0	0	TRUE	1	0
Neisseria sp. HMSC064E01	-1.49086585460667	1.05625428341962	-5.48855330730616	2.50682159809281	0.001	0.002475	TRUE	0	0
Treponema denticola	3.51690002317578	1.17126388310825	-0.916073175420728	7.94987322177229	0.001	0.002475	TRUE	0	0
Actinomyces naeslundii	-1.55311870536903	0.46351448850858	-3.30741791526774	0.201180504529676	0.001	0.002475	TRUE	0	0
Actinomyces sp. oral taxon 170	-2.22478905991734	0.691752619048855	-4.84291881233889	0.393340692504202	0.001	0.002475	TRUE	0	0
Streptococcus sp. oral taxon 064	-3.73732657470303	1.09953761210017	-7.89883179618551	0.424178646779454	0.001	0.002475	TRUE	0	0
[Eubacterium] infirmum	2.96183611889272	0.946716936682169	-0.621276847787531	6.54494908557296	0.001	0.002475	TRUE	0	0
Prevotella sp. oral taxon 317	3.13654912315734	1.18323655706347	-1.34173798251378	7.61483622882845	0.002	0.0046046511627907	TRUE	0	0
Bacteroidetes oral taxon 274	2.57356748268583	1.18738349605365	-1.92041486439483	7.06754982976649	0.002	0.0046046511627907	TRUE	0	0
Leptotrichia wadei	3.68217303247217	1.09454138739882	-0.460422590144803	7.82476865508915	0.002	0.0046046511627907	TRUE	0	0
Actinomyces massiliensis	-1.83620485963832	0.578054354733223	-4.02401197878564	0.351602259509003	0.002	0.0046046511627907	TRUE	0	0
Catonella morbi	0.153652377002475	0.98175159221715	-3.56205896588355	3.8693637198885	0.002	0.0046046511627907	TRUE	0	0
Anaeroglobus geminatus	2.76707539837446	1.17213287927888	-1.6691867573816	7.20333755413052	0.002	0.0046046511627907	TRUE	0	0
Prevotella saccharolytica	3.35454784434845	1.06600514776154	-0.680044460378193	7.38914014907509	0.003	0.0066	TRUE	0	0
Tannerella sp. oral taxon HOT-286	3.30684667427072	1.05671386876408	-0.692580206702636	7.30627355524408	0.003	0.0066	TRUE	0	0
Treponema socranskii	2.00915145167772	1.0345321590608	-1.90632259336192	5.92462549671736	0.003	0.0066	TRUE	0	0
Lachnoanaerobaculum saburreum	3.10678721432883	1.04521220333505	-0.84910842204507	7.06268285070273	0.003	0.0066	TRUE	0	0
Eikenella sp. HMSC061C02	-1.8621279175681	0.84753246869936	-5.06984974086395	1.34559390572776	0.004	0.00842553191489362	TRUE	0	0
Neisseria sp. HMSC31F04	-2.06080787813471	1.09474606664857	-6.2041781661721	2.08256240990268	0.004	0.00842553191489362	TRUE	0	0
Actinomyces timonensis	3.07729113713469	1.13082862803227	-1.20264361759334	7.35722589186272	0.004	0.00842553191489362	TRUE	0	0
Granulicatella sp. 572.rep1_STHE	-2.12004935524428	1.02119153738939	-5.98503211546343	1.74493340497487	0.004	0.00842553191489362	TRUE	0	0
Leptotrichia trevisanii	2.4991303757275	0.884788193113583	-0.84959607530798	5.84785682676299	0.005	0.01	TRUE	0	0
Leptotrichia sp. oral taxon 225	2.35276859933257	0.812997235779607	-0.724245051237701	5.42978224990284	0.005	0.01	TRUE	0	0
Actinomyces sp. oral taxon 848	3.62544854017412	1.28413603895399	-1.23472065494208	8.48561773529032	0.005	0.01	TRUE	0	0
Granulicatella sp. HMSC30F09	-1.0891354958956	1.02927249259754	-4.98470287361505	2.80643188182384	0.005	0.01	TRUE	0	0
[Eubacterium] yurii	0.850278209991723	1.08771601526627	-3.26648489770663	4.96704131769008	0.005	0.01	TRUE	0	0
Prevotella intermedia	2.65771429844686	0.992732888802368	-1.09955880874366	6.41498740563738	0.006	0.0113142857142857	TRUE	0	0
Capnocytophaga sp. oral taxon 864	0.158993517507903	0.830127659585781	-2.98285497575541	3.30084201077122	0.006	0.0113142857142857	TRUE	0	0
Leptotrichia sp. oral taxon 879	1.45182674404121	0.789634052815983	-1.53676245717542	4.44041594525785	0.006	0.0113142857142857	TRUE	0	0
Neisseria elongata	-2.39819132832462	0.874234678220457	-5.70697507358139	0.910592416932161	0.006	0.0113142857142857	TRUE	0	0
Olsenella sp. oral taxon 807	3.8989736288854	1.27181904108914	-0.914578469768186	8.71252572753899	0.006	0.0113142857142857	TRUE	0	0
Abiotrophia sp. HMSC24B09	0.900991588578917	1.19108256182036	-3.6069908994095	5.40897407656733	0.006	0.0113142857142857	TRUE	0	0
Tannerella forsythia	2.67166894119239	1.18905268325512	-1.82863090806202	7.17196879044679	0.007	0.0128333333333333	TRUE	0	0
Leptotrichia goodfellowii	-3.11472151410292	1.13891492054686	-7.4252610868486	1.19581805864276	0.007	0.0128333333333333	TRUE	0	0
Actinomyces gerencseriae	-1.55023530420428	0.592707349197653	-3.79350074719885	0.693030138790287	0.007	0.0128333333333333	TRUE	0	0
Leptotrichia hofstadii	1.91730028765893	0.794658960151272	-1.09030706981098	4.92490764512884	0.008	0.0145321100917431	TRUE	0	0
Selenomonas sp. oral taxon 138	2.76222797658445	1.01385395424073	-1.07498366398387	6.59943961715278	0.01	0.018	TRUE	0	0
Abiotrophia defectiva	1.70999344968174	1.17803534791748	-2.74860823660865	6.16859513597213	0.011	0.0196216216216216	TRUE	0	0
Actinomyces dentalis	1.69731730202775	0.667028407701607	-0.827236811428536	4.22187141548404	0.012	0.0212142857142857	TRUE	0	0
