Proteins	log fold change (Baka - Nzime)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (Baka)	structural.zero (Nzime)	L2	L3	star
Uncharacterized protein ImpA	-0.40045407156493	0.236168133716538	-1.35646723014204	0.555559087012182	0.0899557327681754	0.998995155490989	FALSE	0	0	Membrane Transport	T6SS BR	""
Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	-0.394154568128701	0.262407817807358	-1.45638647380334	0.668077337545932	0.133079368978093	0.998995155490989	FALSE	0	0	Cell Wall and Capsule	Peptidoglycan Biosynthesis	""
N-carbamoyl-L-amino acid hydrolase (EC 3.5.1.87)	-0.393858063638582	0.233073611348578	-1.33734453600818	0.549628408731019	0.0910577871238952	0.998995155490989	FALSE	0	0	Metabolite damage and its repair or mitigation	RidA proteins copy with new groups	""
preQ1-regulated inosine-uridine nucleoside hydrolase (EC 3.2.2.1)	-0.365906809638545	0.208484485985682	-1.20985602846383	0.478042409186739	0.0792457412871059	0.998995155490989	FALSE	0	0	Nucleosides and Nucleotides	Purine conversions	""
GldB	-0.360262031084872	0.178695375166512	-1.08362435498376	0.36310029281402	0.0437928636387321	0.998995155490989	FALSE	0	0	Motility and Chemotaxis	Bacterial motility:Gliding	""
N-acetylhexosamine 1-kinase	-0.358020036618744	0.250362431264028	-1.37149198533241	0.655451912094918	0.152715001566356	0.998995155490989	FALSE	0	0	Carbohydrates	Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway	""
Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)	-0.352519433987615	0.144277746913483	-0.936558535150608	0.231519667175378	0.0145520642228223	0.998639461525458	FALSE	0	0	Carbohydrates	Ethanolamine utilization	""
Type IV fimbrial biogenesis protein PilY1	-0.352109418843739	0.353543763908614	-1.78326139142609	1.07904255373861	0.319277865726242	0.998995155490989	FALSE	0	0	Membrane Transport	Type IV pilus	""
Serine transporter	-0.345536344254215	0.197223720144986	-1.14390176585018	0.452829077341753	0.0797734708933779	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Glycine and Serine Utilization	""
Homolog of fucose/glucose/galactose permeases	-0.339030885994548	0.258310599832096	-1.38467717431146	0.706615402322363	0.18935380473179	0.998995155490989	FALSE	0	0	Carbohydrates	Hexose Phosphate Uptake System	""
Catabolite repression HPr-like protein Crh	-0.335672161462013	0.193710942720095	-1.1198177923161	0.448473469392079	0.0831221915163407	0.998995155490989	FALSE	0	0	Regulation and Cell signaling	HPr catabolite repression system	""
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	-0.333726594544459	0.24344594873428	-1.31920048862877	0.651747299539849	0.170423365483561	0.998995155490989	FALSE	0	0	Sulfur Metabolism	Alkanesulfonate assimilation	""
Additional lipoprotein component of predicted cobalamin ECF transporter	-0.32807180591607	0.214669663195106	-1.19705874133456	0.540915129502417	0.126447134046588	0.998995155490989	FALSE	0	0	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)	""
Uncharacterized protein similar to VCA0109	-0.323495473295644	0.234708192979856	-1.27359876362319	0.6266078170319	0.168114403226844	0.998995155490989	FALSE	0	0	Membrane Transport	T6SS BR	""
Xanthine dehydrogenase iron-sulfur subunit (EC 1.17.1.4)	-0.321373090145452	0.226484610873554	-1.23818716155703	0.59544098126613	0.155910051528398	0.998995155490989	FALSE	0	0	Nucleosides and Nucleotides	Purine Utilization	""
ATP-dependent RNA helicase BA2475	-0.318357454763088	0.268917529266436	-1.4069407979305	0.770225888404329	0.236473273425998	0.998995155490989	FALSE	0	0	RNA Metabolism	ATP-dependent RNA helicases, bacterial	""
Malolactic enzyme (EC 1.-.-.-)	-0.317857924440329	0.248545255977535	-1.32397391255935	0.688258063678693	0.200941629917465	0.998995155490989	FALSE	0	0	Carbohydrates	Pyruvate metabolism I: anaplerotic reactions, PEP	""
PTS system, mannitol-specific IIA component	-0.305385171432757	0.242708120680631	-1.28787232333066	0.677101980465149	0.208304815509464	0.998995155490989	FALSE	0	0	Carbohydrates	Mannitol Utilization	""
Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	-0.304932077271739	0.129186475369024	-0.827881420264901	0.218017265721423	0.0182551171254693	0.998639461525458	FALSE	0	0	Carbohydrates	Ethanolamine utilization	""
Inner membrane component of tripartite multidrug resistance system	-0.304357267577038	0.33005384035685	-1.64042157673901	1.03170704158493	0.356453312218262	0.998995155490989	FALSE	0	0	Virulence	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	""
Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	-0.300631666586845	0.102407360278236	-0.715178635394451	0.113915302220761	0.00332854886859333	0.536451125988292	FALSE	0	0	Protein Metabolism	N-linked Glycosylation in Bacteria	""
Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)	-0.296751872941362	0.258582097227634	-1.34349718794985	0.749993442067126	0.251128845298337	0.998995155490989	FALSE	0	0	Carbohydrates	D-Sorbitol(D-Glucitol) and L-Sorbose Utilization	""
Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	-0.292026634556918	0.260372728755927	-1.34602046051509	0.761967191401253	0.26204467076947	0.998995155490989	FALSE	0	0	Carbohydrates	Inositol catabolism	""
Nitrate/nitrite sensor protein (EC 2.7.3.-)	-0.288187316515327	0.244147330660609	-1.27650041815997	0.70012578512932	0.237847988719691	0.998995155490989	FALSE	0	0	Nitrogen Metabolism	Nitrate and nitrite ammonification	""
Nucleoside permease NupC	-0.284805466266385	0.110868264732709	-0.733602339430895	0.163991406898125	0.0102032565704753	0.986654910364963	FALSE	0	0	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism	""
ABC-type tungstate transport system, permease protein	-0.283513481135046	0.228257034184592	-1.20750235628182	0.640475394011725	0.214207072575399	0.998995155490989	FALSE	0	0	Membrane Transport	ABC transporter tungstate (TC 3.A.1.6.2)	""
Phage capsid and scaffold	-0.280719469807741	0.148249677108984	-0.880837020980445	0.319398081364963	0.0582836062621062	0.998995155490989	FALSE	0	0	Phages, Prophages, Transposable elements	Phage capsid proteins	""
Holin-like protein CidA	-0.274589509359252	0.19973658196225	-1.08312704403917	0.533948025320666	0.169206412608698	0.998995155490989	FALSE	0	0	Regulation and Cell signaling	Murein hydrolase regulation and cell death	""
Twin-arginine translocation protein TatB	-0.273913242120468	0.199432265919635	-1.0812188995927	0.533392415351767	0.169607826930797	0.998995155490989	FALSE	0	0	Membrane Transport	Twin-arginine translocation system	""
Beta-lactamase (EC 3.5.2.6)	-0.272175929573638	0.167081645846138	-0.948525653272384	0.404173794125107	0.103313109553867	0.998995155490989	FALSE	0	0	Phages, Prophages, Transposable elements, Plasmids	Tn552	""
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	-0.266041203552785	0.112797988695588	-0.72264963652387	0.1905672294183	0.0183458275357851	0.998639461525458	FALSE	0	0	Protein Metabolism	N-linked Glycosylation in Bacteria	""
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	-0.263007381944084	0.152515959505019	-0.880394926509338	0.354380162621169	0.0846251765285114	0.998995155490989	FALSE	0	0	Metabolism of Aromatic Compounds	Biphenyl Degradation	""
(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)	-0.262952055952545	0.153388225246488	-0.883870549056441	0.357966437151351	0.0864752929372013	0.998995155490989	FALSE	0	0	Fatty Acids, Lipids, and Isoprenoids	Isoprenoinds for Quinones	""
Outer surface protein of unknown function, cellobiose operon	-0.254545877535657	0.374198938127926	-1.769310393587	1.26021863851568	0.496351169011913	0.998995155490989	FALSE	0	0	Carbohydrates	Beta-Glucoside Metabolism	""
tolB protein precursor, periplasmic protein involved in the tonb-independent uptake of group A colicins	-0.251968321130677	0.143065750866534	-0.831101238928484	0.32716459666713	0.0782034692093172	0.998995155490989	FALSE	0	0	Membrane Transport	Ton and Tol transport systems	""
Outer membrane receptor proteins, mostly Fe transport	-0.250585481085529	0.171802207892525	-0.946044130959903	0.444873168788846	0.144683600297584	0.998995155490989	FALSE	0	0	Iron acquisition and metabolism	Hemin transport system	""
Gluconate transporter family protein	-0.243505079773855	0.225845040190524	-1.15773015672969	0.670719997181979	0.280946571608833	0.998995155490989	FALSE	0	0	Carbohydrates	D-gluconate and ketogluconates metabolism	""
Rrf2 family transcriptional regulator	-0.242678931777295	0.121868705154032	-0.736005799854462	0.250647936299872	0.0464463114180131	0.998995155490989	FALSE	0	0	Metabolism of Aromatic Compounds	Anaerobic Aromatic Degredation (benzoate)	""
Fumarate and nitrate reduction regulatory protein	-0.241930713017597	0.214020852016546	-1.10829124827628	0.624429822241081	0.258304679775475	0.998995155490989	FALSE	0	0	Stress Response	Oxidative stress	""
Glutaryl-CoA dehydrogenase (EC 1.3.99.7)	-0.240202775279497	0.245448213399972	-1.23378187533395	0.753376324774952	0.327763253117031	0.998995155490989	FALSE	0	0	Metabolism of Aromatic Compounds	Anaerobic benzoate metabolism	""
Serine endopeptidase ScpC (EC 3.4.21.-)	-0.232432273820816	0.272108901556691	-1.33393435354845	0.869069805906818	0.393000596055354	0.998995155490989	FALSE	0	0	Virulence, Disease and Defense	Streptococcus pyogenes Virulome	""
Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	-0.231020442555334	0.167505479828269	-0.909085854385212	0.447044969274544	0.167838830657862	0.998995155490989	FALSE	0	0	Cell Wall and Capsule	dTDP-rhamnose synthesis	""
Sensory histidine kinase QseC	-0.228359175435318	0.247853885813989	-1.23167648380277	0.774958132932136	0.35686983487947	0.998995155490989	FALSE	0	0	Regulation and Cell signaling	Orphan regulatory proteins	""
Uncharacterized protein ImpJ/VasE	-0.227842524225173	0.299290955568419	-1.43937808265894	0.983693034208592	0.446493224590404	0.998995155490989	FALSE	0	0	Membrane Transport	T6SS BR	""
Propanediol dehydratase medium subunit (EC 4.2.1.28)	-0.226979194006033	0.161013147726591	-0.878763520316955	0.424805132304889	0.158630193416455	0.998995155490989	FALSE	0	0	Carbohydrates	Glycerol fermentation to 1,3-propanediol	""
Hypothetical, related to broad specificity phosphatases COG0406	-0.226533698422634	0.139991597335395	-0.793222383457091	0.340154986611822	0.105620586884679	0.998995155490989	FALSE	0	0	Cofactors, Vitamins, Prosthetic Groups, Pigments	Experimental tye	""
BlpZ protein, fusion	-0.223201403843958	0.173011896433248	-0.923556896253824	0.477154088565908	0.197018435556074	0.998995155490989	FALSE	0	0	Virulence, Disease and Defense	Bacteriocin-like peptides Blp	""
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	-0.222973721460647	0.288633565679054	-1.3913679601491	0.945420517227801	0.439809543228777	0.998995155490989	FALSE	0	0	Respiration	Respiration / HGM	""
Capsular polysaccharide ABC transporter, ATP-binding protein KpsT	-0.222547005767948	0.246115938562933	-1.21882907015572	0.773735058619826	0.365870029378852	0.998995155490989	FALSE	0	0	Cell Wall and Capsule	Capsular Polysaccharide (CPS) of Campylobacter	""
Nitrous oxide reductase maturation protein NosF (ATPase)	-0.217988107312922	0.167862058828821	-0.897496957811833	0.461520743185989	0.194076251688768	0.998995155490989	FALSE	0	0	Nitrogen Metabolism	Denitrification	""
CRISPR-associated protein, Csd1 family	-0.217805039017202	0.135947161234594	-0.768121768739384	0.332511690704979	0.109126843166234	0.998995155490989	FALSE	0	0	DNA Metabolism	CRISPRs	""
Arginine ABC transporter, ATP-binding protein ArtP	-0.217599800366508	0.171662706959417	-0.9124937477741	0.477294147041085	0.204940513443213	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Arginine and Ornithine Degradation	""
Septum site-determining protein MinC	-0.213843771996045	0.107683801715149	-0.649749877469419	0.222062333477329	0.0470500909462192	0.998995155490989	FALSE	0	0	Cell Division and Cell Cycle	Bacterial Cytoskeleton	""
Tyrosine recombinase XerC	-0.207274057054625	0.24395728868433	-1.19481786511531	0.780269751006058	0.395529400626155	0.998995155490989	FALSE	0	0	Predictions based on plant-prokaryote comparative analysis	At1g26220 At1g32070	""
Similar to ribosomal large subunit pseudouridine synthase A	-0.207028317247753	0.278774805831806	-1.33551410599887	0.921457471503361	0.457701846715465	0.998995155490989	FALSE	0	0	Protein Metabolism	Ribosome biogenesis bacterial	""
Formate hydrogenlyase subunit 5	-0.205962516314583	0.250010521263699	-1.21800992656213	0.806084893932967	0.410044458790373	0.998995155490989	FALSE	0	0	Respiration	Formate hydrogenase	""
Type IV fimbrial assembly protein PilC	-0.205584234691409	0.128690844103284	-0.726527252765146	0.315358783382327	0.110153239795843	0.998995155490989	FALSE	0	0	Membrane Transport	Type IV pilus	""
Cobalamin biosynthesis protein BluB	-0.205313888265074	0.251356017851548	-1.22280789464124	0.812180118111095	0.414028422762358	0.998995155490989	FALSE	0	0	Cofactors, Vitamins, Prosthetic Groups, Pigments	Cobalamin synthesis	""
Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)	-0.204406690016538	0.157872814250565	-0.843478885871264	0.434665505838187	0.195404597404664	0.998995155490989	FALSE	0	0	Stress Response	Oxidative stress	""
Nudix dNTPase DR1776 (EC 3.6.1.-)	-0.203208437493502	0.201419970186929	-1.01856036016244	0.612143485175432	0.313032526216435	0.998995155490989	FALSE	0	0	Stress Response	Nudix KE	""
Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4)	-0.201781145899889	0.152644934437338	-0.819690783477792	0.416128491678014	0.18620187336978	0.998995155490989	FALSE	0	0	Fatty Acids, Lipids, and Isoprenoids	Triacylglycerol metabolism	""
UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)	-0.199229912722484	0.0786430602701667	-0.517578536924647	0.119118711479678	0.0112980066501449	0.993197493699103	FALSE	0	0	Cell Wall and Capsule	Legionaminic Acid Biosynthesis	""
Periplasmic hemin-binding protein	-0.196730124094755	0.126980348712237	-0.710749023847393	0.317288775657884	0.121310622979097	0.998995155490989	FALSE	0	0	Iron acquisition and metabolism	acinetobacter siderophore assembly	""
DUF1537 linked to pdxA	-0.196141437857036	0.196459198546594	-0.991412061282829	0.599129185568756	0.318093886460217	0.998995155490989	FALSE	0	0	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxin (Vitamin B6) Biosynthesis	""
TPR repeat containing exported protein	-0.191574087658561	0.16226734945599	-0.848435446750945	0.465287271433824	0.237758590023324	0.998995155490989	FALSE	0	0	Membrane Transport	Ton and Tol transport systems	""
Phosphatidylglycerophosphatase A (EC 3.1.3.27)	-0.191313338812516	0.13224731457941	-0.726653017941924	0.344026340316891	0.147999718718229	0.998995155490989	FALSE	0	0	Fatty Acids, Lipids, and Isoprenoids	Cardiolipin biosynthesis in plants	""
TniB NTP-binding protein	-0.191155167221082	0.206747003155414	-1.02807102205099	0.645760687608823	0.355181845419952	0.998995155490989	FALSE	0	0	Phages, Prophages, Transposable elements, Plasmids	CBSS-203122.12.peg.188	""
Gamma-glutamyltranspeptidase PgsD/CapD (EC 2.3.2.2), catalyses PGA anchorage to peptidoglycan	-0.188454000367693	0.263754121072561	-1.25613576761643	0.879227766881043	0.474914116889246	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Poly-gamma-glutamate biosynthesis	""
Preprotein translocase subunit SecG (TC 3.A.5.1.1)	-0.184340023400233	0.100171550030354	-0.589836389218267	0.2211563424178	0.065732526134667	0.998995155490989	FALSE	0	0	Membrane Transport	HtrA and Sec secretion	""
Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 1	-0.183951242983523	0.189957880355564	-0.952904405027412	0.585001919060367	0.332855068822012	0.998995155490989	FALSE	0	0	Stress Response	Glutathionylspermidine and Trypanothione	""
Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation	-0.179162177918138	0.277098009070035	-1.30086026104917	0.942535905212889	0.51791280673494	0.998995155490989	FALSE	0	0	Predictions based on plant-prokaryote comparative analysis	At2g23840	""
V-type ATP synthase subunit G (EC 3.6.3.14)	-0.179037191767645	0.206223285799225	-1.01383302864249	0.655758645107197	0.385300420846908	0.998995155490989	FALSE	0	0	Respiration	V-Type ATP synthase	""
Tyrosine-protein kinase Wzc (EC 2.7.10.2)	-0.17766578160589	0.137747871694941	-0.735271821989032	0.379940258777252	0.197123696462914	0.998995155490989	FALSE	0	0	Cell Wall and Capsule	Capsular Polysaccharides Biosynthesis and Assembly	""
Ferredoxin, 2Fe-2S	-0.177627119793284	0.185755021296317	-0.929567027334733	0.574312787748165	0.3389489879737	0.998995155490989	FALSE	0	0	Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S cluster assembly	""
Aldehyde dehydrogenase A (EC 1.2.1.22)	-0.173997838151732	0.305738139656	-1.41163172207294	1.06363604576948	0.569283255858971	0.998995155490989	FALSE	0	0	Carbohydrates	L-rhamnose utilization	""
Aminodeoxychorismate lyase (EC 4.1.3.38)	-0.171815209802267	0.0911809050743961	-0.540917271500056	0.197286851895522	0.0595199146189944	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Tryptophan biosynthesis in Streptococci	""
CRISPR-associated protein, Csd2/Csh2 family	-0.170659809419824	0.139237930258412	-0.734297635596042	0.392978016756393	0.220322734128099	0.998995155490989	FALSE	0	0	DNA Metabolism	CRISPRs	""
FIG006789: Stage V sporulation protein	-0.169885121931603	0.271855201316763	-1.2703602181967	0.930589974333493	0.532029916083239	0.998995155490989	FALSE	0	0	Dormancy and Sporulation	Sporulation Cluster	""
Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	-0.169646288753314	0.214861656559679	-1.0394104170132	0.700117839506575	0.429784452204553	0.998995155490989	FALSE	0	0	DNA Metabolism	DNA repair, bacterial RecBCD pathway	""
Formate hydrogenlyase subunit 7	-0.169573634301332	0.194645277184432	-0.957501469080912	0.618354200478249	0.383648693485561	0.998995155490989	FALSE	0	0	Respiration	Formate hydrogenase	""
Conjugative transposon protein TraD	-0.169020014651938	0.164803408234705	-0.836147388575462	0.498107359271587	0.305086922619639	0.998995155490989	FALSE	0	0	Phages, Prophages, Transposable elements, Plasmids	Conjugative transposon, Bacteroidales	""
Phosphatidylserine decarboxylase (EC 4.1.1.65)	-0.166387844119464	0.0844632920290393	-0.508296878694895	0.175521190455967	0.0488449398873919	0.998995155490989	FALSE	0	0	Fatty Acids, Lipids, and Isoprenoids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	""
ATP-dependent Clp protease adaptor protein ClpS	-0.164237526126232	0.0944063730274837	-0.546396344284744	0.217921292032281	0.081914018848385	0.998995155490989	FALSE	0	0	Protein Metabolism	Proteolysis in bacteria, ATP-dependent	""
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)	-0.161099038104853	0.127756761425668	-0.6782608714906	0.356062795280894	0.207315158769661	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Cysteine Biosynthesis	""
Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)	-0.160781557587891	0.220290272547	-1.0525208280275	0.730957712851722	0.465474379158638	0.998995155490989	FALSE	0	0	Nucleosides and Nucleotides	Purine Utilization	""
putative TolA function	-0.159793177368416	0.17570746623192	-0.871060388293563	0.551474033556731	0.363124584444053	0.998995155490989	FALSE	0	0	Membrane Transport	Ton and Tol transport systems	""
Transcriptional regulator, MerR family	-0.159764137739083	0.150815300762851	-0.770267382927549	0.450739107449382	0.28944660331511	0.998995155490989	FALSE	0	0	Virulence	Cobalt-zinc-cadmium resistance	""
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	-0.158538146553859	0.114329943218409	-0.62134796096922	0.304271667861502	0.165541760901719	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Branched chain amino acid degradation regulons	""
Pimeloyl-CoA synthase (EC 6.2.1.14)	-0.158074801869456	0.254729980360535	-1.18922667353159	0.873077069792674	0.534890288152714	0.998995155490989	FALSE	0	0	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin biosynthesis	""
Hydrogenase-4 component D	-0.156335909212136	0.276233981040641	-1.27453639022183	0.961864571797553	0.57142460168828	0.998995155490989	FALSE	0	0	Respiration	Formate hydrogenase	""
YbbM seven transmembrane helix protein	-0.152473754186837	0.156782013041044	-0.787130365714909	0.482182857341235	0.330791568442441	0.998995155490989	FALSE	0	0	Miscellaneous	Broadly distributed proteins not in subsystems	""
Cytochrome c551 peroxidase (EC 1.11.1.5)	-0.15243596372627	0.191467338422923	-0.927499441128993	0.622627513676453	0.425947155342335	0.998995155490989	FALSE	0	0	Iron acquisition and metabolism	RCJ pfr	""
Ferredoxin-like protein	-0.152236936898706	0.181065981266702	-0.885195519996162	0.58072164619875	0.400470323364717	0.998995155490989	FALSE	0	0	Carbohydrates	Acetyl-CoA fermentation to Butyrate	""
Capsular polysaccharide ABC transporter, permease protein KpsM	-0.151085389288617	0.260461658424071	-1.20543920425799	0.903268425680756	0.56186897967889	0.998995155490989	FALSE	0	0	Cell Wall and Capsule	Capsular Polysaccharide (CPS) of Campylobacter	""
Peroxide stress regulator	-0.150873371641548	0.172061068963428	-0.847379896121749	0.545633152838653	0.380562991957831	0.998995155490989	FALSE	0	0	Iron acquisition and metabolism	Campylobacter Iron Metabolism	""
4-hydroxybenzoate transporter	-0.150573342797324	0.260643327005538	-1.20566255568703	0.904515870092377	0.563467475075885	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Cinnamic Acid Degradation	""
Sigma-fimbriae usher protein	-0.150268481517351	0.312417146191869	-1.41493911266618	1.11440214963148	0.630525975609248	0.998995155490989	FALSE	0	0	Virulence	sigma-Fimbriae	""
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	-0.146393652531342	0.255836968764042	-1.18202663459347	0.889239329530786	0.56717658752623	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis	""
Organic hydroperoxide resistance protein	-0.146387026012394	0.166699500517674	-0.821189818053803	0.528415766029014	0.379862778805462	0.998995155490989	FALSE	0	0	Stress Response	Oxidative stress	""
DnaJ-class molecular chaperone CbpA	-0.145766052336682	0.0920406073405347	-0.518348205382753	0.22681610070939	0.113258684050253	0.998995155490989	FALSE	0	0	Protein Metabolism	Protein chaperones	""
Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	-0.145653723569585	0.249039699646558	-1.15377122919363	0.862463782054455	0.558640871312311	0.998995155490989	FALSE	0	0	DNA Metabolism	DNA repair, bacterial RecBCD pathway	""
PhnB protein	-0.145033146287398	0.168964801858587	-0.829005921831551	0.538939629256756	0.390692012297837	0.998995155490989	FALSE	0	0	Phosphorus Metabolism	Alkylphosphonate utilization	""
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	-0.143960686396852	0.114482073127356	-0.607386325616674	0.31946495282297	0.208574284536783	0.998995155490989	FALSE	0	0	Fatty Acids, Lipids, and Isoprenoids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	""
Preprotein translocase SecY2 subunit (TC 3.A.5.1.1)	-0.141136864737439	0.258143921511753	-1.18610843600006	0.903834706525186	0.584559346755771	0.998995155490989	FALSE	0	0	Membrane Transport	SecY2-SecA2 Specialized Transport System	""
Paraquat-inducible protein B	-0.14088850214729	0.265699688928726	-1.21644596558809	0.934668961293509	0.595935367642963	0.998995155490989	FALSE	0	0	Stress Response	Oxidative stress	""
Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	-0.139495675920014	0.272830686252277	-1.2439195540113	0.96492820217127	0.609147815440549	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	""
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit	-0.138272418062864	0.187262885898701	-0.896316190586211	0.619771354460483	0.46027951473572	0.998995155490989	FALSE	0	0	RNA Metabolism	YrdC-YciO	""
L-lysine permease	-0.138096349624989	0.094858966165082	-0.522087273530439	0.245894574280462	0.145445972359646	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Lysine degradation	""
Arginine ABC transporter, permease protein ArtQ	-0.137456036276749	0.218574547127139	-1.02225001713779	0.747337944584292	0.529430990171089	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Arginine and Ornithine Degradation	""
Urea channel UreI	-0.137121042291077	0.256246832580962	-1.17441316098622	0.900171076404068	0.592571637499137	0.998995155490989	FALSE	0	0	Amino Acids and Derivatives	Urea decomposition	""
Formate dehydrogenase -O, gamma subunit (EC 1.2.1.2)	-0.134550485376529	0.204001608143137	-0.960352928265856	0.691251957512798	0.509538795889433	0.998995155490989	FALSE	0	0	Respiration	Anaerobic respiratory reductases	""
