MetaCyc_reaction	Protein	Pathway
RXN-7421	cyclopropane-fatty-acyl-phospholipid synthase	sterculate biosynthesis
RXN-7737	LL-diaminopimelate aminotransferase	L-lysine biosynthesis VI
RXN-8344	molybdopterin adenylyltransferase	molybdenum cofactor biosynthesis, bis(tungstenpterin) cofactor biosynthesis
RXN-8807	succinyl-CoA:acetate CoA-transferase	succinate fermentation to butanoate, TCA cycle VII (acetate-producers), anaerobic energy metabolism (invertebrates, mitochondrial), acetate formation from acetyl-CoA (succinate)
RXN-9229	3-demethylubiquinol 3-O-methyltransferase	ubiquinol-7 biosynthesis (early decarboxylation), ubiquinol-7 biosynthesis (late decarboxylation)
RXN-9237	3-demethylubiquinol 3-O-methyltransferase	ubiquinol-10 biosynthesis (late decarboxylation), ubiquinol-10 biosynthesis (early decarboxylation)
RXN0-6974	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6975	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6976	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6977	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6978	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6979	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6980	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6981	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6982	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6983	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6984	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6985	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6987	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN0-6988	glycyl-leucine dipeptidase	protein breakdown to amino acids
RXN1G-1435	trehalose-phosphatase	mycolate biosynthesis
RXN1G-1436	trehalose-phosphatase	mycolate biosynthesis
RXN1G-1437	trehalose-phosphatase	mycolate biosynthesis
RXN1G-1438	trehalose-phosphatase	mycolate biosynthesis
RXN1G-1439	trehalose-phosphatase	mycolate biosynthesis
RXN1G-2544	cyclopropane-fatty-acyl-phospholipid synthase	mycolate biosynthesis
RXN1G-3641	cyclopropane-fatty-acyl-phospholipid synthase	mycolate biosynthesis
RXN1G01-65	cyclopropane-fatty-acyl-phospholipid synthase	mycolate biosynthesis
RXN3O-102	3-demethylubiquinol 3-O-methyltransferase	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast), ubiquinol-6 biosynthesis (late decarboxylation)
RXN8J2-140	protein arginine kinase	regulation of the bacterial stress response
SULFITE-REDUCT-RXN	assimilatory sulfite reductase (NADPH)	assimilatory sulfate reduction III, assimilatory sulfate reduction I
TRANS-RXN-165	protein-Nπ-phosphohistidine—D-mannose phosphotransferase	D-mannose degradation I, mannose-specific phosphotransferase system
TRANS-RXN-167A	protein-Nπ-phosphohistidine—D-mannose phosphotransferase	D-mannose degradation I, mannose-specific phosphotransferase system
TREHALOSEPHOSPHA-RXN	trehalose-phosphatase	trehalose biosynthesis III, glycogen biosynthesis III (from α-maltose 1-phosphate), trehalose biosynthesis I, trehalose biosynthesis II
