Proteins	log fold change (Industrial calculus - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (CMC)	structural.zero (Industrial calculus)
RXN-12160	-1.07103451232664	0.17272657431853	-1.77218959804623	-0.369879426607057	0	0	TRUE	0	0
RXN-9225	-1.07103451232664	0.17272657431853	-1.77218959804623	-0.369879426607057	0	0	TRUE	0	0
RXN-9233	-1.07103451232664	0.17272657431853	-1.77218959804623	-0.369879426607057	0	0	TRUE	0	0
RXN-9240	-1.07103451232664	0.17272657431853	-1.77218959804623	-0.369879426607057	0	0	TRUE	0	0
RXN-19024	-1.06877710010911	0.217330361714916	-1.95099391589958	-0.186560284318631	0	0	TRUE	0	0
RXN0-2361	-1.04977045525144	0.170892861891271	-1.74348188732831	-0.356059023174573	0	0	TRUE	0	0
RXN0-7022	-1.04977045525144	0.170892861891271	-1.74348188732831	-0.356059023174573	0	0	TRUE	0	0
RXN-12130	-1.04393880828866	0.139509414071219	-1.61025430182358	-0.477623314753738	0	0	TRUE	0	0
LIPIDXSYNTHESIS-RXN	-1.04041298649726	0.168547213090879	-1.72460264352477	-0.356223329469741	0	0	TRUE	0	0
RXN-20786	-1.04041298649726	0.168547213090879	-1.72460264352477	-0.356223329469741	0	0	TRUE	0	0
3.6.1.41-RXN	-1.03383412669015	0.170596205121918	-1.72634132946203	-0.34132692391827	0	0	TRUE	0	0
RXN-17884	-1.03270509745381	0.183837016352484	-1.77896119306394	-0.286449001843686	0	0	TRUE	0	0
RXN-2962	-1.03270509745381	0.183837016352484	-1.77896119306394	-0.286449001843686	0	0	TRUE	0	0
CHORPYRLY-RXN	-1.01787025551224	0.177062210877614	-1.73662514389813	-0.299115367126344	0	0	TRUE	0	0
GLUTDEHYD-RXN	-1.00590783280632	0.166427824534117	-1.68149418098542	-0.330321484627209	0	0	TRUE	0	0
RXN0-6998	-1.00498525382781	0.146803805311509	-1.60091112744198	-0.409059380213643	0	0	TRUE	0	0
3.1.26.12-RXN	-1.00245297933568	0.163469356131339	-1.66602991220199	-0.338876046469378	0	0	TRUE	0	0
RXN0-6478	-1.00245297933568	0.163469356131339	-1.66602991220199	-0.338876046469378	0	0	TRUE	0	0
RXN0-6485	-1.00245297933568	0.163469356131339	-1.66602991220199	-0.338876046469378	0	0	TRUE	0	0
RXN0-6521	-1.00245297933568	0.163469356131339	-1.66602991220199	-0.338876046469378	0	0	TRUE	0	0
RXN0-6522	-1.00245297933568	0.163469356131339	-1.66602991220199	-0.338876046469378	0	0	TRUE	0	0
RXN0-6523	-1.00245297933568	0.163469356131339	-1.66602991220199	-0.338876046469378	0	0	TRUE	0	0
3.4.21.107-RXN	-0.994538520973109	0.119514079490518	-1.47968624639107	-0.509390795555146	0	0	TRUE	0	0
3.4.24.13-RXN	-0.982339134958215	0.169690287884658	-1.671168915882	-0.293509354034432	0	0	TRUE	0	0
MALSYN-RXN	-0.962881897177356	0.214653943624629	-1.83423423445362	-0.0915295599010902	0	0	TRUE	0	0
RXN-17898	-0.959941040567185	0.169521348576788	-1.64808504018975	-0.271797040944619	0	0	TRUE	0	0
RXN-17899	-0.959941040567185	0.169521348576788	-1.64808504018975	-0.271797040944619	0	0	TRUE	0	0
RXN-11588	-0.958237617509905	0.131369424618217	-1.49151016426496	-0.42496507075485	0	0	TRUE	0	0
NITRITE-REDUCTASE-CYTOCHROME-RXN	-0.946745115058117	0.164155567691102	-1.61310761075345	-0.280382619362781	0	0	TRUE	0	0
RXN-15838	-0.946745115058117	0.164155567691102	-1.61310761075345	-0.280382619362781	0	0	TRUE	0	0
RXN-11845	-0.940038373535462	0.128229039900401	-1.46056304565281	-0.419513701418111	0	0	TRUE	0	0
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	-0.939637489778966	0.166388535188698	-1.61506434933009	-0.264210630227846	0	0	TRUE	0	0
RXN0-2605	-0.925595331521403	0.131357184819382	-1.4588181928286	-0.392372470214204	0	0	TRUE	0	0
CERAMIDE-GLUCOSYLTRANSFERASE-RXN	-0.886794720771782	0.163585526053735	-1.55084322630846	-0.222746215235103	0	0	TRUE	0	0
RXN-18272	-0.886794720771782	0.163585526053735	-1.55084322630846	-0.222746215235103	0	0	TRUE	0	0
RXN-7793	-0.886794720771782	0.163585526053735	-1.55084322630846	-0.222746215235103	0	0	TRUE	0	0
ISOCIT-CLEAV-RXN	-0.873322051296631	0.194076442087458	-1.66114340956105	-0.085500693032214	0	0	TRUE	0	0
TEICHOICSYN5-RXN	-0.873264327046444	0.152070652790637	-1.49057010071519	-0.255958553377699	0	0	TRUE	0	0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	-0.862645231537702	0.108184189599449	-1.30180113462544	-0.423489328449963	0	0	TRUE	0	0
RXN-11754	-0.862645231537702	0.108184189599449	-1.30180113462544	-0.423489328449963	0	0	TRUE	0	0
RXN-9227	-0.862645231537702	0.108184189599449	-1.30180113462544	-0.423489328449963	0	0	TRUE	0	0
RXN-9235	-0.862645231537702	0.108184189599449	-1.30180113462544	-0.423489328449963	0	0	TRUE	0	0
RXN-9242	-0.862645231537702	0.108184189599449	-1.30180113462544	-0.423489328449963	0	0	TRUE	0	0
RXN3O-54	-0.862645231537702	0.108184189599449	-1.30180113462544	-0.423489328449963	0	0	TRUE	0	0
RXN-12241	-0.85820382385916	0.18718709989558	-1.6180590319573	-0.0983486157610165	0	0	TRUE	0	0
1.4.3.19-RXN	-0.857961219841061	0.198428284001348	-1.6634481637411	-0.052474275941023	0	0	TRUE	0	0
RXN-17951	-0.857961219841061	0.198428284001348	-1.6634481637411	-0.052474275941023	0	0	TRUE	0	0
RXN-8672	-0.857961219841061	0.198428284001348	-1.6634481637411	-0.052474275941023	0	0	TRUE	0	0
RXN-8673	-0.857961219841061	0.198428284001348	-1.6634481637411	-0.052474275941023	0	0	TRUE	0	0
RXN-8674	-0.857961219841061	0.198428284001348	-1.6634481637411	-0.052474275941023	0	0	TRUE	0	0
4.2.1.99-RXN	-0.855667154811481	0.16599913878417	-1.52951332377997	-0.181820985842992	0	0	TRUE	0	0
RXN-11578	-0.853986326142265	0.127271751147739	-1.37062504220404	-0.337347610080486	0	0	TRUE	0	0
RXN-10847	-0.814472081630856	0.136774049191168	-1.36968381186524	-0.259260351396477	0	0	TRUE	0	0
RXN0-4621	-0.798401758371333	0.149934594624443	-1.40703655565715	-0.189766961085513	0	0	TRUE	0	0
RXN0-1461	-0.781877487746628	0.158950679104355	-1.42711159530829	-0.136643380184963	0	0	TRUE	0	0
5.3.3.14-RXN	-0.778786464411693	0.169082381983775	-1.46514855143415	-0.0924243773892363	0	0	TRUE	0	0
RXN-16614	-0.778786464411693	0.169082381983775	-1.46514855143415	-0.0924243773892363	0	0	TRUE	0	0
RXN1G-30	-0.778786464411693	0.169082381983775	-1.46514855143415	-0.0924243773892363	0	0	TRUE	0	0
RXN1G-53	-0.778786464411693	0.169082381983775	-1.46514855143415	-0.0924243773892363	0	0	TRUE	0	0
RXN1G-674	-0.778786464411693	0.169082381983775	-1.46514855143415	-0.0924243773892363	0	0	TRUE	0	0
RXN-14116	-0.777925982369577	0.109463254814066	-1.22227404007356	-0.333577924665595	0	0	TRUE	0	0
2.7.1.121-RXN	-0.777499758602939	0.150407815098287	-1.38805551647755	-0.16694400072833	0	0	TRUE	0	0
FUCPALDOL-RXN	-0.777332467475347	0.221066282762247	-1.67471463956677	0.120049704616078	0	0	TRUE	0	0
DARABALDOL-RXN	-0.776675993585501	0.221042074984436	-1.67395989818917	0.120607911018173	0	0	TRUE	0	0
RXN0-6731	-0.771235985109025	0.131186240961488	-1.30376492797427	-0.238707042243778	0	0	TRUE	0	0
3.4.24.70-RXN	-0.763074305106731	0.178271794828306	-1.48673930035938	-0.0394093098540823	0	0	TRUE	0	0
3.4.21.110-RXN	-0.750037776325046	0.130379741555046	-1.27929286765536	-0.220782684994735	0	0	TRUE	0	0
2.1.1.151-RXN	-0.732077316968137	0.149512831559534	-1.3390000365433	-0.125154597392976	0	0	TRUE	0	0
RXN-8760	-0.732077316968137	0.149512831559534	-1.3390000365433	-0.125154597392976	0	0	TRUE	0	0
DCTP-DEAM-RXN	-0.723465552397006	0.124950729278541	-1.23068246238132	-0.216248642412694	0	0	TRUE	0	0
RXN-14118	-0.723465552397006	0.124950729278541	-1.23068246238132	-0.216248642412694	0	0	TRUE	0	0
RXN-12456	-0.718397921664293	0.154095021185752	-1.34392128548212	-0.0928745578464625	0	0	TRUE	0	0
PHOSICITDEHASE-RXN	-0.718020630190181	0.198591881862102	-1.52417167266644	0.0881304122860767	0	0	TRUE	0	0
RXN-13758	-0.713433005942628	0.103347832629385	-1.13295651430886	-0.293909497576401	0	0	TRUE	0	0
RXN-13759	-0.713433005942628	0.103347832629385	-1.13295651430886	-0.293909497576401	0	0	TRUE	0	0
RXN-16937	-0.708801158314189	0.0988515934620861	-1.11007292417235	-0.307529392456033	0	0	TRUE	0	0
RXN-9223	-0.707089438895494	0.188579604980471	-1.47259729208322	0.0584184142922306	0	0	TRUE	0	0
RXN-9231	-0.707089438895494	0.188579604980471	-1.47259729208322	0.0584184142922306	0	0	TRUE	0	0
RXN0-6950	-0.689131583331921	0.123977530653348	-1.19239795375299	-0.185865212910855	0	0	TRUE	0	0
RXN-13323	-0.687676494586636	0.149823393071756	-1.29585988748078	-0.0794931016924887	0	0	TRUE	0	0
3.1.1.47-RXN	-0.682134568415161	0.141163462667122	-1.25516439985449	-0.109104736975834	0	0	TRUE	0	0
RXN0-1241	-0.672759340409438	0.18275311910892	-1.41461553364368	0.0690968528248085	0	0	TRUE	0	0
3.4.24.40-RXN	-0.672050903204331	0.125003217132964	-1.17948087899055	-0.164620927418115	0	0	TRUE	0	0
FATTY-ACID-SYNTHASE-RXN	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-613	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-617	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-621	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-625	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-629	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-633	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-638	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
RXN66-647	-0.661360020051757	0.145103148668949	-1.25038235807102	-0.0723376820324925	0	0	TRUE	0	0
3.1.13.5-RXN	-0.649630529005525	0.163702726990071	-1.31415479244389	0.0148937344328386	0	0	TRUE	0	0
RXN0-6483	-0.649630529005525	0.163702726990071	-1.31415479244389	0.0148937344328386	0	0	TRUE	0	0
RXN0-6484	-0.649630529005525	0.163702726990071	-1.31415479244389	0.0148937344328386	0	0	TRUE	0	0
PHOSPHOLIPASE-A1-RXN	-0.639809865861878	0.134743682126578	-1.18677965533624	-0.0928400763875202	0	0	TRUE	0	0
RXN-12430	-0.639809865861878	0.134743682126578	-1.18677965533624	-0.0928400763875202	0	0	TRUE	0	0
RXN-20559	-0.639809865861878	0.134743682126578	-1.18677965533624	-0.0928400763875202	0	0	TRUE	0	0
RXN-20560	-0.639809865861878	0.134743682126578	-1.18677965533624	-0.0928400763875202	0	0	TRUE	0	0
RXN0-6952	-0.639809865861878	0.134743682126578	-1.18677965533624	-0.0928400763875202	0	0	TRUE	0	0
GPH-RXN	-0.634673881102307	0.0833953194576112	-0.973203447809755	-0.29614431439486	0	0	TRUE	0	0
GLUTATHIONE-SYN-RXN	-0.623963250000545	0.134323896157085	-1.16922898745752	-0.0786975125435714	0	0	TRUE	0	0
RXN-20401	-0.623963250000545	0.134323896157085	-1.16922898745752	-0.0786975125435714	0	0	TRUE	0	0
RXN-20407	-0.623963250000545	0.134323896157085	-1.16922898745752	-0.0786975125435714	0	0	TRUE	0	0
RXN-12613	-0.611595533479426	0.159082386548047	-1.25736428572061	0.0341732187617619	0	0	TRUE	0	0
THIAMINASE-RXN	-0.611595533479426	0.159082386548047	-1.25736428572061	0.0341732187617619	0	0	TRUE	0	0
3.1.1.64-RXN	-0.611267641201184	0.168626408793898	-1.29577878014402	0.0732434977416525	0	0	TRUE	0	0
CARBOXYLESTERASE-RXN	-0.611267641201184	0.168626408793898	-1.29577878014402	0.0732434977416525	0	0	TRUE	0	0
RETINYL-PALMITATE-ESTERASE-RXN	-0.611267641201184	0.168626408793898	-1.29577878014402	0.0732434977416525	0	0	TRUE	0	0
RXN-10767	-0.611267641201184	0.168626408793898	-1.29577878014402	0.0732434977416525	0	0	TRUE	0	0
RXN-12575	-0.611267641201184	0.168626408793898	-1.29577878014402	0.0732434977416525	0	0	TRUE	0	0
2.7.7.40-RXN	-0.588494029813218	0.114152514147426	-1.05187736360495	-0.12511069602149	0	0	TRUE	0	0
RXN0-7165	-0.584969361911008	0.170537070880199	-1.27723651896621	0.107297795144195	0	0	TRUE	0	0
SPERMACTRAN-RXN	-0.584969361911008	0.170537070880199	-1.27723651896621	0.107297795144195	0	0	TRUE	0	0
GLYCDEH-RXN	-0.580086499559811	0.0987705684893925	-0.981029357883626	-0.179143641235996	0	0	TRUE	0	0
RNA-DIRECTED-RNA-POLYMERASE-RXN	-0.569871458971664	0.212176380515653	-1.43116653678509	0.291423618841758	0	0	TRUE	0	0
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	-0.567806689538676	0.0889787416758317	-0.929001239323976	-0.206612139753375	0	0	TRUE	0	0
RXN-10949	-0.567806689538676	0.0889787416758317	-0.929001239323976	-0.206612139753375	0	0	TRUE	0	0
RXN-10952	-0.567806689538676	0.0889787416758317	-0.929001239323976	-0.206612139753375	0	0	TRUE	0	0
RXN-10953	-0.567806689538676	0.0889787416758317	-0.929001239323976	-0.206612139753375	0	0	TRUE	0	0
RXN-10954	-0.567806689538676	0.0889787416758317	-0.929001239323976	-0.206612139753375	0	0	TRUE	0	0
RXN-7253	-0.567806689538676	0.0889787416758317	-0.929001239323976	-0.206612139753375	0	0	TRUE	0	0
RXN0-5408	-0.567806689538676	0.0889787416758317	-0.929001239323976	-0.206612139753375	0	0	TRUE	0	0
DIACYLGLYKIN-RXN	-0.557404436236915	0.0954301332976991	-0.944787347966448	-0.170021524507382	0	0	TRUE	0	0
1.6.4.4-RXN	-0.556989568044722	0.0949920181239297	-0.942594023370362	-0.171385112719082	0	0	TRUE	0	0
GLYOXII-RXN	-0.555157318550527	0.132936397631018	-1.09479073421904	-0.0155239028820161	0	0	TRUE	0	0
RXN-7919	-0.555157318550527	0.132936397631018	-1.09479073421904	-0.0155239028820161	0	0	TRUE	0	0
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	-0.547909399955116	0.131236212579803	-1.08064119437613	-0.0151776055341012	0	0	TRUE	0	0
RXN-12019	-0.53926212667713	0.129994542992838	-1.06695356787445	-0.0115706854798077	0	0	TRUE	0	0
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	-0.535235348185404	0.112171082236657	-0.990575385415939	-0.0798953109548693	0	0	TRUE	0	0
4.3.1.4-RXN	-0.532067020692525	0.11478528901994	-0.998018999880762	-0.0661150415042874	0	0	TRUE	0	0
RXN-16788	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19310	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19313	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19314	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19315	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19319	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19320	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19322	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19323	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19324	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-19326	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
RXN-8770	-0.531691660711253	0.117238770482263	-1.00760314388325	-0.0557801775392544	0	0	TRUE	0	0
3.4.21.102-RXN	-0.528189971801425	0.129310043057206	-1.05310279822602	-0.003277145376825	0	0	TRUE	0	0
3.4.11.24-RXN	-0.527398595945555	0.111193401727845	-0.978769900144319	-0.0760272917467912	0	0	TRUE	0	0
RXN-21482	-0.5156162438583	0.215701976115821	-1.39122289645401	0.359990408737412	0	0	TRUE	0	0
RXN-21483	-0.5156162438583	0.215701976115821	-1.39122289645401	0.359990408737412	0	0	TRUE	0	0
RXN0-6259	-0.5156162438583	0.215701976115821	-1.39122289645401	0.359990408737412	0	0	TRUE	0	0
SUGAR-PHOSPHATASE-RXN	-0.513683928759909	0.0943402681887467	-0.896642712546737	-0.130725144973081	0	0	TRUE	0	0
GAMMA-GLUTAMYLTRANSFERASE-RXN	-0.507150850546771	0.124051114457651	-1.01071592230442	-0.00358577878911759	0	0	TRUE	0	0
RXN-18092	-0.507150850546771	0.124051114457651	-1.01071592230442	-0.00358577878911759	0	0	TRUE	0	0
RXN-6601	-0.507150850546771	0.124051114457651	-1.01071592230442	-0.00358577878911759	0	0	TRUE	0	0
RXN-9157	-0.507150850546771	0.124051114457651	-1.01071592230442	-0.00358577878911759	0	0	TRUE	0	0
RXN66-336	-0.507150850546771	0.124051114457651	-1.01071592230442	-0.00358577878911759	0	0	TRUE	0	0
RXN-12303	-0.494826821186344	0.139448373183968	-1.06089452929102	0.071240886918329	0	0	TRUE	0	0
RXN-19671	-0.494826821186344	0.139448373183968	-1.06089452929102	0.071240886918329	0	0	TRUE	0	0
RXN1YI0-16	-0.494826821186344	0.139448373183968	-1.06089452929102	0.071240886918329	0	0	TRUE	0	0
NQOR-RXN	-0.494744773676728	0.139449443780701	-1.06081682769255	0.0713272803390902	0	0	TRUE	0	0
R601-RXN	-0.483860420229275	0.120354302930964	-0.972418894344905	0.00469805388635491	0	0	TRUE	0	0
RXN-14963	-0.483860420229275	0.120354302930964	-0.972418894344905	0.00469805388635491	0	0	TRUE	0	0
RXN-14970	-0.483860420229275	0.120354302930964	-0.972418894344905	0.00469805388635491	0	0	TRUE	0	0
RXN-21414	-0.483860420229275	0.120354302930964	-0.972418894344905	0.00469805388635491	0	0	TRUE	0	0
2.1.1.77-RXN	-0.481947588125694	0.0952484379690502	-0.86859293758818	-0.0953022386632081	0	0	TRUE	0	0
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	-0.475735663307712	0.093948519590492	-0.857104208168807	-0.0943671184466162	0	0	TRUE	0	0
CYCPHOSDIESTER-RXN	-0.474920622721248	0.157434286442295	-1.11399918397427	0.164157938531772	0	0	TRUE	0	0
RXN-14064	-0.474920622721248	0.157434286442295	-1.11399918397427	0.164157938531772	0	0	TRUE	0	0
RXN-14091	-0.474920622721248	0.157434286442295	-1.11399918397427	0.164157938531772	0	0	TRUE	0	0
RXN-14112	-0.474920622721248	0.157434286442295	-1.11399918397427	0.164157938531772	0	0	TRUE	0	0
RXN-14113	-0.474920622721248	0.157434286442295	-1.11399918397427	0.164157938531772	0	0	TRUE	0	0
UDPSUGARHYDRO-RXN	-0.464963382460499	0.223493333598327	-1.37219776776076	0.442271002839761	0	0	TRUE	0	0
RXN-14903	-0.453810292847352	0.118704015287225	-0.935669696024577	0.028049110329873	0	0	TRUE	0	0
RXN0-7008	-0.453810292847352	0.118704015287225	-0.935669696024577	0.028049110329873	0	0	TRUE	0	0
GLYCPDIESTER-RXN	-0.44274797580128	0.106070322182122	-0.873322982196989	-0.0121729694055723	0	0	TRUE	0	0
RXN-14073	-0.44274797580128	0.106070322182122	-0.873322982196989	-0.0121729694055723	0	0	TRUE	0	0
RXN-14136	-0.44274797580128	0.106070322182122	-0.873322982196989	-0.0121729694055723	0	0	TRUE	0	0
RXN-20556	-0.44274797580128	0.106070322182122	-0.873322982196989	-0.0121729694055723	0	0	TRUE	0	0
RXN-20557	-0.44274797580128	0.106070322182122	-0.873322982196989	-0.0121729694055723	0	0	TRUE	0	0
LYSDECARBOX-RXN	-0.431958627806621	0.127608554323339	-0.949964540898678	0.0860472852854356	0	0	TRUE	0	0
3.2.1.17-RXN	-0.424261886761076	0.117182715772057	-0.899945825067471	0.05142205154532	0	0	TRUE	0	0
PDXJ-RXN	-0.418895128075115	0.109824068801689	-0.864707850746945	0.0269175945967152	0	0	TRUE	0	0
CYTOCHROME-C-PEROXIDASE-RXN	-0.418618847451703	0.13871471023668	-0.981708371633463	0.144470676730058	0	0	TRUE	0	0
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	-0.413142190393203	0.140471522738495	-0.983363205633383	0.157078824846977	0	0	TRUE	0	0
RXN-17731	-0.413142190393203	0.140471522738495	-0.983363205633383	0.157078824846977	0	0	TRUE	0	0
RXN-14569	-0.41062836180468	0.0768862976527083	-0.722735626329771	-0.0985210972795882	0	0	TRUE	0	0
PEPSYNTH-RXN	-0.385393637040794	0.102419226826279	-0.80114762306198	0.0303603489803908	0	0	TRUE	0	0
RXN-11136	-0.382764620201545	0.101386657180261	-0.794327059777014	0.0287978193739248	0	0	TRUE	0	0
PGPPHOSPHA-RXN	-0.377123427192693	0.0811343185871417	-0.706474833183408	-0.0477720212019784	0	0	TRUE	0	0
RXN-13313	-0.377123427192693	0.0811343185871417	-0.706474833183408	-0.0477720212019784	0	0	TRUE	0	0
HOMSUCTRAN-RXN	-0.367222444106536	0.159287383594731	-1.01382334810206	0.279378459888991	0	0	TRUE	0	0
2-NITROPROPANE-DIOXYGENASE-RXN	-0.365010753227677	0.101949510136814	-0.778858001695794	0.0488364952404411	0	0	TRUE	0	0
RXN-16322	-0.365010753227677	0.101949510136814	-0.778858001695794	0.0488364952404411	0	0	TRUE	0	0
RXN0-6515	-0.351990932822178	0.0995547311470796	-0.756116970327528	0.0521351046831723	0	0	TRUE	0	0
THIAZOLSYN2-RXN	-0.351286877957695	0.0880988492218947	-0.708909649217322	0.00633589330193063	0	0	TRUE	0	0
DLACTDEHYDROGFAD-RXN	-0.351198536816616	0.150380508190734	-0.961643446796619	0.259246373163387	0	0	TRUE	0	0
RXN-20917	-0.351198536816616	0.150380508190734	-0.961643446796619	0.259246373163387	0	0	TRUE	0	0
DIHYDLIPACETRANS-RXN	-0.348460595032737	0.130581616879117	-0.878535165998493	0.181613975933018	0	0	TRUE	0	0
RXN0-1133	-0.348460595032737	0.130581616879117	-0.878535165998493	0.181613975933018	0	0	TRUE	0	0
2.7.7.1-RXN	-0.339871855968117	0.121129718456121	-0.831578001721158	0.151834289784924	0	0	TRUE	0	0
RXN-8999	-0.332236356005371	0.138418947469888	-0.894125279938324	0.229652567927582	0	0	TRUE	0	0
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	-0.321235852545413	0.189374935434279	-1.08997221874403	0.447500513653207	0	0	TRUE	0	0
RXN-14304	-0.321235852545413	0.189374935434279	-1.08997221874403	0.447500513653207	0	0	TRUE	0	0
BETA-LACTAMASE-RXN	-0.282567605816423	0.07145348895199	-0.572621278036572	0.00748606640372562	0	0	TRUE	0	0
RXN-20894	-0.282567605816423	0.07145348895199	-0.572621278036572	0.00748606640372562	0	0	TRUE	0	0
1.1.99.28-RXN	-0.28012340674626	0.269771489663097	-1.37521634600996	0.814969532517441	0	0	TRUE	0	0
RXN0-5038	-0.269897002977156	0.254967172845234	-1.30489425593201	0.765100249977695	0	0	TRUE	0	0
RXN-8344	-0.266723658591094	0.171437851311805	-0.962647385477716	0.429200068295528	0	0	TRUE	0	0
