Pathways	log fold change (Industrial calculus - CMC)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (CMC)	structural.zero (Industrial calculus)
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.166957471104747	0.067209985212106	-0.0683660638398919	0.402281006049386	0.001	0.00155072463768116	TRUE	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	0.173897203806648	0.0784479798883253	-0.100774124840832	0.448568532454129	0.011	0.0150897435897436	TRUE	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.175221536104588	0.0697378566214878	-0.0689528806556609	0.419395952864837	0.004	0.00578378378378378	TRUE	0	0
PWY-5973: cis-vaccenate biosynthesis	0.184216311452562	0.0789215042199327	-0.0921129764883851	0.460545599393509	0.004	0.00578378378378378	TRUE	0	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.197284599511511	0.0798832206615107	-0.0824119635736316	0.476981162596654	0.006	0.00856	TRUE	0	0
PWY-6703: preQ0 biosynthesis	0.209965392604596	0.0876873180571732	-0.0970557976234309	0.516986582832624	0.002	0.00301408450704225	TRUE	0	0
PWY-4984: urea cycle	0.227753065293773	0.123127784872383	-0.203356471401279	0.658862601988825	0	0	TRUE	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	0.231921612139491	0.0679044224618521	-0.00583336848828231	0.469676592767264	0	0	TRUE	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0.233370277457071	0.122367405849228	-0.195076930432789	0.66181748534693	0	0	TRUE	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	0.241499848830454	0.0721936324797347	-0.0112730202902671	0.494272717951175	0	0	TRUE	0	0
PWY66-422	0.242241803514741	0.0718167820964447	-0.00921159255355863	0.49369519958304	0	0	TRUE	0	0
PWY0-781: aspartate superpathway	0.245618916724204	0.0812411625360076	-0.0388322327687096	0.530070066217119	0	0	TRUE	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	0.246775811818119	0.0656148132168569	0.0170374813870958	0.476514142249142	0	0	TRUE	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.250183918608745	0.0778082034759829	-0.0222473493327032	0.522615186550194	0	0	TRUE	0	0
PWY-6527: stachyose degradation	0.251547388480316	0.0882177809878141	-0.0573311211862076	0.560425898146839	0	0	TRUE	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation	0.251961670189404	0.100820021725418	-0.101041292551128	0.604964632929936	0.001	0.00155072463768116	TRUE	0	0
PWY-6859: all-trans-farnesol biosynthesis	0.261720328946659	0.0907022180039253	-0.0558569849099491	0.579297642803268	0	0	TRUE	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.263242793358616	0.0606480396879599	0.0508947167775368	0.475590869939695	0	0	TRUE	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.268266710063292	0.0773015333515634	-0.00239054462174876	0.538923964748333	0	0	TRUE	0	0
PWY-5667: CDP-diacylglycerol biosynthesis I	0.311429585933983	0.100805365970144	-0.0415220623459444	0.66438123421391	0	0	TRUE	0	0
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.312873525386586	0.100184677355606	-0.0379048946384614	0.663651945411634	0.001	0.00155072463768116	TRUE	0	0
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	0.31492240425711	0.0708526077581926	0.0668448892110177	0.562999919303202	0	0	TRUE	0	0
PWY-6700: queuosine biosynthesis I (de novo)	0.331492815207457	0.0792545171309579	0.0539975431473747	0.608988087267539	0	0	TRUE	0	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.334734440644973	0.0671043185472619	0.0997808783021497	0.569688002987796	0	0	TRUE	0	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.35660170846858	0.0732312912988171	0.10019566578589	0.61300775115127	0	0	TRUE	0	0
PWY66-399: gluconeogenesis III	0.362836735496572	0.114225108561908	-0.0371016998623101	0.762775170855454	0	0	TRUE	0	0
PWY-4981: L-proline biosynthesis II (from arginine)	0.371851400503122	0.172162689024134	-0.230944931602548	0.974647732608792	0.04	0.0497674418604651	TRUE	0	0
PWY-6737: starch degradation V	0.375618601665148	0.0779192303078295	0.102798593472361	0.648438609857936	0	0	TRUE	0	0
GLUCONEO-PWY: gluconeogenesis I	0.387920221495738	0.0772054847741724	0.117599263429224	0.658241179562253	0	0	TRUE	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.393025426737067	0.062751085930687	0.173313916368155	0.612736937105979	0	0	TRUE	0	0
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	0.424076333137021	0.0697736390439255	0.179776630734909	0.668376035539133	0	0	TRUE	0	0
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0.436038449659391	0.069012381471633	0.194404152142429	0.677672747176352	0	0	TRUE	0	0
PWY-6168: flavin biosynthesis III (fungi)	0.470604956488589	0.0729085519270619	0.215328926996462	0.725880985980716	0	0	TRUE	0	0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.682814352315511	0.173587312134818	0.0750299615856358	1.29059874304539	0	0	TRUE	0	0
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	0.748693020674364	0.202898436418493	0.0382810611707674	1.45910498017796	0	0	TRUE	0	0
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	0.83080774173597	0.263783447556111	-0.0927820067647768	1.75439749023672	0.003	0.00445833333333333	TRUE	0	0
PWY-622: starch biosynthesis	0.871494910732381	0.430604573839072	-0.636188659786964	2.37917848125173	0	0	TRUE	0	0
P108-PWY: pyruvate fermentation to propanoate I	1.16871277976694	0.177847770656697	0.546011168676284	1.79141439085759	0	0	TRUE	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	4.97114376878507	0	4.97114376878507	4.97114376878507	0	0	TRUE	0	1
PWY-6313: serotonin degradation	-0.25373841992328	0.273943536301142	-1.21290187062447	0.705425030777913	0.159	0.182935483870968	FALSE	0	0
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	-0.220853070208837	0.298876051355821	-1.2673131861185	0.825607045700828	0.203	0.228642105263158	FALSE	0	0
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	-0.181295470149468	0.137621926319915	-0.663153606039365	0.300562665740429	0.099	0.116406593406593	FALSE	0	0
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	-0.0603922993788961	0.113104142791317	-0.456405877042081	0.335621278284289	0.487	0.526353535353535	FALSE	0	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	-0.0280589366967776	0.0760395235234316	-0.294297493580389	0.238179620186834	0.567	0.600683168316832	FALSE	0	0
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	-0.0267763396297953	0.0737816044971485	-0.285109203851716	0.231556524592125	0.861	0.869122641509434	FALSE	0	0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	-0.0235378810187155	0.412811637997717	-1.46892272396035	1.42184696192292	0.041	0.0504252873563218	FALSE	0	0
PWY-7664: oleate biosynthesis IV (anaerobic)	-0.00337910174989542	0.0755079912422706	-0.267756595058723	0.260998391558932	0.78	0.79587619047619	FALSE	0	0
PWY0-862: (5Z)-dodecenoate biosynthesis I	-0.000215721772000244	0.0762915025967124	-0.267336537535291	0.266905093991291	0.88	0.88	FALSE	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.00117761619559342	0.0751693341217236	-0.262014130821374	0.26436936321256	0.781	0.79587619047619	FALSE	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.00594879908305757	0.0695920575782695	-0.237715128854237	0.249612727020352	0.117	0.136076086956522	FALSE	0	0
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	0.022047057920942	0.140707033400538	-0.470613019103205	0.514707134945089	0.056	0.0680909090909091	FALSE	0	0
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	0.0341650314135196	0.115382409978727	-0.369825484295372	0.438155547122411	0.391	0.426908163265306	FALSE	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0564132749197146	0.0700219206888536	-0.188755740489415	0.301582290328844	0.558	0.59706	FALSE	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.067384232844609	0.156219297929145	-0.479589216104083	0.614357681793301	0.314	0.346371134020619	FALSE	0	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.0941260173696952	0.120872421549054	-0.329086774992569	0.51733880973196	0.647	0.67871568627451	FALSE	0	0
PWY-5695: inosine 5'-phosphate degradation	0.146183518544881	0.107751222754198	-0.231087783525841	0.523454820615602	0.165	0.18781914893617	FALSE	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.151800750384584	0.113160767901108	-0.244411089798087	0.548012590567254	0.254	0.283104166666667	FALSE	0	0
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	0.170951282397946	0.111103885162771	-0.218058757108464	0.559961321904356	0.068	0.0817528089887641	FALSE	0	0
P124-PWY: Bifidobacterium shunt	0.174967385639861	0.223846579881082	-0.608790686864453	0.958725458144176	0.681	0.707446601941748	FALSE	0	0
PWY-5920: superpathway of heme b biosynthesis from glycine	0.315958188690491	0.169724792673474	-0.2783022928975	0.910218670278482	0.079	0.0939222222222222	FALSE	0	0
