Proteins	log fold change (HunterGatherer - HMP)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HMP)	structural.zero (HunterGatherer)	star_up	star_down	L2	L3
Ornithine carbamoyltransferase (EC 2.1.3.3)	0.14302965729733	0.041108737812725	-0.0202327256256368	0.306292040220296	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine and Ornithine Degradation
Acetylglutamate kinase (EC 2.7.2.8)	0.302196040214262	0.0632781257730699	0.0508884557373504	0.553503624691173	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
Acetylornithine aminotransferase (EC 2.6.1.11)	0.291522919209724	0.0722002080769963	0.0047814952359706	0.578264343183477	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
Argininosuccinate lyase (EC 4.3.2.1)	0.148685303023528	0.0576866153739156	-0.0804157297450038	0.377786335792061	0.015	0.0254156479217604	TRUE	0	0	*	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
Argininosuccinate synthase (EC 6.3.4.5)	0.231029465284671	0.0585756632285512	-0.00160240007574489	0.463661330645086	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	0.163846706289811	0.0871124482552621	-0.182118327937178	0.5098117405168	0.105	0.138864503816794	FALSE	0	0	""	""	Amino Acids and Derivatives	Arginine Biosynthesis extended
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	0.141979555630869	0.0384969804011028	-0.0109102943142996	0.294869405576037	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine metabolism and urea cycle in plants
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	0.0560299701439249	0.0426272606777487	-0.113263190532331	0.225323130820181	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Arginine metabolism and urea cycle in plants
Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	0.177109688173387	0.102335532381409	-0.229313465716477	0.583532842063252	0.174	0.216096774193548	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched chain amino acid degradation regulons
Electron transfer flavoprotein, alpha subunit	0.118851766317945	0.069411945553633	-0.156816138788532	0.394519671424423	0.151	0.192358455882353	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched chain amino acid degradation regulons
Electron transfer flavoprotein, beta subunit	0.106313331280027	0.0731500461534169	-0.184200352218061	0.396827014778114	0.236	0.282466321243523	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched chain amino acid degradation regulons
2-isopropylmalate synthase (EC 2.3.3.13)	0.125279188857698	0.0647849523513531	-0.132012721845498	0.382571099560895	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	0.163592918602484	0.0611810041765954	-0.0793859969019229	0.406571834106892	0.01	0.018	TRUE	0	0	*	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	0.0823548457169379	0.0554841572523445	-0.137999176553392	0.302708867987268	0.177	0.2190375	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	0.109341041493781	0.0550208315679042	-0.10917289374552	0.327854976733083	0.055	0.078264887063655	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Acetolactate synthase large subunit (EC 2.2.1.6)	0.0605321231860803	0.0492770289736404	-0.135170435482853	0.256234681855013	0.346	0.393724137931034	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Acetolactate synthase small subunit (EC 2.2.1.6)	0.0687336366107623	0.0532120897849373	-0.142596923285692	0.280064196507217	0.043	0.0636730769230769	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Dihydroxy-acid dehydratase (EC 4.2.1.9)	0.111239363056811	0.0673812547017672	-0.15636370121301	0.378842427326632	0.117	0.152407894736842	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Ketol-acid reductoisomerase (EC 1.1.1.86)	0.130709623052665	0.051543282244103	-0.073993307044071	0.335412553149401	0.014	0.0240148514851485	TRUE	0	0	*	""	Amino Acids and Derivatives	Branched-Chain Amino Acid Biosynthesis
Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	0.155110544642366	0.135504292580126	-0.38304155829265	0.693262647577383	0.455	0.498127962085308	FALSE	0	0	""	""	Amino Acids and Derivatives	Branched-chain amino acid metabolism in plants
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	0.370301996112741	0.119025309392526	-0.102404213649601	0.843008205875083	0.001	0.00225732899022801	TRUE	0	0	**	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	0.0744896833018878	0.0349410015783365	-0.0642776805948588	0.213257047198634	0.028	0.0449166666666667	TRUE	0	0	*	""	Amino Acids and Derivatives	Chorismate biosynthesis in plants
Prephenate dehydratase (EC 4.2.1.51)	0.0869955885427078	0.0533826424822473	-0.125012317369662	0.299003494455078	0.156	0.196918032786885	FALSE	0	0	""	""	Amino Acids and Derivatives	Chorismate biosynthesis in Streptococci
Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	0.0876318200460897	0.0716330246883256	-0.196857048473138	0.372120688565318	0.32	0.368985024958403	FALSE	0	0	""	""	Amino Acids and Derivatives	Evolution of Proline Biosynthesis (for review by Fichman et al)
Glutamate 5-kinase (EC 2.7.2.11)	0.153462426341269	0.0732168426307349	-0.137316537791496	0.444241390474035	0.06	0.0843407707910751	FALSE	0	0	""	""	Amino Acids and Derivatives	Evolution of Proline Biosynthesis (for review by Fichman et al)
Aconitate hydratase (EC 4.2.1.3)	0.208773120809029	0.0920542300272407	-0.15681808320342	0.574364324821478	0.033	0.0511610738255034	FALSE	0	0	""	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Citrate synthase (si) (EC 2.3.3.1)	0.288856372744265	0.0826899944409903	-0.0395449904360961	0.617257735924626	0.001	0.00225732899022801	TRUE	0	0	**	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	0.170956898877414	0.105417780330804	-0.24770733006735	0.589621127822177	0.181	0.222005309734513	FALSE	0	0	""	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	0.0833555240312816	0.100372874799452	-0.315272981549218	0.481984029611781	0.063	0.0878450704225352	FALSE	0	0	""	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Pyruvate,phosphate dikinase (EC 2.7.9.1)	0.349531165361384	0.0730767363883876	0.0593086298665444	0.639753700856224	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine metabolism in plants
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	0.0562154872254919	0.0829159223173755	-0.273083143188794	0.385514117639778	0.729	0.757416791604198	FALSE	0	0	""	""	Amino Acids and Derivatives	Glycine and Serine Utilization
Seryl-tRNA synthetase (EC 6.1.1.11)	0.136009681202317	0.0271546804986016	0.0281655078805764	0.243853854524058	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Glycine and Serine Utilization
ATP phosphoribosyltransferase (EC 2.4.2.17)	0.0753370147829795	0.0876145861717053	-0.272622248339286	0.423296277905245	0.364	0.412851063829787	FALSE	0	0	""	""	Amino Acids and Derivatives	Histidine Biosynthesis
Histidinol dehydrogenase (EC 1.1.1.23)	0.212189075122005	0.0782907808187382	-0.0987409148863552	0.523119065130365	0.01	0.018	TRUE	0	0	*	""	Amino Acids and Derivatives	Histidine Biosynthesis
Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	0.127868362257159	0.0755528188959658	-0.172187876533138	0.427924601047456	0.046	0.067253164556962	FALSE	0	0	""	""	Amino Acids and Derivatives	Histidine Biosynthesis
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	0.311856040370052	0.0864734447932834	-0.0315712066747102	0.655283287414814	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Histidine Biosynthesis
Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	0.114131454202218	0.0740020728628574	-0.179766033282529	0.408028941686966	0.228	0.273837088388215	FALSE	0	0	""	""	Amino Acids and Derivatives	Histidine Biosynthesis
Adenylosuccinate synthetase (EC 6.3.4.4)	0.0776828688117366	0.0285722013997005	-0.0357909553450847	0.191156692968558	0.005	0.00954545454545455	TRUE	0	0	**	""	Amino Acids and Derivatives	Histidine Biosynthesis in plants
Histidine ammonia-lyase (EC 4.3.1.3)	0.182811262859945	0.109153508246213	-0.250689321416377	0.616311847136266	0.019	0.0315755395683453	TRUE	0	0	*	""	Amino Acids and Derivatives	Histidine Degradation
Imidazolonepropionase (EC 3.5.2.7)	0.343013313602836	0.12356242130538	-0.14771192914114	0.833738556346813	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Histidine Degradation
Urocanate hydratase (EC 4.2.1.49)	0.321919327890036	0.125484404913466	-0.176439027435126	0.820277683215199	0.018	0.0301304347826087	TRUE	0	0	*	""	Amino Acids and Derivatives	Histidine Degradation
Aspartokinase (EC 2.7.2.4)	0.0454486185192806	0.0371217026522347	-0.101979348273843	0.192876585312404	0.328	0.376331125827815	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine and threonine metabolism in plants
Homoserine dehydrogenase (EC 1.1.1.3)	0.0531943898503329	0.0393876114261793	-0.103232580210795	0.209621359911461	0.248	0.294287671232877	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine and threonine metabolism in plants
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	0.579079150173288	0.0806367406236113	0.258832236115109	0.899326064231468	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	0.0207327933979329	0.0973240173769268	-0.36578724681782	0.407252833613685	0.154	0.195104204753199	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
Diaminopimelate epimerase alternative form predicted for S.aureus (EC 5.1.1.7)	0.731563871130124	0.319072945992031	-0.535626810476867	1.99875455273712	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	0.530052951387452	0.0804139518721135	0.210690837602725	0.849415065172179	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Lysine Biosynthesis DAP Pathway
3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	0.409675457399191	0.327254734541927	-0.890009004515848	1.70935991931423	0.431	0.477129392971246	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine fermentation
Acetate kinase (EC 2.7.2.1)	0.0264627415888832	0.0265877742980587	-0.0791299771244458	0.132055460302212	0.443	0.488074721780604	FALSE	0	0	""	""	Amino Acids and Derivatives	Lysine fermentation
Adenosylhomocysteinase (EC 3.3.1.1)	0.334845474614374	0.117639720651553	-0.132357902133904	0.802048851362652	0.003	0.00611470588235294	TRUE	0	0	**	""	Amino Acids and Derivatives	Methionine and cysteine metabolism in plants
S-adenosylmethionine synthetase (EC 2.5.1.6)	0.0571886928743748	0.0296795454692654	-0.0606829221447292	0.175060307893479	0.043	0.0636730769230769	FALSE	0	0	""	""	Amino Acids and Derivatives	Methionine and cysteine metabolism in plants
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	0.0249410455512749	0.0590647804758153	-0.209633337423786	0.259515428526336	0.123	0.158731843575419	FALSE	0	0	""	""	Amino Acids and Derivatives	Methionine Biosynthesis
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	0.328192118554872	0.0802268792444223	0.0095729593000472	0.646811277809697	0	0	TRUE	0	0	***	""	Amino Acids and Derivatives	Methionine Biosynthesis
Methionine ABC transporter permease protein	0.0304859840374414	0.0654755945010584	-0.229548795678703	0.290520763753586	0.008	0.0148632707774799	TRUE	0	0	*	""	Amino Acids and Derivatives	Methionine Biosynthesis
Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	0.491309617478404	0.223975506745027	-0.398203826455479	1.38082306141229	0.046	0.067253164556962	FALSE	0	0	""	""	Amino Acids and Derivatives	Methionine Salvage
Threonine dehydrogenase and related Zn-dependent dehydrogenases	0.00557248567694124	0.13809747123989	-0.542878365160936	0.554023336514818	0.869	0.877867346938776	FALSE	0	0	""	""	Amino Acids and Derivatives	Threonine degradation
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	0.0515455864496133	0.0672979918587399	-0.215726801402374	0.318817974301601	0.438	0.483334394904459	FALSE	0	0	""	""	Amino Acids and Derivatives	Tryptophan biosynthesis in Streptococci
Tryptophan synthase beta chain (EC 4.2.1.20)	0.13344999337412	0.0574782142251224	-0.0948233791458576	0.361723365894097	0.002	0.00421276595744681	TRUE	0	0	**	""	Amino Acids and Derivatives	Tryptophan biosynthesis in Streptococci
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	0.478799572585672	0.0970856614348174	0.0932261573738274	0.864372987797516	0	0	TRUE	0	0	***	""	Carbohydrates	Acetoin, butanediol metabolism
Alcohol dehydrogenase (EC 1.1.1.1)	0.217743099272271	0.0757427866826221	-0.0830675921034932	0.518553790648035	0.006	0.0112989130434783	TRUE	0	0	*	""	Carbohydrates	Acetone Butanol Ethanol Synthesis
L-lactate dehydrogenase (EC 1.1.1.27)	0.0321094135012636	0.0572836498033141	-0.195391251005124	0.259610078007651	0.588	0.622112977099237	FALSE	0	0	""	""	Carbohydrates	Acetyl-CoA biosynthesis in plants
Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	0.00200537846010462	0.10459401957519	-0.413387304067138	0.417398060987347	0.005	0.00954545454545455	TRUE	0	0	**	""	Carbohydrates	acinetobacter tca
Fumarate hydratase class II (EC 4.2.1.2)	0.143602270103303	0.0834037176797199	-0.187633628090839	0.474838168297444	0.143	0.182502762430939	FALSE	0	0	""	""	Carbohydrates	acinetobacter tca
Malate dehydrogenase (EC 1.1.1.37)	0.158441432438861	0.0689750507592065	-0.115491355293065	0.432374220170788	0.029	0.0463064516129032	TRUE	0	0	*	""	Carbohydrates	acinetobacter tca
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	0.0834229160286242	0.0538698596759426	-0.130519961480444	0.297365793537692	0.191	0.232623901581722	FALSE	0	0	""	""	Carbohydrates	acinetobacter tca
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	0.0871486472725316	0.0555129593699242	-0.133319761928643	0.307617056473706	0.03	0.0475743707093822	TRUE	0	0	*	""	Carbohydrates	alpha carboxysome
6-phospho-beta-glucosidase (EC 3.2.1.86)	0.763862997943445	0.0885692496617163	0.412112311280549	1.11561368460634	0	0	TRUE	0	0	***	""	Carbohydrates	Beta-Glucoside Metabolism
Pyruvate formate-lyase (EC 2.3.1.54)	0.271606004108746	0.0487269792988567	0.0780879547536301	0.465124053463861	0	0	TRUE	0	0	***	""	Carbohydrates	Butanol Biosynthesis
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	0.721078190856733	0.113212788770222	0.271456269692821	1.17070011202064	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	0.0843899197990066	0.0368536340538479	-0.0619734188763959	0.230753258474409	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	0.0801707456069067	0.0326900783923583	-0.0496571299310999	0.209998621144913	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Phosphoglycerate kinase (EC 2.7.2.3)	0.13171410675691	0.0236484860385648	0.0377947020608725	0.225633511452947	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	0.321942929849137	0.0969590645437584	-0.063127708794886	0.70701356849316	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
Triosephosphate isomerase (EC 5.3.1.1)	0.0899749111495449	0.0273477741605015	-0.0186361290974881	0.198585951396578	0	0	TRUE	0	0	***	""	Carbohydrates	Calvin-Benson cycle
NADH dehydrogenase (EC 1.6.99.3)	0.016807714550497	0.08432866700942	-0.318101598097228	0.351717027198222	0	0	TRUE	0	0	***	""	Carbohydrates	Carboxysome
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.31043662084583	0.084303777393338	-0.0243738432784959	0.645247084970156	0	0	TRUE	0	0	***	""	Carbohydrates	Chitin and N-acetylglucosamine utilization
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.170707053236007	0.0799770064150688	-0.146919741968776	0.48833384844079	0.058	0.0820285714285714	FALSE	0	0	""	""	Carbohydrates	Chitin and N-acetylglucosamine utilization
N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family	0.404349615170004	0.262319457579859	-0.637445925394879	1.44614515573489	0.239	0.285072289156626	FALSE	0	0	""	""	Carbohydrates	Chitin and N-acetylglucosamine utilization
Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	0.0665615515045523	0.11468858634167	-0.38892146491663	0.522044567925735	0.172	0.213996409335727	FALSE	0	0	""	""	Carbohydrates	Citrate Metabolism KE
NADP-dependent malic enzyme (EC 1.1.1.40)	0.0219337412272314	0.0843024539996091	-0.312871467070105	0.356738949524567	0	0	TRUE	0	0	***	""	Carbohydrates	Citrate Metabolism KE3
Mannose-6-phosphate isomerase (EC 5.3.1.8)	0.24372715290574	0.0752225251370544	-0.055017332009015	0.542471637820496	0	0	TRUE	0	0	***	""	Carbohydrates	D-mannitol and D-mannose degradation in plants
6-phosphofructokinase (EC 2.7.1.11)	0.16049809263323	0.0453568992738763	-0.019635763365575	0.340631948632034	0	0	TRUE	0	0	***	""	Carbohydrates	D-Tagatose and Galactitol Utilization
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	0.0182898274564556	0.0602343037581437	-0.220929289658259	0.25750894457117	0	0	TRUE	0	0	***	""	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism
Thymidine phosphorylase (EC 2.4.2.4)	0.140712249136232	0.143366551400205	-0.428664629319038	0.710089127591502	0.559	0.59598	FALSE	0	0	""	""	Carbohydrates	Deoxyribose and Deoxynucleoside Catabolism
L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.232941137654779	0.0823852859418813	-0.0942500829060733	0.56013235821563	0.005	0.00954545454545455	TRUE	0	0	**	""	Carbohydrates	EC 5.1.3.- Racemases and epimerases acting on carbohydrates and derivatives
UDP-glucose 4-epimerase (EC 5.1.3.2)	0.0780180114388536	0.0478141050181204	-0.111874579234921	0.267910602112628	0	0	TRUE	0	0	***	""	Carbohydrates	EC 5.1.3.- Racemases and epimerases acting on carbohydrates and derivatives
Enolase (EC 4.2.1.11)	0.0839925506250872	0.0269107526964087	-0.0228828691818024	0.190867970431977	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Entner-Doudoroff Pathway
Glucokinase (EC 2.7.1.2)	0.391970872403843	0.0698745546081883	0.114465726345028	0.669476018462658	0	0	TRUE	0	0	***	""	Carbohydrates	Entner-Doudoroff Pathway
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	0.21700374256939	0.0653761680294643	-0.042636167259189	0.476643652397969	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Fermentations in Streptococci
Formate--tetrahydrofolate ligase (EC 6.3.4.3)	0.0213199057614766	0.0366733899239401	-0.124327597601962	0.166967409124915	0.02	0.0329216152019002	TRUE	0	0	*	""	Carbohydrates	Folate-mediated one-carbon metabolism in plants
Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.0699964295844291	0.0980380520151384	-0.319359382360804	0.459352241529662	0.105	0.138864503816794	FALSE	0	0	""	""	Carbohydrates	Folate-mediated one-carbon metabolism in plants
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	0.0374238871875994	0.0532230402130966	-0.17395016207609	0.248797936451289	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Folate-mediated one-carbon metabolism in plants
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	0.143341827236129	0.0843651015374663	-0.191712184280645	0.478395838752903	0.003	0.00611470588235294	TRUE	0	0	**	""	Carbohydrates	Folate-mediated one-carbon metabolism in plants
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	0.0543702798121082	0.0360158103168483	-0.0886656616467923	0.197406221271009	0.029	0.0463064516129032	TRUE	0	0	*	""	Carbohydrates	Formaldehyde assimilation: Ribulose monophosphate pathway
Fructokinase (EC 2.7.1.4)	0.148352061924504	0.0495684088707434	-0.0485077051353461	0.345211828984354	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Fructose utilization
Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	0.0417844004718511	0.0551142058186042	-0.17710036840244	0.260669169346142	0.583	0.618712098009188	FALSE	0	0	""	""	Carbohydrates	Fructose utilization
UDP-glucose dehydrogenase (EC 1.1.1.22)	0.0615337004952092	0.0745918704809679	-0.234706154323064	0.357773555313482	0.607	0.639287234042553	FALSE	0	0	""	""	Carbohydrates	Galactose degradation in plants
Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	0.371924576068025	0.109651640074667	-0.0635543270195843	0.807403479155635	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Glycerol and Glycerol-3-phosphate Uptake and Utilization
Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)	0.068248919019692	0.0957857919466772	-0.312162095169542	0.448659933208926	0.712	0.740864864864865	FALSE	0	0	""	""	Carbohydrates	Glycerol fermentation to 1,3-propanediol
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	0.405295896761063	0.0939908886301609	0.0320132987714635	0.778578494750661	0	0	TRUE	0	0	***	""	Carbohydrates	Glycogen metabolism
Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	0.286576242466542	0.0599454624348667	0.0485042518566517	0.524648233076433	0	0	TRUE	0	0	***	""	Carbohydrates	Glycogen metabolism
Glycogen debranching enzyme (EC 3.2.1.-)	0.0507730491432632	0.0818788972919799	-0.27440706083461	0.375953159121137	0.046	0.067253164556962	FALSE	0	0	""	""	Carbohydrates	Glycogen metabolism
Glycogen phosphorylase (EC 2.4.1.1)	0.289394695877833	0.0601718442424845	0.0504236352568307	0.528365756498836	0	0	TRUE	0	0	***	""	Carbohydrates	Glycogen metabolism
Predicted glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21), Actinobacterial type	0.219144620017269	0.142772830421023	-0.347874309568487	0.786163549603024	0.223	0.26876347826087	FALSE	0	0	""	""	Carbohydrates	Glycogen metabolism
Phosphoglycolate phosphatase (EC 3.1.3.18)	0.0381822870776922	0.0650760467843088	-0.220265698302291	0.296630272457676	0.015	0.0254156479217604	TRUE	0	0	*	""	Carbohydrates	Glycolate, glyoxylate interconversions
Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	0.320513429587207	0.0898729255362979	-0.0364147750723007	0.677441634246714	0.003	0.00611470588235294	TRUE	0	0	**	""	Carbohydrates	Glycolysis and Gluconeogenesis
L-fucose mutarotase	0.368628376218011	0.329108745737534	-0.938419247444771	1.67567599988079	0	0	TRUE	0	0	***	""	Carbohydrates	L-fucose utilization
L-fucose operon activator	0.537493583235583	0.243578371990221	-0.429872177804895	1.50485934427606	0	0	TRUE	0	0	***	""	Carbohydrates	L-fucose utilization
L-fuculose phosphate aldolase (EC 4.1.2.17)	0.742582255383013	0.276892939336598	-0.357091524351574	1.8422560351176	0.016	0.026978102189781	TRUE	0	0	*	""	Carbohydrates	L-fucose utilization
L-lactate permease	0.0772273603145841	0.0474884678318292	-0.111371969952013	0.265826690581181	0.053	0.0757298969072165	FALSE	0	0	""	""	Carbohydrates	Lactate utilization
Evolved beta-D-galactosidase, alpha subunit	0.385693584651438	0.282384425841553	-0.735789504254173	1.50717667355705	0.002	0.00421276595744681	TRUE	0	0	**	""	Carbohydrates	Lactose utilization
PTS system, mannitol-specific IIB component (EC 2.7.1.69)	0.259428483959246	0.132596502950258	-0.267175401023334	0.786032368941826	0.093	0.125387159533074	FALSE	0	0	""	""	Carbohydrates	Mannitol Utilization
